Laser Delay [ns];TA [mOD]
-400;-0.392194
-390;-0.109004
-380;-0.015111
-370;0.013851
-360;-0.257901
-350;-0.052472
-340;-0.016819
-330;0.356350
-320;-0.299738
-310;-0.058265
-300;0.387567
-290;-0.076169
-280;0.191777
-270;-0.049614
-260;-0.391387
-250;0.156042
-240;-0.050303
-230;-0.102021
-220;-0.190955
-210;0.146552
-200;-0.339751
-190;0.190159
-180;-0.333318
-170;-0.390473
-160;-0.266180
-150;-0.049691
-140;0.321337
-130;0.040245
-120;-0.154714
-110;-0.008671
-100;-0.222629
-90;-0.224570
-80;0.448119
-70;-0.421659
-60;0.297631
-50;-0.200892
-40;0.058793
-30;-0.365353
-20;0.406707
-10;1.817130
0;6.970950
10;12.115870
20;16.791736
30;21.543766
40;26.034097
50;31.052057
60;35.828835
70;40.017523
80;44.273821
90;48.587869
100;52.819786
110;55.048306
120;54.794913
130;54.363015
140;53.660433
150;53.010384
160;52.488465
170;51.961838
180;51.479607
190;50.395237
200;50.469730
210;49.489712
220;49.230496
230;48.543202
240;48.314349
250;47.536963
260;47.143949
270;46.634374
280;45.704429
290;45.239270
300;45.016121
310;44.314416
320;43.950404
330;43.284089
340;42.637798
350;41.978523
360;41.917879
370;41.079218
380;40.586589
390;40.125616
400;39.907554
410;39.489021
420;39.090745
430;38.800995
440;38.109138
450;37.867881
460;37.818255
470;37.620238
480;36.035053
490;36.198672
500;35.574175
510;35.407984
520;34.887814
530;34.349343
540;33.870707
550;33.611391
560;33.256164
570;32.879759
580;33.041193
590;32.202461
600;31.742367
610;31.577521
620;31.281956
630;30.981334
640;30.261865
650;30.220617
660;29.636538
670;29.466237
680;29.211374
690;28.798912
700;28.367424
710;27.596567
720;27.683347
730;27.866006
740;26.946460
750;26.738887
760;26.635171
770;26.577580
780;26.437792
790;25.385109
800;25.284797
810;25.142555
820;25.075524
830;24.631034
840;24.349014
850;23.798665
860;23.710333
870;23.701974
880;23.125214
890;22.905043
900;22.193897
910;22.068254
920;22.345215
930;21.634964
940;21.420249
950;21.253603
960;20.958171
970;20.709253
980;20.602667
990;20.391831
1000;20.735293
1010;19.871740
1020;19.300417
1030;19.282274
1040;19.302697
1050;19.045841
1060;18.796208
1070;18.977020
1080;18.977051
1090;18.180731
1100;17.554434
1110;18.173030
1120;17.993679
1130;17.652670
1140;17.137836
1150;16.790922
1160;16.591512
1170;16.722075
1180;16.643271
1190;16.100207
1200;15.920894
1210;15.763159
1220;15.563968
1230;15.442135
1240;15.511377
1250;15.013738
1260;15.060488
1270;14.675320
1280;14.769792
1290;14.671940
1300;14.419101
1310;13.849453
1320;13.911692
1330;14.214152
1340;13.630456
1350;13.520284
1360;13.463407
1370;13.202472
1380;13.254758
1390;12.812048
1400;12.840159
1410;12.509016
1420;12.549469
1430;12.561464
1440;12.574632
1450;11.996913
1460;11.649012
1470;11.957329
1480;11.941467
1490;11.422320
1500;11.742741
1510;11.352636
1520;11.351966
1530;10.844984
1540;10.916933
1550;11.131914
1560;10.265952
1570;10.550761
1580;10.513088
1590;10.398322
1600;10.217384
1610;10.209533
1620;10.040712
1630;9.826040
1640;9.698908
1650;9.613786
1660;9.660925
1670;9.420522
1680;9.204309
1690;8.742169
1700;8.760848
1710;8.784130
1720;9.382488
1730;9.155720
1740;8.829537
1750;8.391578
1760;8.301561
1770;8.218505
1780;8.035964
1790;8.455578
1800;7.687418
1810;8.230012
1820;7.574507
1830;7.622616
1840;7.805411
1850;7.901816
1860;7.307955
1870;7.555557
1880;7.570353
1890;7.585698
1900;6.878446
1910;7.351101
1920;6.864935
1930;6.301260
1940;6.938269
1950;6.935955
1960;7.253935
1970;6.701506
1980;6.727185
1990;6.658449
2000;6.127131
2010;6.626895
2020;5.960994
2030;6.613066
2040;5.872216
2050;6.063698
2060;5.706217
2070;5.661517
2080;6.287460
2090;6.102272
2100;5.202980
2110;5.707351
2120;5.599405
2130;5.727443
2140;5.721991
2150;5.525417
2160;5.118732
2170;5.416446
2180;5.293949
2190;4.866799
2200;4.760323
2210;5.180650
2220;4.588270
2230;5.206338
2240;4.821850
2250;4.827753
2260;4.703857
2270;4.976360
2280;4.895777
2290;4.426044
2300;4.493852
2310;4.520165
2320;4.518057
2330;4.560057
2340;4.429015
2350;4.256647
2360;4.392329
2370;4.114559
2380;4.006685
2390;4.235881
2400;4.060419
2410;4.104926
2420;3.819898
2430;3.740241
2440;3.848162
2450;3.860614
2460;3.663169
2470;3.852720
2480;3.493837
2490;3.706923
2500;3.809717
2510;3.214615
2520;3.555581
2530;3.558208
2540;3.651223
2550;3.588482
2560;3.324231
2570;3.298817
2580;3.315589
2590;3.279750
2600;3.340821
2610;2.842277
2620;2.926176
2630;3.234977
2640;3.257927
2650;3.137079
2660;3.110816
2670;3.052676
2680;3.116878
2690;3.083552
2700;2.691339
2710;2.908207
2720;2.336125
2730;2.838589
2740;2.383014
2750;2.335804
2760;2.939620
2770;2.648978
2780;2.545646
2790;2.683370
2800;2.368970
2810;2.516233
2820;2.266203
2830;2.903682
2840;2.701918
2850;2.523260
2860;2.121628
2870;2.142378
2880;2.768358
2890;2.386778
2900;2.261617
2910;2.324402
2920;2.142949
2930;1.986249
2940;2.335262
2950;2.185424
2960;2.526657
2970;1.611903
2980;2.019663
2990;1.921102
3000;1.983483
3010;1.853580
3020;1.941107
3030;2.001557
3040;1.814795
3050;2.053623
3060;1.737346
3070;1.653870
3080;2.113329
3090;1.775039
3100;2.043074
3110;1.884728
3120;2.054117
3130;1.965313
3140;1.768594
3150;1.531698
3160;1.853904
3170;1.988826
3180;1.339936
3190;1.551081
3200;1.656948
3210;1.766696
3220;1.889796
3230;1.267047
3240;1.234593
3250;1.450838
3260;1.107697
3270;1.453537
3280;1.359060
3290;0.970648
3300;1.410003
3310;1.370458
3320;1.208373
3330;1.613096
3340;1.201974
3350;1.250896
3360;1.419478
3370;1.472980
3380;1.259151
3390;1.221600
3400;1.433182
3410;0.570276
3420;1.359766
3430;1.221397
3440;1.145979
3450;0.835053
3460;0.859143
3470;1.222510
3480;0.848881
3490;0.947297
3500;1.165930
3510;0.620480
3520;0.964818
3530;1.116439
3540;0.641264
3550;0.737397
3560;1.200108
3570;1.149816
3580;0.946328
3590;1.581511
3600;0.923315
3610;0.814152
3620;0.804217
3630;1.134647
3640;1.389055
3650;0.908242
3660;0.975811
3670;1.151283
3680;0.551593
3690;0.582562
3700;0.972578
3710;1.219771
3720;1.096883
3730;0.909706
3740;0.984919
3750;0.850430
3760;1.163610
3770;0.697090
3780;0.796780
3790;1.060010
3800;0.665991
3810;0.807325
3820;0.517764
3830;0.746741
3840;0.644686
3850;0.809303
3860;0.871092
3870;0.751515
3880;0.870195
3890;0.770688
3900;0.366475
3910;0.711638
3920;0.263095
3930;0.554188
3940;0.659979
3950;0.732559
3960;0.390012
3970;0.694743
3980;0.757078
3990;0.804596
4000;0.328410
4010;0.577236
4020;0.668505
4030;0.787296
4040;0.699848
4050;0.468000
4060;0.890018
4070;0.344131
4080;1.004722
4090;0.938730
4100;0.626019
4110;0.061197
4120;0.205092
4130;1.067412
4140;0.557702
4150;0.255073
4160;0.645767
4170;0.233091
4180;0.408513
4190;0.792594
4200;0.780032
4210;0.314852
4220;0.954262
4230;-0.067680
4240;0.113342
4250;0.482934
4260;0.487654
4270;0.177967
4280;0.620824
4290;0.336505
4300;0.108166
4310;0.568948
4320;0.650624
4330;0.452972
4340;0.463108
4350;0.477109
4360;0.203015
4370;0.556888
4380;0.634181
4390;0.440212
4400;0.543170
4410;-0.047993
4420;0.281569
4430;0.213052
4440;0.494340
4450;0.554681
4460;0.045415
4470;0.561718
4480;0.387489
4490;0.512247
4500;0.532387
4510;0.215069
4520;0.403364
4530;0.130597
4540;0.528987
4550;0.680349
4560;0.410908
4570;-0.138139
4580;0.444350
4590;0.499600
4600;0.223295
4610;0.506163
4620;0.761036
4630;0.245953
4640;0.820512
4650;0.009989
4660;0.445969
4670;0.251016
4680;0.210406
4690;0.234274
4700;0.160686
4710;0.125871
4720;0.294224
4730;0.109372
4740;0.439783
4750;-0.014043
4760;0.225451
4770;0.308405
4780;0.454764
4790;0.472274
4800;0.371220
4810;0.560039
4820;0.406070
4830;0.091459
4840;0.135633
4850;0.433078
4860;0.041826
4870;-0.009930
4880;0.377070
4890;0.203968
4900;0.033204
4910;0.268524
4920;0.464258
4930;0.414219
4940;0.071088
4950;0.366968
4960;-0.045194
4970;0.058386
4980;-0.154085
4990;-0.171670
5000;0.109354
