Laser Delay [ns];TA [mOD]
-400;-0.186921
-390;0.051946
-380;0.056792
-370;-0.235990
-360;-0.246817
-350;-0.164139
-340;-0.237640
-330;0.111075
-320;-0.374360
-310;-0.041536
-300;-0.059630
-290;-0.071844
-280;0.124964
-270;-0.084906
-260;0.187946
-250;-0.242099
-240;0.036790
-230;-0.253320
-220;0.023614
-210;-0.117673
-200;0.019202
-190;-0.047154
-180;-0.178878
-170;-0.342652
-160;-0.087434
-150;-0.104055
-140;-0.473041
-130;-0.079301
-120;-0.159527
-110;0.015714
-100;-0.093750
-90;0.179229
-80;0.144087
-70;-0.121888
-60;0.111643
-50;-0.272124
-40;-0.078984
-30;0.098563
-20;0.021800
-10;2.549664
0;7.083574
10;11.578018
20;16.617769
30;21.315078
40;25.785327
50;30.475575
60;34.618808
70;39.003324
80;43.260140
90;47.006736
100;51.458496
110;53.505876
120;53.030577
130;52.241335
140;51.664192
150;50.992118
160;50.501496
170;49.812260
180;49.217833
190;48.886562
200;48.063905
210;47.524337
220;47.205806
230;46.590304
240;46.317997
250;45.599442
260;45.124955
270;44.443957
280;44.008469
290;43.621835
300;43.270553
310;42.609398
320;41.851507
330;41.641924
340;41.183474
350;40.894451
360;40.205147
370;39.784844
380;39.370962
390;38.895839
400;38.119906
410;37.912765
420;37.632695
430;37.306300
440;36.927378
450;36.343137
460;36.012849
470;35.714646
480;34.929699
490;34.767770
500;34.282509
510;33.797969
520;33.558055
530;33.221075
540;32.575988
550;32.268343
560;32.135887
570;31.547588
580;31.007887
590;30.966896
600;30.972842
610;30.289815
620;30.021779
630;29.640118
640;29.176247
650;28.891020
660;28.454439
670;28.280852
680;27.925827
690;27.491182
700;27.130812
710;27.112430
720;26.810226
730;26.371226
740;26.066824
750;25.673827
760;25.564452
770;25.314893
780;25.160516
790;24.581596
800;24.445379
810;24.217944
820;23.994422
830;23.493808
840;23.028394
850;23.041170
860;22.743341
870;22.498860
880;22.222495
890;22.031938
900;21.939664
910;21.528826
920;21.296261
930;21.010950
940;20.728709
950;20.634308
960;20.117382
970;19.956125
980;19.838230
990;19.313192
1000;19.131177
1010;19.145559
1020;19.016729
1030;18.826153
1040;18.436172
1050;17.892748
1060;17.952631
1070;17.954782
1080;17.551978
1090;17.519010
1100;17.371599
1110;17.119779
1120;16.831714
1130;16.767208
1140;16.434347
1150;16.361212
1160;16.040266
1170;15.936316
1180;15.652282
1190;16.007953
1200;15.302866
1210;15.075071
1220;14.821456
1230;14.867790
1240;14.823346
1250;14.428884
1260;13.984862
1270;14.228033
1280;14.023640
1290;13.926884
1300;13.569156
1310;13.787508
1320;13.065053
1330;13.394227
1340;13.156678
1350;12.690066
1360;12.632642
1370;12.601941
1380;12.582151
1390;12.335238
1400;12.160493
1410;11.964265
1420;11.724104
1430;11.858083
1440;11.715605
1450;11.623390
1460;11.464781
1470;11.276713
1480;11.299940
1490;10.606680
1500;10.826512
1510;10.826850
1520;10.426021
1530;10.299644
1540;10.370144
1550;10.346419
1560;10.329317
1570;9.908185
1580;9.995067
1590;9.545780
1600;9.753682
1610;9.180619
1620;9.569925
1630;9.417252
1640;9.213997
1650;9.271424
1660;9.008815
1670;9.021389
1680;8.885542
1690;8.793780
1700;8.555231
1710;8.606527
1720;8.528698
1730;8.504389
1740;8.279639
1750;8.218074
1760;8.195945
1770;7.878727
1780;7.779637
1790;7.966334
1800;7.720905
1810;7.439711
1820;7.384645
1830;7.592483
1840;7.281015
1850;7.224511
1860;7.181091
1870;7.165555
1880;6.803198
1890;6.939542
1900;6.651996
1910;6.686453
1920;6.922171
1930;6.542183
1940;6.413531
1950;6.571996
1960;6.239696
1970;6.171606
1980;6.268976
1990;6.284391
2000;6.074691
2010;5.874660
2020;5.855170
2030;5.735553
2040;5.695790
2050;5.587917
2060;5.975059
2070;5.439793
2080;5.589418
2090;5.475441
2100;5.161340
2110;5.491799
2120;5.472723
2130;5.116863
2140;5.145925
2150;5.145898
2160;5.167728
2170;5.074609
2180;5.062893
2190;5.031892
2200;4.806537
2210;4.581572
2220;4.867970
2230;4.530610
2240;4.730503
2250;4.428928
2260;4.542269
2270;4.364006
2280;4.436564
2290;4.293831
2300;4.422151
2310;4.100671
2320;4.053821
2330;4.151173
2340;4.004740
2350;4.011900
2360;3.836745
2370;3.738807
2380;3.910280
2390;3.891984
2400;3.870963
2410;3.812704
2420;3.821998
2430;3.451933
2440;3.777337
2450;3.624797
2460;3.530313
2470;3.531946
2480;3.374716
2490;3.394705
2500;3.460766
2510;3.537020
2520;3.167090
2530;3.212612
2540;3.176430
2550;3.221212
2560;3.309159
