Laser Delay [ns];TA [mOD]
-400;0.007071
-390;0.036428
-380;0.060907
-370;0.039510
-360;0.053814
-350;0.158411
-340;0.107123
-330;0.114885
-320;-0.169071
-310;-0.062975
-300;-0.006624
-290;0.064090
-280;0.098903
-270;0.000435
-260;0.042896
-250;-0.014412
-240;-0.018292
-230;-0.088968
-220;-0.007757
-210;-0.012004
-200;-0.090634
-190;0.181646
-180;0.032978
-170;0.078271
-160;-0.007601
-150;-0.113289
-140;-0.085553
-130;-0.035239
-120;-0.014978
-110;-0.035604
-100;-0.028746
-90;0.126049
-80;-0.066160
-70;0.068567
-60;-0.027070
-50;-0.025644
-40;0.024061
-30;0.002346
-20;-0.023077
-10;0.233210
0;1.073795
10;1.753459
20;2.656884
30;3.647625
40;4.489354
50;5.412829
60;6.224521
70;6.791222
80;7.755831
90;8.575939
100;9.351171
110;10.073125
120;10.619818
130;10.548514
140;10.422549
150;10.296924
160;10.169476
170;10.187424
180;9.966979
190;9.904307
200;9.650424
210;9.769768
220;9.533094
230;9.396713
240;9.283980
250;9.250853
260;9.125511
270;8.950263
280;8.920135
290;8.837796
300;8.771268
310;8.667329
320;8.578110
330;8.366690
340;8.357897
350;8.274960
360;8.114508
370;8.195363
380;8.010363
390;7.783093
400;7.755996
410;7.700349
420;7.574739
430;7.507635
440;7.357728
450;7.387222
460;7.322120
470;7.223929
480;7.081410
490;6.928942
500;6.937769
510;6.972387
520;6.928309
530;6.751835
540;6.672782
550;6.558672
560;6.475859
570;6.558450
580;6.239992
590;6.391421
600;6.186298
610;6.318575
620;6.107911
630;6.101395
640;6.024903
650;5.926249
660;5.699611
670;5.715197
680;5.752708
690;5.736509
700;5.341070
710;5.501881
720;5.489866
730;5.453879
740;5.258567
750;5.313648
760;5.254737
770;5.066003
780;5.096725
790;4.862762
800;4.880761
810;4.839953
820;4.783694
830;4.908041
840;4.870596
850;4.682584
860;4.544067
870;4.634959
880;4.448333
890;4.505000
900;4.410184
910;4.268038
920;4.283088
930;4.476361
940;4.056697
950;4.142068
960;4.158417
970;4.130210
980;4.147029
990;3.932944
1000;3.905479
1010;3.951531
1020;3.848974
1030;4.021807
1040;3.736318
1050;3.828219
1060;3.846063
1070;3.667945
1080;3.630080
1090;3.600433
1100;3.465638
1110;3.704725
1120;3.507325
1130;3.394205
1140;3.491447
1150;3.414080
1160;3.270559
1170;3.170964
1180;3.180068
1190;3.157098
1200;3.137185
1210;3.072534
1220;3.244333
1230;3.126644
1240;3.018115
1250;3.100744
1260;3.040668
1270;2.867354
1280;2.762958
1290;2.868445
1300;2.968698
1310;2.755057
1320;2.857954
1330;2.671856
1340;2.757752
1350;2.638538
1360;2.615388
1370;2.652732
1380;2.464905
1390;2.488998
1400;2.404906
1410;2.381406
1420;2.510044
1430;2.476200
1440;2.533524
1450;2.379698
1460;2.280320
1470;2.253716
1480;2.328481
1490;2.397347
1500;2.160594
1510;2.242445
1520;2.168268
1530;2.134192
1540;2.101003
1550;2.049604
1560;2.098185
1570;2.120323
1580;2.060073
1590;1.979274
1600;2.062783
1610;1.859924
1620;1.914010
1630;1.922117
1640;2.006707
1650;2.025302
1660;1.914979
1670;1.782491
1680;1.775102
1690;1.868764
1700;1.642096
1710;1.809253
1720;1.787827
1730;1.730155
1740;1.654252
1750;1.578227
1760;1.836216
1770;1.771313
1780;1.758281
1790;1.647696
1800;1.615057
1810;1.548703
1820;1.569717
1830;1.566324
1840;1.594642
1850;1.529885
1860;1.454991
1870;1.470239
1880;1.419918
1890;1.424324
1900;1.456048
1910;1.428169
1920;1.246351
1930;1.506785
1940;1.471850
1950;1.285772
1960;1.264241
1970;1.437538
1980;1.207208
1990;1.202862
2000;1.260635
2010;1.369928
2020;1.126935
2030;1.252082
2040;1.181241
2050;1.216456
2060;1.200443
2070;1.184844
2080;1.128999
2090;1.125902
2100;1.127207
2110;1.228545
2120;1.134453
2130;1.178524
2140;1.035243
2150;1.097459
2160;1.186741
2170;1.163737
2180;0.914045
2190;1.088540
2200;0.984224
2210;1.020910
2220;0.964561
2230;1.129935
2240;0.972600
2250;1.033675
2260;1.007469
2270;0.927883
2280;0.920754
2290;0.973868
2300;1.009557
2310;0.959272
2320;0.937299
2330;0.966748
2340;0.947574
2350;1.036242
2360;0.796996
2370;0.813417
2380;0.819256
2390;0.880732
2400;0.872066
2410;0.848551
2420;0.872498
2430;0.851247
2440;0.743733
2450;0.734981
2460;0.778994
2470;0.903003
2480;0.849482
2490;0.763411
2500;0.805615
2510;0.683424
2520;0.643226
2530;0.693491
2540;0.670297
2550;0.662139
2560;0.620436
2570;0.568173
2580;0.527001
2590;0.600946
2600;0.635999
2610;0.757103
2620;0.466769
2630;0.733664
2640;0.662261
2650;0.434848
2660;0.696921
2670;0.527154
2680;0.604999
2690;0.610095
2700;0.531222
2710;0.594753
2720;0.602164
2730;0.449856
2740;0.640108
2750;0.549711
2760;0.581182
2770;0.549908
2780;0.511312
2790;0.441942
2800;0.598273
2810;0.512616
2820;0.652648
2830;0.475829
2840;0.464711
2850;0.407938
2860;0.394413
2870;0.532072
2880;0.394969
2890;0.530868
2900;0.431670
2910;0.464619
2920;0.506069
2930;0.540203
2940;0.505782
2950;0.456390
2960;0.417257
2970;0.524717
2980;0.371757
2990;0.438704
3000;0.402445
3010;0.405806
3020;0.314702
3030;0.373355
3040;0.531603
3050;0.317665
3060;0.466737
3070;0.455854
3080;0.372387
3090;0.495536
3100;0.312623
3110;0.219606
3120;0.300560
3130;0.352030
3140;0.467295
3150;0.355124
3160;0.331321
3170;0.338214
3180;0.286335
3190;0.527492
3200;0.352245
3210;0.353997
3220;0.329102
3230;0.356437
3240;0.332231
3250;0.344737
3260;0.321227
3270;0.258893
3280;0.277118
3290;0.468817
3300;0.249018
3310;0.350650
3320;0.372669
3330;0.191735
3340;0.291127
3350;0.302516
3360;0.360264
3370;0.208581
3380;0.209253
3390;0.259889
3400;0.274377
3410;0.332574
3420;0.207494
3430;0.195178
3440;0.281985
3450;0.355861
3460;0.254768
3470;0.215885
3480;0.361259
3490;0.199499
3500;0.226092
3510;0.149815
3520;0.151242
3530;0.235583
3540;0.246200
3550;0.334420
3560;0.313388
3570;0.159100
3580;0.178829
3590;0.214438
3600;0.114387
3610;0.141711
3620;0.121966
3630;0.204795
3640;0.237293
3650;0.243184
3660;0.035518
3670;0.326797
3680;0.183748
3690;0.136353
3700;0.252841
3710;0.140951
3720;0.134655
3730;0.239064
3740;0.144499
3750;0.183305
3760;0.108496
3770;0.119609
3780;0.134758
3790;0.296931
3800;0.095691
3810;0.249514
3820;0.219015
3830;0.154950
3840;0.206572
3850;0.314738
3860;0.151095
3870;0.108812
3880;0.184451
3890;0.185746
3900;0.182511
3910;-0.007934
3920;0.217430
3930;0.234694
3940;0.077114
3950;0.179124
3960;0.221395
3970;0.093009
3980;0.071415
3990;0.269569
4000;0.100557
4010;0.051817
4020;0.091285
4030;0.110850
4040;-0.022207
4050;0.165716
4060;0.018374
4070;0.231532
4080;0.141268
4090;0.209945
4100;0.158575
4110;0.140578
4120;0.095947
4130;0.158799
4140;-0.078970
4150;0.059150
4160;0.080205
4170;0.198735
4180;0.065970
4190;-0.005781
4200;0.141078
4210;0.223920
4220;0.164897
4230;0.103927
4240;0.223213
4250;0.156226
4260;0.052131
4270;-0.049443
4280;0.036273
4290;0.121410
4300;-0.063030
4310;0.074096
4320;0.159790
4330;0.041641
4340;0.111932
4350;0.061349
4360;0.024289
4370;0.235162
4380;0.039857
4390;0.126166
4400;-0.005265
4410;0.183171
4420;0.144848
4430;0.047256
4440;0.133300
4450;0.041467
4460;-0.099222
4470;0.044797
4480;0.171506
4490;0.136598
4500;0.173197
4510;0.006187
4520;0.096655
4530;0.114994
4540;-0.079101
4550;0.154514
4560;0.112102
4570;-0.072857
4580;0.044576
4590;0.029429
4600;0.084541
4610;0.096712
4620;0.037063
4630;0.033481
4640;0.017585
4650;0.042404
4660;0.098407
4670;0.060506
4680;0.026079
4690;0.147997
4700;0.262536
4710;-0.052115
4720;0.016384
4730;-0.047370
4740;0.097768
4750;-0.013829
4760;0.016662
4770;-0.016373
4780;-0.049838
4790;0.003149
4800;-0.103082
4810;0.095566
4820;-0.037781
4830;-0.014863
4840;0.114198
4850;0.102902
4860;0.051679
4870;-0.118555
4880;-0.003507
4890;-0.064938
4900;0.014715
4910;0.217502
4920;-0.065350
4930;0.000593
4940;-0.074428
4950;0.074474
4960;-0.070349
4970;0.049764
4980;0.041992
4990;0.094239
5000;0.104306
