Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;0.093877;-0.185609;0.112945
-390;-0.169352;0.050661;0.227976
-380;0.068379;0.075822;0.038521
-370;0.045544;0.058916;0.014069
-360;0.188497;-0.162340;0.135286
-350;0.146386;0.321593;0.007254
-340;0.163525;-0.030560;0.188403
-330;0.009371;0.132221;0.203065
-320;-0.101878;-0.164117;-0.241220
-310;-0.082275;-0.145678;0.039028
-300;0.078170;-0.021428;-0.076614
-290;-0.038172;0.061195;0.169245
-280;-0.100354;0.282897;0.114166
-270;-0.052422;0.029710;0.024017
-260;0.146139;-0.037875;0.020423
-250;0.010765;-0.115209;0.061208
-240;0.045241;0.009127;-0.109243
-230;0.170153;-0.149069;-0.287988
-220;-0.045680;0.046467;-0.024058
-210;-0.082672;-0.016393;0.063054
-200;0.023313;-0.189608;-0.105608
-190;0.241485;0.158238;0.145215
-180;-0.061023;0.079318;0.080640
-170;0.310303;-0.035585;-0.039905
-160;0.120260;-0.041904;-0.101159
-150;-0.261364;-0.184293;0.105791
-140;-0.125160;-0.101146;-0.030353
-130;0.113340;-0.162451;-0.056608
-120;-0.081240;0.101966;-0.065659
-110;-0.005844;-0.118213;0.017245
-100;-0.054803;-0.202748;0.171312
-90;0.040965;0.140774;0.196409
-80;0.020248;-0.122339;-0.096390
-70;0.150205;-0.047377;0.102874
-60;0.058970;-0.065221;-0.074960
-50;-0.055418;0.117605;-0.139119
-40;0.044999;-0.026441;0.053625
-30;-0.158630;0.141612;0.024056
-20;0.183864;-0.024692;-0.228402
-10;0.110339;0.181248;0.408044
0;1.138280;1.056811;1.026295
10;1.695271;1.663731;1.901376
20;2.882420;2.583927;2.504304
30;3.527041;3.824759;3.591075
40;4.682610;4.362031;4.423420
50;5.366038;5.433426;5.439022
60;6.411857;6.005024;6.256682
70;7.046153;6.601198;6.726315
80;7.980133;7.532019;7.755341
90;8.875029;8.465069;8.387720
100;9.522353;9.337978;9.193183
110;10.265605;10.024873;9.928898
120;10.668211;10.564969;10.626273
130;10.624365;10.497713;10.523465
140;10.517169;10.239721;10.510756
150;10.199574;10.233667;10.457529
160;10.471727;9.874966;10.161734
170;10.283679;10.277160;10.001433
180;9.771102;10.026987;10.102849
190;10.049449;9.668998;9.994475
200;9.997210;9.411324;9.542737
210;9.912827;9.675784;9.720694
220;9.729321;9.318740;9.551222
230;9.630729;9.148774;9.410637
240;9.547825;9.111373;9.192743
250;9.294312;9.021166;9.437079
260;9.133339;9.139438;9.103755
270;9.241687;8.641216;8.967886
280;8.927618;8.806080;9.026706
290;9.015619;8.614124;8.883645
300;8.717069;8.721829;8.874906
310;8.858092;8.522886;8.621010
320;8.785727;8.582732;8.365871
330;8.589575;8.254452;8.256044
340;8.662895;8.197234;8.213563
350;8.534229;8.005631;8.285022
360;8.169084;7.804798;8.369642
370;8.250774;8.320737;8.014577
380;8.323017;7.907244;7.800829
390;7.980504;7.546971;7.821803
400;7.678809;7.865358;7.723819
410;7.813768;7.613452;7.673827
420;7.721061;7.482693;7.520463
430;7.533626;7.338279;7.651001
440;7.664078;6.923752;7.485355
450;7.278276;7.505414;7.377975
460;7.404847;7.294431;7.267081
470;7.349537;7.301427;7.020823
480;7.215483;6.950324;7.078423
490;7.091057;6.808041;6.887729
500;6.879914;6.976482;6.956912
510;7.150425;6.879511;6.887224
520;6.859984;6.854145;7.070798
530;6.794407;6.700710;6.760390
540;6.692347;6.478498;6.847501
550;6.649118;6.354003;6.672895
560;6.614966;6.338932;6.473678
570;6.445304;6.682311;6.547736
580;6.339024;6.270130;6.110821
590;6.329156;6.444539;6.400567
600;6.172884;6.130438;6.255571
610;6.475407;6.108583;6.371736
620;6.189983;6.113184;6.020567
630;5.992846;6.106440;6.204899
640;6.004350;5.980394;6.089964
650;5.911706;5.994086;5.872955
660;5.764394;5.695578;5.638860
670;5.849557;5.554695;5.741338
680;5.884081;5.741365;5.632678
690;5.828775;5.794854;5.585898
700;5.438405;5.055734;5.529071
710;5.686902;5.343856;5.474887
720;5.542248;5.572254;5.355096
730;5.668212;5.371769;5.321655
740;5.358914;5.127096;5.289690
750;5.366746;5.247159;5.327039
760;5.359748;5.207442;5.197023
770;5.175637;5.107156;4.915217
780;5.215314;5.184419;4.890441
790;5.025647;4.804194;4.758445
800;4.949195;5.053456;4.639631
810;4.733241;4.817290;4.969326
820;4.794464;4.759039;4.797579
830;4.808887;4.913440;5.001796
840;4.708665;4.938219;4.964905
850;4.773921;4.434314;4.839518
860;4.511610;4.566093;4.554499
870;4.716202;4.481546;4.707128
880;4.408219;4.456675;4.480105
890;4.530745;4.429605;4.554651
900;4.525422;4.394804;4.310326
910;4.221974;4.246433;4.335708
920;4.238628;4.281901;4.328734
930;4.690600;4.439926;4.298557
940;4.249006;3.987822;3.933264
950;4.135850;4.187601;4.102752
960;4.150504;4.283497;4.041249
970;4.208459;4.075783;4.106386
980;3.996094;4.321360;4.123633
990;3.902183;3.807719;4.088929
1000;4.040076;3.801391;3.874969
1010;4.008933;3.773739;4.071919
1020;3.765453;3.817874;3.963594
1030;3.951769;4.212765;3.900888
1040;3.709919;3.873143;3.625893
1050;3.747831;3.713034;4.023791
