Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;0.020280;-0.026061;-0.012775
-390;0.038069;0.050707;-0.388335
-380;-0.000508;0.123941;-0.064239
-370;-0.066620;-0.372993;-0.060202
-360;-0.011708;-0.052138;-0.005109
-350;-0.310869;-0.116977;0.192747
-340;-0.016319;0.189020;-0.187595
-330;0.194228;-0.045562;-0.184264
-320;-0.182198;0.029672;0.019923
-310;-0.079425;0.148474;0.065906
-300;0.133272;-0.117452;0.027052
-290;0.125935;-0.014795;-0.067832
-280;-0.096034;-0.174779;-0.231918
-270;0.066896;-0.022956;0.190956
-260;-0.055035;0.101844;-0.260170
-250;0.006141;0.003577;0.227247
-240;-0.058703;0.204885;0.231371
-230;0.147477;-0.054125;0.160295
-220;-0.064924;-0.188937;-0.020924
-210;0.080823;0.213525;-0.067453
-200;-0.064375;-0.052675;0.124053
-190;-0.284557;-0.089511;-0.067828
-180;0.080744;-0.219943;0.166923
-170;-0.034815;-0.129442;0.214200
-160;-0.293963;0.062947;-0.091406
-150;-0.003069;0.301245;0.196558
-140;-0.011247;0.090004;0.135625
-130;0.116153;-0.110891;-0.079594
-120;-0.096053;-0.140374;-0.157236
-110;-0.065473;0.074114;-0.004602
-100;0.123267;-0.130961;0.040354
-90;-0.364243;-0.072474;-0.030585
-80;-0.160543;0.197015;-0.132801
-70;0.039428;0.016369;-0.037321
-60;-0.077873;0.160116;-0.045383
-50;-0.171246;0.184529;0.065300
-40;-0.017387;0.198550;-0.010723
-30;0.145737;-0.225811;-0.272098
-20;0.059347;0.041425;0.030110
-10;0.512677;0.522358;0.486870
0;2.021660;1.816740;1.939704
10;3.111623;3.160512;3.281679
20;4.617769;4.942808;4.674868
30;6.140957;6.039405;6.327595
40;7.826595;7.712989;7.835168
50;8.939961;8.872695;9.033177
60;10.441181;10.578528;10.590508
70;11.452433;11.897405;11.970016
80;13.402003;13.031623;13.409291
90;14.390423;14.831053;14.782568
100;15.884997;16.054989;15.790370
110;16.743418;16.540595;16.761354
120;16.741820;16.719311;17.020227
130;16.640656;16.436785;16.520850
140;16.410085;15.986407;16.418964
150;16.175874;16.271124;15.957158
160;15.926326;16.052999;16.310228
170;15.845913;15.608300;15.980364
180;15.672946;15.530858;15.577472
190;15.443995;15.510151;15.295147
200;15.443872;15.498828;15.416558
210;15.153032;15.232014;15.473976
220;14.694453;14.848052;15.048861
230;14.682136;14.824383;14.856858
240;14.717341;14.492540;14.355109
250;14.243488;14.540637;14.491256
260;14.384030;14.781968;14.481848
270;14.234259;14.146251;14.197590
280;14.172650;13.800079;13.882042
290;13.618435;13.697217;13.865644
300;13.467595;13.483507;13.791988
310;13.764558;13.838664;13.630788
320;13.579488;13.271505;13.528108
330;13.037580;13.128745;13.196893
340;13.261893;13.270533;12.995723
350;13.069026;12.979802;13.031516
360;12.811725;12.863765;12.735788
370;12.531190;12.648668;12.967838
380;12.422783;12.718169;12.647385
390;12.383992;12.236500;12.305223
400;12.038548;12.224986;12.285127
410;12.246967;12.295849;12.280640
420;11.867562;11.910885;12.167105
430;11.941371;11.945672;11.869908
440;11.580835;11.992396;11.720087
450;11.416681;11.592646;11.494154
460;11.599691;11.551187;11.693641
470;11.235845;11.504362;11.389259
480;11.236407;11.263273;11.309620
490;11.031738;11.294042;11.116386
500;11.016653;11.437778;11.047524
510;10.807340;10.916250;10.919253
520;10.715471;10.789077;10.931766
530;10.608942;10.757080;10.492717
540;10.389448;10.474863;10.605884
550;10.618421;10.309462;10.281217
560;10.251041;10.364179;10.436164
570;10.309623;10.320847;10.393965
580;9.982321;9.977991;10.186428
590;9.913365;9.673846;9.928498
600;9.832602;9.932432;9.733460
610;9.988168;9.489589;9.450403
620;9.168695;9.552780;9.761486
630;9.389158;9.471497;9.823290
640;9.667090;9.505859;9.500302
650;9.320545;9.279510;9.702652
660;9.452964;9.281784;9.663037
670;9.020184;9.248078;9.072019
680;8.731245;8.951694;9.053096
690;8.722753;8.909376;9.134861
700;8.902121;8.698534;8.933085
710;8.654003;8.856179;8.902131
720;8.517898;8.501086;8.467071
730;8.459327;8.815069;8.654259
740;8.444744;8.388133;8.420016
750;8.076578;8.133326;8.594529
760;8.177218;8.383987;8.335577
770;8.124302;8.197354;8.079088
780;7.883560;8.316061;7.951215
790;8.051714;8.106972;8.152336
800;7.774015;7.672338;8.072772
810;7.842866;7.750947;7.923707
820;7.984802;7.979505;7.727106
830;7.610569;7.840387;7.324421
840;7.964927;7.645935;7.458305
850;7.406449;7.712588;7.622516
860;7.324043;7.483887;7.514431
870;7.258873;7.120140;7.197607
880;7.305792;7.184165;7.060392
890;7.317416;7.050971;7.227844
900;7.034153;6.988695;7.118611
910;6.896357;6.953451;7.090966
920;7.082511;6.946193;6.725243
930;6.842662;6.811847;6.694281
940;6.835130;7.045354;6.859892
950;6.523559;6.525415;6.603394
960;6.612180;6.399006;6.661577
970;6.578162;6.656960;6.262394
980;6.419557;6.476467;6.473180
990;6.441227;6.153517;6.341433
1000;6.236912;6.635284;6.362765
1010;6.524414;6.194940;6.276134
1020;6.407560;6.001409;6.573701
1030;6.115521;6.179291;6.204689
1040;5.980710;6.366343;5.789254
1050;6.124026;6.102114;5.942840
1060;6.133908;5.761052;6.099835
1070;5.865799;5.761790;5.898151
1080;5.974758;5.948446;5.681357
1090;5.429355;5.769373;5.822360
1100;5.478911;5.830077;5.725525
1110;5.795023;5.476630;5.685532
1120;5.336707;5.701929;5.704951
1130;5.514030;5.538937;5.456334
1140;5.353969;5.445621;5.287638
1150;5.378470;5.142893;5.314865
1160;5.083179;5.208845;5.466333
1170;5.377771;5.376132;4.902207
1180;5.090363;5.087159;5.165099
1190;4.863776;5.023900;5.093485
1200;5.078683;5.202604;5.113048
1210;4.843899;4.985641;4.790949
1220;4.835056;4.980239;4.960934
1230;4.719015;4.913782;4.846159
1240;4.892166;4.713574;4.772483
1250;4.738136;4.854817;4.903271
1260;4.648456;4.765815;4.937433
1270;4.849857;4.749873;4.701131
1280;4.517637;4.699027;4.580296
1290;4.546477;4.574586;4.896215
1300;4.395720;4.613793;4.096739
1310;4.480603;4.445228;4.321667
1320;4.475828;4.675705;4.273418
1330;4.232422;4.523955;4.561734
1340;4.438641;4.215983;4.328432
1350;4.465075;4.416965;4.136978
1360;4.267968;4.190960;4.154304
1370;4.264874;4.191974;4.318211
1380;3.945751;4.137255;4.170625
1390;3.963466;4.198295;3.916473
1400;4.127411;4.233868;4.348922
1410;3.815361;3.908103;4.155795
1420;4.043633;3.952205;4.167705
1430;3.997370;3.880146;4.092870
1440;4.424926;3.689057;4.041358
1450;3.781414;3.621479;3.818736
1460;4.073717;3.905081;4.061209
1470;3.920230;3.818177;4.034451
1480;3.877742;3.755248;3.941715
1490;3.599143;3.634518;3.707486
1500;3.656134;3.251921;3.592279
1510;3.577199;3.543505;3.151633
1520;3.638742;3.561396;3.547638
1530;3.500249;3.137751;3.232886
1540;3.247691;3.445583;3.455784
1550;3.758312;3.386780;3.422859
1560;3.275289;3.671099;3.286859
1570;3.279868;2.957059;3.336183
1580;3.243870;3.365662;3.311826
1590;3.211478;3.438212;3.252898
1600;3.083862;3.400663;3.231059
1610;2.839778;3.334994;3.114189
1620;3.160725;3.068576;3.176980
1630;2.932685;2.957980;3.248478
1640;2.903511;3.078019;3.067340
1650;2.941481;3.361337;3.480921
1660;2.996476;2.648944;2.920272
