Laser Delay [ns];TA [mOD]
-400;-0,110001
-390;0,212732
-380;-0,065476
-370;-0,066278
-360;0,018682
-350;-0,218962
-340;-0,067642
-330;0,347159
-320;-0,092878
-310;-0,055790
-300;0,270049
-290;-0,264585
-280;-0,578723
-270;-0,145950
-260;0,001219
-250;0,127901
-240;-0,139838
-230;-0,347165
-220;0,348741
-210;0,182361
-200;-0,210614
-190;0,327738
-180;0,118602
-170;0,193477
-160;-0,080799
-150;-0,171330
-140;0,088503
-130;-0,015539
-120;0,185761
-110;-0,441315
-100;-0,320268
-90;-0,204657
-80;0,178068
-70;-0,330559
-60;0,034394
-50;-0,223924
-40;-0,148828
-30;-0,202290
-20;-0,329406
-10;1,107645
0;3,719603
10;6,751490
20;10,267077
30;12,890188
40;15,729780
50;18,914000
60;21,901641
70;24,742773
80;27,265064
90;30,065721
100;32,954648
110;34,704406
120;34,762204
130;34,258354
140;33,745875
150;33,568856
160;32,870530
170;32,496206
180;32,241736
190;32,302455
200;31,758323
210;31,389627
220;31,090059
230;30,647616
240;30,329716
250;30,014090
260;29,583359
270;29,446998
280;28,857391
290;28,650230
300;28,548126
310;27,830062
320;27,610472
330;27,509731
340;27,092484
350;27,191220
360;26,040410
370;26,100935
380;25,956476
390;25,516942
400;25,147928
410;24,666914
420;25,016414
430;24,379890
440;24,084197
450;24,074096
460;24,064722
470;23,500103
480;23,096032
490;22,977097
500;22,402054
510;22,502302
520;22,433931
530;22,074655
540;21,549714
550;21,697812
560;20,822532
570;20,998277
580;20,800938
590;20,978841
600;20,068739
610;19,899947
620;20,037893
630;19,404416
640;19,035118
650;18,851770
660;18,957670
670;19,032034
680;18,496169
690;18,156894
700;18,205001
710;17,842784
720;17,306299
730;17,291189
740;16,823193
750;16,792591
760;16,435831
770;16,640445
780;16,227721
790;16,136813
800;15,695502
810;15,904918
820;15,763554
830;15,626854
840;15,202093
850;15,313758
860;15,205934
870;14,958927
880;14,742054
890;14,938945
900;14,188488
910;14,460932
920;14,054901
930;13,889662
940;13,630768
950;13,941943
960;13,779411
970;13,698123
980;13,214976
990;12,897050
1000;12,685464
1010;12,509658
1020;12,343622
1030;12,339693
1040;12,239514
1050;12,359641
1060;12,095896
1070;11,830533
1080;11,696191
1090;11,336587
1100;11,428734
1110;11,256677
1120;11,100186
1130;11,211177
1140;10,863640
1150;10,982933
1160;10,542880
1170;10,768784
1180;10,602081
1190;10,168887
1200;10,248048
1210;10,424161
1220;9,949766
1230;9,449399
1240;9,676190
1250;9,614871
1260;9,511631
1270;9,188315
1280;9,505064
1290;9,136068
1300;9,154350
1310;9,156556
1320;9,235656
1330;8,939710
1340;8,800774
1350;8,558979
1360;8,553542
1370;8,732325
1380;8,213016
1390;8,276347
1400;8,230291
1410;8,044574
1420;7,429677
1430;7,993570
1440;7,740307
1450;7,850511
1460;7,923612
1470;7,460739
1480;7,265745
1490;7,106022
1500;7,358251
1510;7,536747
1520;7,461323
1530;6,759144
1540;7,227142
1550;6,893711
1560;6,679400
1570;6,538727
1580;6,760944
1590;6,770754
1600;6,681492
1610;6,378930
1620;6,184386
1630;6,442971
1640;6,355678
1650;5,932108
1660;6,097943
1670;5,908233
1680;5,708948
1690;5,839790
1700;5,651416
1710;6,221617
1720;5,652125
1730;5,847596
1740;5,746590
1750;5,319778
1760;5,549734
1770;5,383068
1780;5,463345
1790;5,128193
1800;4,894102
1810;4,869728
1820;5,041489
1830;5,532741
1840;4,970316
1850;4,767862
1860;5,181396
1870;4,884567
1880;4,699041
1890;4,977900
1900;4,307734
1910;4,609973
1920;4,810988
1930;4,627893
1940;4,629782
1950;4,468553
1960;4,380809
1970;4,449258
1980;4,017303
1990;4,156929
2000;4,314685
2010;3,900958
2020;4,113256
2030;4,168637
2040;3,782203
2050;3,936657
2060;3,672571
2070;3,965876
2080;3,801968
2090;3,627267
2100;4,007474
2110;3,437501
2120;3,651746
2130;3,632717
2140;3,778571
2150;3,729467
2160;2,975760
2170;3,657210
2180;3,227420
2190;3,501172
2200;3,244477
2210;3,151862
2220;3,283718
2230;2,787908
2240;3,165309
2250;2,734444
2260;2,806390
2270;3,265892
2280;2,882975
2290;3,322944
2300;3,093528
2310;2,724763
2320;2,697666
2330;2,814297
2340;2,409931
2350;2,916403
2360;2,713678
2370;2,958482
2380;2,728487
2390;2,912669
2400;2,832976
2410;2,517020
2420;2,549571
2430;2,532890
2440;2,722940
2450;2,282080
2460;2,123411
2470;2,559167
2480;2,505802
2490;2,352836
2500;2,393375
2510;2,462049
2520;2,602486
2530;2,162126
2540;2,506002
2550;2,147434
2560;2,430846
2570;2,348898
2580;1,954131
2590;2,410518
2600;2,039294
2610;2,420996
2620;1,778579
2630;2,071247
2640;2,116274
2650;1,758540
2660;1,688276
2670;2,046434
2680;1,814446
2690;2,033419
2700;2,090234
2710;1,811939
2720;1,678218
2730;1,149530
2740;1,645290
2750;1,805662
2760;1,695400
2770;1,498255
2780;1,906455
2790;1,778059
2800;1,798313
2810;1,413284
2820;1,745825
2830;1,690521
2840;1,644907
2850;1,889653
2860;1,656360
2870;1,672085
2880;1,360371
2890;1,330696
2900;1,334951
2910;1,622664
2920;1,241853
2930;1,339949
2940;1,569441
2950;1,478893
2960;1,312131
2970;1,100488
2980;1,020196
2990;1,452532
3000;1,230347
3010;1,380250
3020;1,582311
3030;0,885030
3040;1,364077
3050;1,208283
3060;1,410134
3070;0,950822
3080;1,236016
3090;1,129571
