Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;-0.005644;-0.131835;-0.423285
-390;-0.058786;0.143167;0.071457
-380;-0.284308;0.167459;0.287226
-370;-0.208008;-0.504337;0.004374
-360;-0.006146;-0.266813;-0.467492
-350;-0.062093;-0.295542;-0.134781
-340;-0.056104;-0.718052;0.061236
-330;0.021662;0.350147;-0.038583
-320;-0.418142;-0.161347;-0.543590
-310;-0.065815;-0.116595;0.057801
-300;0.124063;-0.299889;-0.003065
-290;-0.128822;0.077490;-0.164200
-280;-0.066968;0.468594;-0.026733
-270;-0.083603;-0.293194;0.122080
-260;0.167536;0.375748;0.020555
-250;-0.005323;-0.315911;-0.405064
-240;-0.048691;0.104142;0.054919
-230;-0.290384;-0.148282;-0.321292
-220;-0.124481;0.545942;-0.350618
-210;-0.019960;-0.084933;-0.248126
-200;-0.171424;0.038932;0.190098
-190;0.162063;-0.279388;-0.024138
-180;0.043838;-0.164747;-0.415724
-170;-0.305492;-0.400658;-0.321806
-160;-0.333901;-0.056487;0.128085
-150;-0.221746;-0.013578;-0.076842
-140;-0.560932;-0.385020;-0.473171
-130;-0.285303;0.084641;-0.037241
-120;-0.290644;-0.429090;0.241155
-110;0.296304;-0.043847;-0.205317
-100;0.137716;-0.187419;-0.231546
-90;0.054363;0.309968;0.173356
-80;0.025120;0.349322;0.057818
-70;0.074826;-0.320084;-0.120407
-60;0.034375;0.032789;0.267764
-50;0.037486;-0.658805;-0.195054
-40;-0.286433;0.032392;0.017088
-30;0.082718;0.049496;0.163476
-20;-0.165142;0.054787;0.175755
-10;2.564047;2.581802;2.503142
0;7.220773;7.203761;6.826189
10;11.220118;11.527387;11.986549
20;16.319431;17.040854;16.493023
30;21.058837;21.572536;21.313861
40;25.769674;25.516945;26.069360
50;30.373901;30.371826;30.680997
60;34.703889;34.560385;34.592151
70;38.940010;39.286434;38.783529
80;43.130941;43.424716;43.224764
90;47.027761;46.725619;47.266827
100;51.303543;51.423963;51.647982
110;53.384601;53.587063;53.545963
120;52.811951;53.125023;53.154755
130;52.207193;52.333394;52.183419
140;51.658775;51.600664;51.733137
150;50.445491;51.235948;51.294914
160;50.189625;50.613534;50.701331
170;49.630268;50.038786;49.767727
180;48.951565;49.276432;49.425501
190;48.484183;49.127317;49.048186
200;47.893385;48.318627;47.979702
210;47.326960;47.602359;47.643693
220;47.131154;47.208875;47.277388
230;46.893705;46.378121;46.499086
240;46.432023;46.469858;46.052110
250;45.372505;45.719675;45.706145
260;44.999862;45.084056;45.290948
270;43.906423;44.716436;44.709011
280;44.299103;43.702038;44.024266
290;43.137623;43.816709;43.911174
300;43.149170;43.335405;43.327084
310;43.133207;42.245504;42.449482
320;42.068053;41.574037;41.912433
330;41.184803;41.770746;41.970222
340;40.984870;41.309905;41.255647
350;41.061852;40.620387;41.001116
360;40.323423;39.928729;40.363288
370;39.508316;39.961458;39.884757
380;39.474032;39.006709;39.632146
390;38.825962;38.819878;39.041678
400;38.500007;38.043009;37.816702
410;38.052417;37.695421;37.990457
420;38.036463;37.102498;37.759124
430;37.569244;37.159044;37.190611
440;37.003658;37.208596;36.569880
450;36.170747;36.453808;36.404857
460;36.095359;36.157810;35.785379
470;35.756829;35.667766;35.719344
480;34.702197;35.161852;34.925047
490;34.901318;34.836430;34.565563
500;34.072046;34.516509;34.258972
510;33.864996;33.639375;33.889535
520;33.664365;33.507932;33.501866
530;33.012415;33.296701;33.354110
540;32.495131;32.616481;32.616351
550;32.005863;32.312462;32.486705
560;31.948360;32.232466;32.226835
570;31.438705;31.545050;31.659008
580;31.071222;31.226697;30.725743
590;31.126756;30.715283;31.058649
600;30.549117;31.706239;30.663171
610;30.466216;30.234840;30.168390
620;29.942838;29.824866;30.297633
630;29.471366;29.825450;29.623539
640;29.167816;29.409512;28.951413
650;28.637070;29.151625;28.884366
660;27.891851;28.897815;28.573652
670;28.468478;27.794825;28.579252
680;28.104216;27.902892;27.770372
690;27.619662;27.237388;27.616497
700;27.254091;26.893537;27.244809
710;26.849297;27.340986;27.147006
720;26.753724;27.025626;26.651329
730;26.530664;26.360381;26.222635
740;26.291963;25.883790;26.024721
750;25.594954;25.921108;25.505420
760;25.511716;25.134043;26.047597
770;25.531444;25.048864;25.364371
780;25.161208;25.077898;25.242443
790;24.556485;24.454654;24.733649
800;24.563017;24.282245;24.490874
810;24.216496;24.293359;24.143977
820;23.678512;24.107797;24.196958
830;23.578457;23.350235;23.552730
840;23.242025;22.927482;22.915675
850;22.896815;23.130338;23.096356
860;22.748137;22.840883;22.641004
870;22.733019;22.417616;22.345944
880;22.360513;22.088274;22.218697
890;22.444017;21.964362;21.687434
900;22.026598;22.096327;21.696067
910;21.480840;21.536623;21.569016
920;21.334073;21.061643;21.493066
930;20.973892;20.724554;21.334405
940;20.837671;20.658597;20.689858
950;20.514342;20.727725;20.660856
960;20.379569;20.003282;19.969295
970;19.889838;20.166969;19.811568
980;19.646265;19.830454;20.037971
990;19.091557;19.333413;19.514605
1000;19.328123;19.015053;19.050356
1010;19.132517;18.480303;19.823857
1020;18.878494;19.206775;18.964919
1030;19.267758;18.409524;18.801178
1040;18.281523;18.766657;18.260336
1050;17.877833;18.298634;17.501778
1060;17.987463;17.988343;17.882087
1070;18.006979;18.053568;17.803799
1080;17.834149;17.370604;17.451181
1090;17.366185;17.976153;17.214692
1100;17.472921;17.164563;17.477314
1110;17.214103;16.956859;17.188375
1120;17.043281;16.577819;16.874042
1130;16.942619;16.703790;16.655216
1140;16.120332;16.656788;16.525920
1150;16.292308;16.308367;16.482962
1160;16.239941;16.051118;15.829740
1170;15.935788;16.096083;15.777076
1180;15.680987;15.517614;15.758245
1190;16.142309;16.092607;15.788944
1200;15.034264;15.232321;15.642013
1210;15.023367;15.231082;14.970763
1220;14.586899;14.924654;14.952815
1230;14.646105;14.932273;15.024993
1240;15.014577;14.864375;14.591086
1250;14.278466;14.559044;14.449142
1260;13.784673;14.115522;14.054390
1270;14.121955;13.928622;14.633522
1280;14.057592;13.957932;14.055396
1290;13.813044;13.903898;14.063708
1300;13.766155;13.408967;13.532346
1310;13.776241;14.027759;13.558526
1320;12.878105;13.142186;13.174868
1330;13.170734;13.503403;13.508545
1340;12.840718;13.425570;13.203746
1350;12.500284;12.597567;12.972346
1360;12.684135;12.580668;12.633124
1370;13.049360;12.410107;12.346356
1380;12.441807;12.927238;12.377410
1390;12.224686;12.077868;12.703159
1400;12.039435;12.182125;12.259919
1410;11.803778;12.166931;11.922086
1420;11.766625;11.526922;11.878766
1430;11.693218;11.942072;11.938960
1440;11.421719;11.832443;11.892654
1450;11.504599;11.614897;11.750674
1460;11.723565;11.396528;11.274249
1470;11.167781;11.311030;11.351330
1480;11.317766;11.359806;11.222249
1490;10.775937;10.266406;10.777696
1500;10.900767;10.441095;11.137675
1510;10.840200;10.757188;10.883163
1520;10.275714;10.467144;10.535205
1530;10.544871;10.221234;10.132826
1540;10.025265;10.728423;10.356742
1550;10.349163;10.292164;10.397929
1560;10.206001;10.488850;10.293101
1570;9.845290;9.864137;10.015127
1580;10.398893;9.502997;10.083309
1590;9.426822;9.650140;9.560378
1600;9.776417;9.942521;9.542110
1610;9.346364;9.204236;8.991256
1620;9.400909;9.703515;9.605350
1630;9.653971;9.267437;9.330349
1640;9.107551;9.516282;9.018159
1650;9.190022;9.529885;9.094365
1660;9.205425;8.959385;8.861636
1670;9.034593;9.395865;8.633711
1680;8.684445;9.157494;8.814687
1690;8.879722;8.805829;8.695787
1700;8.435067;8.563119;8.667508
1710;8.658694;8.621260;8.539628
1720;8.615107;8.374883;8.596103
1730;8.476818;8.666823;8.369528
1740;8.445158;8.443229;7.950529
1750;8.126633;8.321512;8.206077
1760;8.413857;7.981995;8.191984
1770;7.734997;8.018433;7.882751
1780;7.871305;7.763909;7.703697
1790;7.965707;7.837696;8.095599
1800;7.817231;7.544100;7.801383
1810;7.773302;7.316499;7.229332
1820;7.587228;7.089937;7.476770
1830;7.623840;7.463100;7.690508
1840;7.087897;7.411613;7.343537
1850;7.478856;7.105178;7.089498
1860;7.258165;7.195727;7.089381
1870;7.510793;7.000850;6.985023
1880;6.721630;6.920722;6.767244
1890;6.670190;7.002847;7.145588
1900;6.572283;6.870774;6.512931
1910;6.721379;6.556229;6.781749
1920;6.961120;6.916447;6.888947
1930;6.445546;6.684933;6.496071
1940;6.512827;6.253958;6.473809
1950;6.688516;6.667523;6.359950
1960;6.687769;6.073336;5.957983
1970;5.838062;6.442647;6.234110
1980;6.173201;6.333346;6.300381
1990;6.376216;6.389696;6.087262
2000;6.135598;6.243498;5.844977
2010;5.838920;5.923877;5.861182
2020;5.763552;6.074070;5.727888
2030;5.702234;5.596832;5.907594
2040;6.063506;5.658411;5.365453
2050;5.934599;5.282419;5.546732
2060;5.917210;6.010532;5.997434
2070;5.676773;5.542003;5.100602
2080;5.544334;5.819506;5.404413
2090;5.915931;4.982438;5.527956
2100;5.314262;4.963890;5.205867
2110;5.319508;5.753931;5.401957
2120;5.328636;5.760875;5.328657
2130;5.296227;4.864813;5.189548
2140;5.148641;4.946252;5.342881
2150;5.215123;4.851476;5.371097
2160;5.338150;5.100511;5.064523
2170;4.772284;5.315146;5.136395
2180;5.191798;5.304751;4.692130
2190;5.006067;5.222914;4.866694
2200;4.988420;4.600044;4.831147
2210;4.437216;4.665292;4.642209
2220;4.642127;5.280157;4.681626
2230;4.581724;4.488068;4.522039
2240;4.551409;5.050920;4.589182
2250;4.411509;4.342955;4.532320
2260;4.729751;4.369403;4.527654
2270;4.450842;4.149840;4.491337
2280;4.569971;4.737128;4.002594
2290;4.356948;4.323051;4.201494
2300;4.459575;4.666706;4.140173
2310;3.900897;4.100975;4.300142
2320;4.004149;3.962994;4.194321
2330;4.118742;4.121169;4.213608
2340;4.073134;4.079916;3.861172
2350;4.225530;4.234220;3.575948
2360;3.747682;3.487651;4.274901
2370;3.681241;3.499574;4.035605
2380;4.212547;3.685658;3.832636
2390;4.236011;3.647058;3.792883
2400;3.483087;4.335124;3.794678
2410;4.014362;3.635697;3.788051
2420;3.692518;3.947803;3.825673
2430;3.670720;3.267434;3.417645
2440;3.826027;3.845564;3.660419
2450;3.526004;3.764581;3.583806
2460;3.774608;3.556422;3.259908
2470;3.526241;3.412124;3.657472
2480;3.645663;3.013670;3.464816
2490;3.656201;3.283835;3.244078
2500;3.647152;3.450014;3.285132
2510;3.460650;3.596873;3.553537
2520;2.858762;3.455913;3.186594
2530;3.235223;3.434127;2.968488
2540;3.431999;2.970553;3.126738
2550;3.241739;2.950707;3.471189
2560;3.140177;3.389563;3.397737
2570;3.074166;3.099863;3.086596
2580;2.785948;3.388153;2.953610
2590;2.794781;3.368979;2.961961
2600;2.941674;3.322340;3.297272
2610;2.683884;2.767113;3.150851
2620;2.940908;2.908828;3.023110
2630;2.739060;3.068302;2.721876
2640;2.642833;2.586786;2.750978
2650;2.882049;2.873091;3.174270
2660;2.866268;2.814665;2.195759
2670;2.949118;2.879431;2.909835
2680;2.910485;2.652713;2.863411
2690;2.694401;2.632956;2.809342
2700;3.008965;2.769527;2.540299
2710;2.924966;2.610926;2.665451
2720;2.363038;2.656820;2.484569
2730;2.975344;2.883115;2.870131
2740;2.305837;2.517359;3.165045
2750;2.480393;2.585931;2.152182
2760;2.662500;2.397630;2.705240
2770;2.400881;2.175160;2.354307
2780;2.486129;2.234850;2.480353
2790;2.476658;2.058813;2.329284
2800;2.653480;2.243872;1.914410
2810;2.890548;2.659790;2.083148
2820;2.503541;1.729618;2.354128
2830;1.979333;2.367238;2.149927
2840;2.149885;2.172771;2.430399
2850;2.723588;2.000202;2.351310
2860;2.313289;2.265183;2.379819
2870;2.154722;2.632135;1.854419
2880;2.058950;1.906465;2.106297
2890;1.975789;1.550354;2.239954
2900;2.096229;2.158672;2.403622
2910;2.166309;1.950376;1.761492
2920;1.599459;2.074008;2.237387
2930;1.630373;1.897849;2.137998
2940;2.197853;2.155416;1.908786
2950;1.902669;1.999886;1.888111
2960;2.337581;2.157521;1.854168
2970;1.981571;2.178060;1.607850
2980;1.796040;1.958603;2.089721
2990;2.119394;2.209152;1.744009
3000;1.624714;1.952407;1.706560
3010;1.417380;1.473852;1.901859
3020;2.186087;1.891200;1.474413
