Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;0,057083;-0,527781;-0,705885
-390;-0,091312;0,113122;-0,348821
-380;-0,127181;-0,305055;0,386902
-370;0,191645;-0,185346;0,035254
-360;-0,874401;0,042417;0,058280
-350;-0,332155;0,127756;0,046981
-340;-0,055205;0,018850;-0,014103
-330;0,268106;0,036766;0,764178
-320;-0,082376;-0,565639;-0,251201
-310;-0,310111;0,008015;0,127301
-300;0,141968;0,189343;0,831390
-290;0,127395;0,172536;-0,528438
-280;-0,256815;0,431790;0,400356
-270;-0,057110;0,155491;-0,247224
-260;-0,172343;-0,341494;-0,660325
-250;-0,451008;0,435836;0,483297
-240;-0,685962;-0,287304;0,822356
-230;-0,453719;0,210137;-0,062482
-220;-0,621463;-0,215836;0,264432
-210;0,018098;0,318651;0,102906
-200;0,078099;-0,609424;-0,487928
-190;0,531690;-0,094762;0,133549
-180;-0,448134;-0,306309;-0,245511
-170;-0,286448;-0,260167;-0,624805
-160;-0,411931;0,191780;-0,578389
-150;-0,182618;-0,097060;0,130605
-140;0,436980;-0,032041;0,559073
-130;0,164938;-0,007539;-0,036665
-120;-0,286503;-0,160730;-0,016908
-110;-0,414821;0,268067;0,120741
-100;-0,486052;-0,474568;0,292735
-90;-0,198618;-0,372229;-0,102864
-80;0,614796;-0,171399;0,900962
-70;-0,377915;-0,355451;-0,531612
-60;0,340212;-0,211212;0,763893
-50;0,004746;-0,409534;-0,197889
-40;-0,157091;0,597419;-0,263949
-30;-0,210541;0,111177;-0,996695
-20;0,917069;0,032991;0,270060
-10;2,263880;1,765119;1,422392
0;7,422107;6,874001;6,616743
10;11,722353;12,257488;12,367769
20;16,203767;16,890917;17,280525
30;20,619040;22,289292;21,722965
40;25,814377;26,294353;25,993560
50;30,447131;31,290124;31,418916
60;35,540636;35,942305;36,003564
70;38,978095;40,382199;40,692274
80;43,971656;44,356553;44,493253
90;49,085625;48,515667;48,162316
100;52,948386;52,329207;53,181766
110;55,335249;55,014399;54,795269
120;54,646221;54,468978;55,269542
130;54,817092;54,096530;54,175423
140;53,366634;53,295618;54,319048
150;52,705806;52,530167;53,795178
160;52,228039;52,558544;52,678811
170;51,888892;52,506645;51,489976
180;51,775338;51,088069;51,575415
190;49,789885;50,220405;51,175421
200;50,290121;50,505064;50,614005
210;49,316816;49,492635;49,659685
220;48,673136;49,451548;49,566805
230;48,251082;49,022250;48,356273
240;48,434067;47,979003;48,529976
250;47,467247;47,402701;47,740941
260;47,211766;46,831305;47,388775
270;46,241960;46,970218;46,690944
280;45,216213;45,889032;46,008042
290;45,351306;45,012919;45,353587
300;44,631564;45,331233;45,085567
310;44,018162;44,595424;44,329662
320;43,836321;43,998280;44,016611
330;43,092808;43,451578;43,307881
340;42,424793;42,618268;42,870334
350;42,109925;42,090452;41,735192
360;41,731208;41,900241;42,122188
370;41,144947;40,837105;41,255603
380;40,512259;40,581019;40,666488
390;39,767835;40,379885;40,229128
400;39,659851;39,458559;40,604251
410;39,476958;39,589815;39,400290
420;38,983517;39,448164;38,840552
430;38,523305;38,712421;39,167260
440;38,569630;37,668247;38,089538
450;37,439138;37,551269;38,613237
460;37,931918;37,991792;37,531054
470;36,818049;37,831809;38,210854
480;35,538311;36,177128;36,389720
490;36,029136;36,091250;36,475631
500;36,270353;35,371073;35,081099
510;35,581928;35,199844;35,442180
520;34,954791;35,228448;34,480202
530;34,513027;33,894692;34,640309
540;34,082696;33,750088;33,779335
550;33,451929;33,808984;33,573262
560;32,903904;33,509925;33,354664
570;32,567379;33,187431;32,884467
580;32,781356;33,548999;32,793223
590;32,092401;32,113321;32,401662
600;31,740122;31,767551;31,719428
610;31,276040;31,905056;31,551466
620;31,278938;31,174809;31,392120
630;30,645000;31,108170;31,190831
640;29,902902;30,661327;30,221366
650;30,182735;30,576628;29,902489
660;29,394702;30,092560;29,422350
670;28,875248;29,411207;30,112257
680;29,097475;29,464840;29,071806
690;28,110480;29,038081;29,248174
700;28,327095;28,686967;28,088211
710;26,754489;28,352338;27,682873
720;27,971569;27,644227;27,434244
730;28,364696;27,361280;27,872041
740;26,698729;27,000127;27,140524
750;27,014694;26,849457;26,352509
760;26,565968;26,974817;26,364729
770;26,747431;26,450193;26,535115
780;27,064499;26,059932;26,188943
790;25,615360;25,365820;25,174148
800;24,669613;25,547966;25,636812
810;25,093084;24,797873;25,536708
820;25,570101;24,964578;24,691892
830;24,104405;24,604498;25,184199
840;23,817147;24,368997;24,860898
850;24,474200;23,533064;23,388731
860;23,818994;23,899805;23,412201
870;23,579655;24,147036;23,379232
880;23,436058;22,598918;23,340666
890;22,714127;22,875778;23,125224
900;22,044218;22,342503;22,194970
910;22,627613;21,437729;22,139419
920;22,441958;22,081104;22,512582
930;21,573557;21,664155;21,667181
940;21,290345;21,691314;21,279087
950;21,464940;20,991176;21,304693
960;21,208839;20,278725;21,386948
970;20,741207;20,165267;21,221285
980;20,765806;20,339312;20,702884
990;20,231733;20,188735;20,755026
1000;20,279528;20,553203;21,373147
1010;19,866880;19,834427;19,913912
1020;19,413581;19,202278;19,285391
1030;19,867172;18,976537;19,003113
1040;19,300027;19,539504;19,068559
1050;18,864612;19,166654;19,106256
1060;18,641171;18,430738;19,316716
1070;18,591422;19,266504;19,073134
1080;19,130118;19,354722;18,446312
1090;18,607484;17,988737;17,945971
1100;17,922591;17,619862;17,120847
1110;18,408683;18,171361;17,939047
1120;17,548234;18,087242;18,345562
1130;18,225123;17,026462;17,706426
1140;16,870247;16,999557;17,543705
1150;16,734362;16,689685;16,948720
1160;16,097120;16,638611;17,038806
1170;16,959630;16,725317;16,481277
1180;16,216744;17,582301;16,130766
1190;15,812134;16,497205;15,991283
1200;16,511742;14,808530;16,442410
1210;15,844834;15,490781;15,953864
1220;15,756424;15,461371;15,474108
1230;15,137242;15,963152;15,226012
1240;15,460622;15,745451;15,328057
1250;15,290575;14,876348;14,874292
1260;14,928103;15,097337;15,156025
1270;14,425316;14,810282;14,790363
1280;14,984018;14,821303;14,504054
1290;14,453167;14,309859;15,252794
1300;13,761821;14,812722;14,682759
1310;14,391178;13,434084;13,723096
1320;13,776270;14,209400;13,749405
1330;14,131265;13,869255;14,641935
1340;14,004579;13,625266;13,261523
1350;13,087654;13,403860;14,069338
1360;12,911927;13,994572;13,483722
1370;13,375052;13,383146;12,849219
1380;13,843677;13,182075;12,738521
1390;12,952788;12,799152;12,684203
1400;12,892658;13,028188;12,599631
1410;12,590754;12,535382;12,400912
1420;12,368919;12,398667;12,880820
1430;12,281084;12,234176;13,169131
1440;12,442564;12,652161;12,629169
1450;11,747456;12,133934;12,109350
1460;11,407597;11,942839;11,596601
1470;11,880808;11,899226;12,091953
1480;12,388135;11,485555;11,950712
1490;11,525963;11,116279;11,624717
1500;11,117432;11,810012;12,300780
1510;11,317054;11,275523;11,465332
1520;11,179525;11,497548;11,378825
1530;10,446941;11,197533;10,890479
1540;10,741030;10,700936;11,308832
1550;10,767091;11,702662;10,925987
1560;10,113116;9,897810;10,786931
1570;10,260296;11,297267;10,094722
1580;10,276619;10,159848;11,102797
1590;9,803803;10,403093;10,988070
1600;10,077031;9,968987;10,606134
1610;10,383299;10,013433;10,231869
1620;9,588037;10,025721;10,508379
1630;9,664318;10,110327;9,703476
1640;10,135429;9,612497;9,348798
1650;9,216940;9,935100;9,689316
1660;9,573437;9,756581;9,652758
1670;9,485443;9,150699;9,625424
1680;9,719721;8,903714;8,989491
1690;8,920673;8,649841;8,655994
1700;8,451671;8,754988;9,075884
1710;8,170294;8,749608;9,432488
1720;8,976191;9,757024;9,414250
1730;9,588130;8,902896;8,976133
1740;8,908912;9,248184;8,331515
1750;8,250391;8,270221;8,654120
1760;7,717137;8,493342;8,694204
1770;8,568878;7,968838;8,117798
1780;7,982303;7,955996;8,169594
1790;7,616931;8,721439;9,028365
1800;7,536490;7,814108;7,711657
1810;8,624618;8,054656;8,010761
1820;7,337864;7,530128;7,855529
1830;7,485027;7,232148;8,150673
1840;7,406657;8,161392;7,848185
1850;7,829161;8,296362;7,579925
1860;7,561104;7,090622;7,272140
1870;7,839336;7,979244;6,848092
1880;7,611704;7,732584;7,366771
1890;7,654111;7,667601;7,435382
1900;6,801474;6,807626;7,026236
1910;7,591724;7,010274;7,451304
1920;6,443552;6,952617;7,198636
1930;6,247546;6,027403;6,628829
1940;7,171284;6,799778;6,843744
1950;7,205441;6,998223;6,604200
1960;7,223785;7,444626;7,093394
1970;7,031518;6,711148;6,361852
1980;6,220475;6,944194;7,016885
1990;6,906986;6,460627;6,607735
2000;6,096605;6,653722;5,631065
2010;6,023928;7,095947;6,760811
2020;5,785623;6,299688;5,797672
2030;6,423452;6,873435;6,542311
2040;5,593360;6,043168;5,980121
2050;6,598904;5,844140;5,748050
2060;5,783929;5,916921;5,417800
2070;5,385840;6,327106;5,271605
2080;5,892831;6,583673;6,385877
2090;5,793384;6,452677;6,060755
2100;5,028389;5,072963;5,507589
2110;5,725321;5,997742;5,398988
2120;5,411379;5,843968;5,542868
2130;5,283096;6,458638;5,440593
2140;5,696442;5,584540;5,884992
2150;5,127754;6,009655;5,438842
2160;5,656811;4,954701;4,744685
2170;5,624475;5,158385;5,466478
2180;5,645561;5,080405;5,155880
2190;4,529956;4,715293;5,355146
2200;4,433606;4,903656;4,943708
2210;4,610570;5,568080;5,363299
2220;4,209976;4,815883;4,738953
2230;5,352183;5,166373;5,100458
2240;4,773724;5,128058;4,563769
2250;4,562815;5,278835;4,641609
2260;4,208223;5,146893;4,756456
2270;4,749158;4,802247;5,377677
2280;4,761327;5,081666;4,844340
2290;4,006318;4,241371;5,030445
2300;3,994541;4,536904;4,950110
2310;4,392289;5,261408;3,906798
2320;4,372939;4,757116;4,424117
2330;4,789599;4,619633;4,270938
2340;4,561033;4,724694;4,001317
2350;3,875224;4,635281;4,259437
2360;4,752328;4,570532;3,854128
2370;4,573472;3,733045;4,037160
2380;3,652364;3,616320;4,751371
2390;4,436672;4,025869;4,245103
2400;3,832272;4,164182;4,184802
2410;4,697587;3,705758;3,911432
2420;4,137064;3,562554;3,760075
2430;3,898242;3,807818;3,514664
2440;3,662323;3,953828;3,928335
2450;3,533997;3,843395;4,204450
2460;3,534780;3,718444;3,736283
2470;4,434109;3,242267;3,881783
2480;2,968518;3,992527;3,520467
2490;3,762801;3,812995;3,544973
2500;4,374188;3,137012;3,917951
2510;2,957945;3,208489;3,477409
2520;3,570561;3,714625;3,381556
2530;3,372494;3,643731;3,658399
2540;3,174963;4,389576;3,389130
2550;3,279759;3,944504;3,541183
2560;3,097871;3,526625;3,348197
2570;3,487050;3,220934;3,188466
2580;3,471961;2,851678;3,623127
2590;3,486692;3,070557;3,282002
2600;2,844586;3,541113;3,636764
2610;2,352403;2,986317;3,188110
2620;2,733422;2,193151;3,851955
2630;2,772829;3,636335;3,295767
2640;3,282759;2,930535;3,560487
2650;2,794328;3,406404;3,210504
2660;2,900294;3,009191;3,422964
2670;3,085408;2,760783;3,311839
2680;2,856974;3,343522;3,150137
2690;3,042178;3,477035;2,731443
2700;2,762198;2,564375;2,747443
2710;3,131738;2,919121;2,673761
2720;2,611917;2,490469;1,905989
2730;2,245931;2,842962;3,426875
2740;2,314996;2,284050;2,549995
2750;2,842502;1,889503;2,275406
2760;2,216054;3,442644;3,160162
2770;2,820357;2,597153;2,529424
2780;2,161275;2,839727;2,635936
2790;3,023497;2,707969;2,318644
2800;2,504309;2,196891;2,405710
2810;2,085528;3,080902;2,382268
2820;2,183999;2,442757;2,171853
2830;2,758642;3,119372;2,833032
2840;3,123082;2,658147;2,324525
2850;2,563054;2,557443;2,449282
2860;2,834274;1,688498;1,842113
2870;2,716993;1,386491;2,323648
2880;2,716032;2,751093;2,837949
2890;2,836025;1,783584;2,540725
2900;2,054509;2,838934;1,891409
2910;1,957171;2,679345;2,336690
2920;2,139364;2,243371;2,046112
2930;2,206604;1,476216;2,275925
2940;2,518687;2,596898;1,890201
2950;2,083899;2,271998;2,200376
2960;3,017564;1,956160;2,606246
2970;1,593289;1,632632;1,609786
2980;1,903148;2,204556;1,951284
2990;1,974094;1,698949;2,090262
3000;1,899761;2,443244;1,607444
3010;1,889106;1,757880;1,913754
3020;1,887407;2,021457;1,914455
3030;1,593956;2,235630;2,175086
3040;1,120604;1,797546;2,526235
3050;1,565359;2,217750;2,377759
3060;1,852382;1,336322;2,023335
3070;1,182997;1,700015;2,078597
3080;1,919109;2,191386;2,229491
3090;1,616841;1,883508;1,824769
3100;2,323018;1,802135;2,004067
3110;1,691750;2,173087;1,789348
3120;2,166610;2,216497;1,779243
3130;2,359426;1,475690;2,060824
3140;1,759852;2,138249;1,407681
3150;1,398690;1,674546;1,521859
3160;1,616778;2,135929;1,809005
3170;1,554347;1,837411;2,574719
3180;0,855087;1,703849;1,460871
3190;1,401812;1,690034;1,561397
3200;1,560760;1,400274;2,009809
3210;2,066075;1,502300;1,731713
3220;1,921193;1,580327;2,167867
3230;1,300154;1,023422;1,477566
3240;1,102341;1,408474;1,192963
3250;2,035266;1,013158;1,304090
3260;0,458471;1,092118;1,772503
3270;1,141203;1,741593;1,477816
3280;1,087213;1,717986;1,271982
3290;1,145953;0,730568;1,035423
3300;1,168181;1,203919;1,857910
3310;1,186013;1,837726;1,087635
3320;0,928517;1,373772;1,322829
3330;1,823859;1,737938;1,277491
3340;1,434332;0,911990;1,259600
3350;1,100707;0,986942;1,665039
3360;0,959394;1,525605;1,773433
3370;1,342064;1,338940;1,737937
3380;1,319833;0,950297;1,507324
3390;1,468111;1,075452;1,121236
3400;1,329187;0,862476;2,107882
3410;0,646441;0,487065;0,577324
3420;0,858318;1,358891;1,862090
3430;1,144825;0,771678;1,747687
3440;1,066829;1,356141;1,014966
3450;0,803853;1,307898;0,393406
3460;1,602489;0,214767;0,760174
3470;1,455363;0,714372;1,497796
3480;1,055410;0,511009;0,980223
3490;0,958330;0,724022;1,159538
3500;1,291032;1,078066;1,128692
3510;0,499448;0,873073;0,488921
3520;1,468600;0,842908;0,582945
3530;1,172717;0,847459;1,329140
3540;0,405325;0,333881;1,184587
3550;0,460153;0,650825;1,101213
3560;1,031228;1,087822;1,481273
