Laser Delay [ns];TA [mOD]
-400;0.062529
-390;0.086562
-380;0.076880
-370;-0.387050
-360;0.199039
-350;-0.120912
-340;0.171669
-330;0.042656
-320;-0.191764
-310;-0.029679
-300;0.156436
-290;0.522146
-280;0.340021
-270;0.090985
-260;0.194657
-250;-0.268099
-240;0.105363
-230;0.200855
-220;-0.400806
-210;-0.142175
-200;-0.001221
-190;0.036571
-180;-0.240236
-170;0.156723
-160;0.049134
-150;0.339731
-140;-0.201595
-130;0.162462
-120;-0.025969
-110;-0.176527
-100;-0.168469
-90;0.126167
-80;-0.151724
-70;0.282411
-60;0.016206
-50;-0.161691
-40;0.251789
-30;-0.013374
-20;0.119530
-10;1.092719
0;1.865568
10;2.799971
20;3.994566
30;5.370219
40;6.608715
50;7.342139
60;8.892977
70;9.722561
80;10.789730
90;12.010264
100;12.644405
110;12.694894
120;12.121410
130;12.093944
140;12.189023
150;11.905326
160;11.827081
170;11.770175
180;11.486716
190;11.157768
200;11.425296
210;10.923099
220;11.352078
230;10.799395
240;10.757183
250;10.521702
260;10.333098
270;10.373034
280;10.545672
290;10.293611
300;10.024851
310;10.073133
320;9.999715
330;9.664135
340;9.633335
350;9.327827
360;9.212972
370;9.352908
380;9.135189
390;9.010092
400;9.059491
410;9.044308
420;8.649483
430;8.401104
440;8.429870
450;8.260205
460;8.072135
470;8.084811
480;7.962608
490;8.004331
500;7.913888
510;7.747049
520;7.976727
530;7.815542
540;7.931589
550;7.196873
560;7.261331
570;7.125205
580;7.321609
590;7.041164
600;6.819727
610;6.964913
620;7.073948
630;6.834407
640;6.941084
650;6.808119
660;6.787362
670;6.569803
680;6.346553
690;6.538768
700;6.145233
710;6.173037
720;5.806091
730;5.798013
740;5.529881
750;5.760143
760;5.603559
770;5.666920
780;5.182417
790;5.730992
800;5.337318
810;5.169408
820;5.651662
830;5.160299
840;5.497333
850;5.054587
860;5.234689
870;5.183250
880;4.621460
890;4.804966
900;4.651600
910;4.715012
920;4.916041
930;4.508722
940;4.884756
950;4.538971
960;4.355832
970;4.495672
980;4.087257
990;4.414482
1000;4.647254
1010;4.184579
1020;4.004035
1030;4.254611
1040;4.014424
1050;4.444623
1060;4.331071
1070;3.911869
1080;4.187677
1090;4.065876
1100;4.269784
1110;3.926985
1120;3.813065
1130;3.528432
1140;3.764796
1150;3.791566
1160;4.012043
1170;3.710957
1180;3.941815
1190;3.599798
1200;3.519508
1210;3.439082
1220;3.449837
1230;3.353179
1240;3.586560
1250;3.069755
1260;3.295163
1270;3.394716
1280;3.348102
1290;3.232671
1300;2.673307
1310;3.287461
1320;3.182263
1330;2.993579
1340;2.860809
1350;2.640532
1360;2.956657
1370;2.660389
1380;2.567198
1390;2.660137
1400;2.904338
1410;2.589317
1420;2.663290
1430;2.632605
1440;2.649012
1450;2.538822
1460;2.312654
1470;2.717622
1480;2.291172
1490;2.559017
1500;2.185846
1510;2.163343
1520;2.647444
1530;2.514704
1540;2.143418
1550;2.336527
1560;2.230145
1570;2.105083
1580;2.013610
1590;1.818930
1600;2.500164
1610;2.350462
1620;1.926037
1630;2.148068
1640;2.494336
1650;1.997710
1660;1.806433
1670;1.974389
1680;2.014214
1690;2.119233
1700;2.012316
1710;2.106133
1720;1.949766
1730;2.085128
1740;1.868871
1750;1.898076
1760;1.781396
1770;1.663007
1780;1.808979
1790;1.773197
1800;1.650943
1810;2.061113
1820;1.823044
1830;1.452046
1840;1.744890
1850;2.007785
1860;1.630048
1870;1.547622
1880;1.859134
1890;1.670796
1900;1.575991
1910;1.735190
1920;1.670838
1930;1.457821
1940;1.439073
1950;1.816669
1960;1.782427
1970;1.684759
1980;1.164909
1990;1.247630
2000;0.832249
2010;1.063829
2020;1.267624
2030;1.397077
2040;1.503022
2050;1.307394
2060;1.447271
2070;1.259796
2080;1.301601
2090;1.592205
2100;1.350102
2110;0.954661
2120;1.381343
2130;1.219511
2140;1.225439
2150;0.789849
2160;1.030891
2170;0.760184
2180;1.151073
2190;0.847299
2200;1.015817
2210;1.225698
2220;1.333167
2230;1.036865
2240;1.260268
2250;0.664950
2260;0.921683
2270;1.117495
2280;0.924351
2290;1.209046
2300;0.426827
2310;1.196847
2320;0.992813
2330;1.269492
2340;1.074380
2350;1.024878
2360;0.823864
2370;0.761590
2380;0.887138
2390;0.772762
2400;1.322513
2410;0.695577
2420;1.183303
2430;0.985683
2440;0.979209
2450;1.030815
2460;0.818226
2470;0.717587
2480;0.924550
2490;0.797854
2500;0.951833
2510;0.735146
2520;0.576534
2530;0.528727
2540;0.854339
2550;0.893590
2560;0.630989
2570;0.777632
2580;0.903665
2590;0.455163
2600;0.641729
2610;0.683561
2620;0.696899
2630;1.078029
2640;0.982503
2650;0.574529
2660;0.654774
2670;0.828987
2680;0.666956
2690;0.768841
