Laser Delay [ns];TA [mOD]
-400;0.130465
-390;-0.122345
-380;-0.168141
-370;-0.096657
-360;0.030058
-350;-0.146766
-340;-0.053100
-330;0.060192
-320;-0.203546
-310;0.074165
-300;-0.091448
-290;0.317896
-280;-0.067501
-270;-0.146225
-260;-0.063639
-250;0.009781
-240;0.064067
-230;-0.026765
-220;0.044995
-210;0.116052
-200;0.054314
-190;-0.170513
-180;0.165161
-170;-0.083192
-160;0.057680
-150;0.103053
-140;0.048255
-130;-0.066810
-120;-0.039998
-110;0.088829
-100;0.014353
-90;0.040738
-80;0.204255
-70;0.065299
-60;-0.140563
-50;0.083284
-40;0.145936
-30;-0.370400
-20;-0.024144
-10;0.536898
0;1.408736
10;1.628573
20;1.859995
30;1.535493
40;1.788532
50;1.985575
60;1.692507
70;1.428102
80;1.292600
90;1.787031
100;1.415465
110;1.359791
120;1.644632
130;1.534321
140;1.382487
150;1.451526
160;1.201473
170;1.405601
180;1.310239
190;1.079212
200;1.423286
210;1.104740
220;1.412516
230;1.114064
240;1.401404
250;1.340248
260;1.405139
270;1.211300
280;1.429512
290;1.382270
300;1.348886
310;1.438884
320;1.347420
330;1.404024
340;1.101036
350;1.108020
360;1.133981
370;0.819800
380;1.098188
390;1.009616
400;0.997016
410;1.083173
420;1.196795
430;0.985608
440;0.985176
450;0.976149
460;0.965425
470;0.977023
480;1.217809
490;1.145217
500;0.959794
510;0.929025
520;0.964701
530;0.835057
540;0.976954
550;1.028105
560;0.934490
570;0.856869
580;0.881056
590;0.924740
600;1.088204
610;0.821827
620;0.964743
630;0.778507
640;0.765634
650;0.854021
660;1.002217
670;0.622298
680;0.834287
690;0.721009
700;1.087828
710;0.821212
720;0.631347
730;0.680841
740;0.752079
750;0.653281
760;0.627558
770;0.869763
780;0.932680
790;0.898458
800;0.594565
810;0.686678
820;0.392667
830;0.592674
840;0.661680
850;0.717208
860;0.745730
870;0.643431
880;0.549226
890;0.786939
900;0.693359
910;0.582457
920;0.424692
930;0.620114
940;0.557955
950;0.539900
960;0.669126
970;0.643931
980;0.672695
990;0.508300
1000;0.534877
1010;0.507223
1020;0.635825
1030;0.653370
1040;0.282649
1050;0.275222
1060;0.385090
1070;0.537766
1080;0.410834
1090;0.583565
1100;0.353215
1110;0.784786
1120;0.589100
1130;0.396819
1140;0.325550
1150;0.408154
1160;0.594392
1170;0.471070
1180;0.311413
1190;0.483375
1200;0.334295
1210;0.257214
1220;0.670979
1230;0.536307
1240;0.685357
1250;0.446646
1260;0.366781
1270;0.338079
1280;0.307192
1290;0.453158
1300;0.469726
1310;0.460697
1320;0.349925
1330;0.236516
1340;0.471824
1350;-0.103260
1360;0.352155
1370;0.225943
1380;0.673780
1390;0.101267
1400;0.365113
1410;0.570076
1420;0.253182
1430;0.475531
1440;0.185671
1450;0.533760
1460;0.399091
1470;0.124764
1480;0.349030
1490;0.297636
1500;0.214117
1510;0.155420
1520;0.310847
1530;0.275081
1540;0.300895
1550;0.222011
1560;0.311201
1570;0.304176
1580;0.480729
1590;0.252356
1600;0.195655
1610;0.525709
1620;0.249228
1630;0.543841
1640;0.303470
1650;0.249835
1660;0.236522
1670;0.373085
1680;0.326808
1690;0.317371
1700;0.382772
1710;0.165561
1720;-0.048611
1730;0.136836
1740;0.436993
1750;-0.026567
1760;0.076708
1770;0.235579
1780;0.281444
1790;0.152089
1800;0.348452
1810;0.344758
1820;0.133273
1830;0.082005
1840;0.156094
1850;0.189210
1860;0.309014
1870;0.133522
1880;0.360341
1890;0.144436
1900;0.174630
1910;0.294257
1920;0.358515
1930;0.448175
1940;0.019770
1950;0.210615
1960;0.157035
1970;0.045870
1980;0.194709
1990;0.208878
2000;-0.222927
2010;0.188796
2020;0.233885
2030;0.134443
2040;0.172437
2050;0.400297
2060;0.125294
2070;0.030083
2080;0.101666
2090;0.247624
2100;0.242063
2110;0.075229
2120;0.130728
2130;0.185661
2140;0.207081
2150;0.257977
2160;0.287406
2170;0.278357
2180;0.034599
2190;-0.084824
2200;0.099522
2210;0.212499
2220;-0.036801
2230;0.274495
2240;0.095699
2250;0.334766
2260;0.151478
2270;0.206704
2280;0.095296
2290;0.318274
2300;0.089620
2310;-0.045134
2320;-0.033412
2330;0.066154
2340;0.428295
2350;0.385599
2360;-0.060357
2370;0.073685
2380;0.146651
2390;-0.020463
2400;0.284471
2410;0.068088
2420;-0.051667
2430;0.284882
2440;-0.034197
2450;0.340791
2460;0.098384
2470;0.293156
2480;-0.051666
2490;-0.040257
2500;0.074089
2510;0.022434
2520;-0.019406
2530;0.150614
2540;-0.078325
2550;-0.019761
2560;0.135500
2570;-0.014073
2580;-0.011792
2590;0.038399
2600;-0.034932
2610;-0.224739
2620;0.074528
2630;0.105547
2640;-0.250337
2650;0.288378
2660;0.064925
2670;-0.004949
2680;0.167463
2690;0.086063
2700;0.130347
2710;0.193111
2720;0.252865
2730;0.080281
2740;-0.192788
2750;0.015566
2760;0.090085
2770;-0.194188
2780;-0.011423
2790;0.140482
2800;0.107940
2810;-0.131997
2820;0.096897
2830;0.179310
2840;0.095792
2850;-0.049482
2860;0.184509
2870;-0.055032
2880;0.184356
2890;0.221038
2900;-0.107040
2910;0.199039
2920;-0.017115
2930;-0.078680
2940;0.019747
2950;0.150281
2960;0.076648
2970;-0.199112
2980;0.078930
2990;0.075726
3000;-0.040690
3010;0.391898
3020;0.182445
3030;0.140682
3040;-0.166087
3050;-0.053087
3060;-0.044823
3070;-0.157157
3080;-0.039836
3090;-0.141736
3100;0.137857
3110;-0.054818
3120;0.194191
3130;-0.068763
3140;0.214043
3150;-0.033854
3160;-0.101795
3170;0.022053
3180;-0.264983
3190;-0.077440
3200;0.137537
3210;0.095011
3220;0.153118
3230;0.305271
3240;0.126057
3250;0.191549
3260;0.033419
3270;-0.038361
3280;0.130428
3290;-0.001520
3300;-0.035335
3310;0.099618
3320;0.079830
3330;0.030411
3340;-0.080615
3350;0.074904
3360;-0.007969
3370;0.038718
3380;-0.051395
3390;0.026596
3400;-0.123563
3410;-0.168850
3420;0.090437
3430;-0.113130
3440;0.198966
3450;-0.003422
3460;-0.020870
3470;-0.049134
3480;0.026974
3490;-0.012159
3500;0.118124
3510;-0.239991
3520;0.150802
3530;-0.146617
3540;0.319586
3550;-0.115590
3560;-0.096290
3570;-0.049038
3580;-0.039501
3590;0.218951
3600;-0.318938
3610;0.156435
3620;0.107675
3630;0.027373
3640;0.120373
3650;-0.089288
3660;-0.117618
3670;-0.012914
3680;0.146175
3690;0.071796
3700;-0.109824
3710;0.124997
3720;0.261945
3730;-0.237066
3740;0.047934
3750;0.152166
3760;0.140847
3770;0.002277
3780;0.034536
3790;-0.071768
3800;-0.052413
3810;0.209641
3820;0.013322
3830;-0.106809
3840;-0.036088
3850;0.088833
3860;0.031130
3870;0.055812
3880;-0.032294
3890;0.071489
3900;-0.103281
3910;0.158248
3920;-0.251927
3930;0.250557
3940;-0.034137
3950;-0.055843
3960;-0.171678
3970;-0.042482
3980;0.027344
3990;0.146728
4000;-0.123885
4010;-0.020486
4020;-0.060349
4030;-0.023887
4040;0.107062
4050;-0.258255
4060;0.118771
4070;0.238593
4080;0.118456
4090;-0.036034
4100;0.209998
4110;-0.255699
4120;-0.124645
4130;-0.054635
4140;-0.348195
4150;0.048978
4160;0.087276
4170;-0.203699
4180;0.135885
4190;-0.108218
4200;0.118161
4210;-0.097208
4220;-0.105559
4230;-0.031823
4240;-0.038732
4250;-0.012144
4260;-0.180056
4270;0.015526
4280;0.174047
4290;-0.207308
4300;-0.200775
4310;-0.176848
4320;0.046637
4330;-0.095244
4340;-0.126523
4350;0.219093
4360;0.004939
4370;0.045112
4380;-0.059439
4390;0.197350
4400;-0.139737
4410;0.109966
4420;-0.029214
4430;-0.074757
4440;-0.058835
4450;-0.072405
4460;-0.155744
4470;0.116809
4480;-0.006455
4490;0.108908
4500;0.107930
4510;0.093973
4520;0.044836
4530;-0.259098
4540;0.135214
4550;0.064915
4560;0.040209
4570;-0.175681
4580;-0.092613
4590;0.174175
4600;-0.076992
4610;-0.102581
4620;0.076342
4630;-0.247112
4640;0.033757
4650;0.205533
4660;0.124213
4670;-0.104149
4680;0.118039
4690;0.050544
4700;0.022411
4710;0.151805
4720;-0.005690
4730;0.102080
4740;0.099727
4750;-0.091805
4760;0.054642
4770;0.046338
4780;-0.061774
4790;-0.143692
4800;-0.011765
4810;-0.130669
4820;0.051993
4830;-0.061887
4840;0.127557
4850;0.099542
4860;-0.070335
4870;-0.182724
4880;0.054570
4890;-0.157737
4900;-0.052623
4910;-0.215880
4920;0.212879
4930;0.287778
4940;0.018955
4950;-0.441172
4960;-0.173477
4970;-0.174884
4980;0.395184
4990;-0.063362
5000;-0.098265
