Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;-0.335588;-0.250428;-0.381750
-390;-0.131812;-0.517319;-0.480000
-380;-0.489013;-0.544976;-0.760841
-370;-0.282432;-0.181067;-0.423571
-360;-0.224492;-0.163420;-0.363937
-350;-0.222749;-0.660792;-0.370212
-340;-0.332035;-0.325019;-0.068893
-330;-0.356087;-0.181249;-0.253879
-320;-0.390149;-0.656302;-0.669149
-310;-0.423128;-0.370921;-0.139743
-300;-0.334987;-0.346746;-0.407389
-290;-0.513456;-0.529433;-0.513483
-280;-0.398643;-0.450709;-0.396378
-270;-0.406283;-0.527404;-0.224623
-260;-0.489104;-0.346165;-0.269481
-250;0.005882;-0.696245;-0.676761
-240;-0.396578;-0.404265;-0.521305
-230;-0.404650;-0.409906;-0.283105
-220;-0.421805;-0.299073;-0.086530
-210;-0.345703;-0.281461;-0.416613
-200;-0.294572;-0.548767;-0.350327
-190;-0.408294;-0.546235;-0.355961
-180;-0.355210;-0.543418;-0.575990
-170;-0.347266;0.090675;-0.625588
-160;-0.355247;-0.500309;-0.324736
-150;-0.508273;-0.380089;-0.481737
-140;-0.384228;-0.336855;-0.411253
-130;-0.458823;-0.354024;-0.295230
-120;-0.473835;-0.326643;-0.507316
-110;-0.582472;-0.367756;-0.604637
-100;-0.150829;-0.183144;-0.507460
-90;-0.377025;-0.438560;-0.478272
-80;-0.463366;-0.242195;-0.218436
-70;-0.347439;-0.175016;-0.230609
-60;-0.507306;-0.612071;-0.458931
-50;-0.400968;-0.195259;-0.361829
-40;-0.308920;-0.157490;-0.346322
-30;0.102263;0.458917;0.133912
-20;1.161793;1.248183;1.071358
-10;2.663890;2.529177;2.471388
0;4.044401;3.903829;4.129706
10;5.686611;5.601079;5.969166
20;7.754951;7.282953;7.377607
30;8.878274;9.073731;9.161046
40;10.622972;10.713565;10.451522
50;12.145157;12.005841;12.105045
60;13.711980;13.442665;13.342341
70;15.309500;15.094556;15.179290
80;16.399002;16.847098;16.683453
90;17.508876;17.838826;17.933276
100;18.844938;18.908054;18.438218
110;19.306902;19.128460;19.008302
120;19.099408;19.326857;19.347042
130;19.127310;18.972848;18.942311
140;18.618424;18.659688;18.617239
150;18.589966;18.347175;18.242834
160;18.139578;17.790151;17.857140
170;17.992768;17.411321;17.476343
180;17.198088;17.194087;17.202967
190;17.015639;17.132184;16.880443
200;16.906210;16.945086;16.995595
210;16.468658;16.720744;16.475154
220;16.365172;16.365184;16.216096
230;15.898580;15.902619;15.903082
240;15.774946;15.856182;15.717558
250;15.614792;15.374312;15.561285
260;15.011706;15.178814;15.475637
270;14.865345;15.157618;15.156692
280;14.781578;14.857962;14.839477
290;14.431786;14.435237;14.559849
300;14.271963;14.191345;14.119264
310;14.229120;14.028613;13.679572
320;13.606565;13.926757;13.766059
330;13.339625;13.502026;13.540147
340;13.375638;13.219557;13.546518
350;13.120985;13.128229;13.060852
360;12.896270;12.990210;12.880908
370;12.649454;12.587476;12.808499
380;12.639446;12.464341;12.349729
390;12.426986;12.609414;12.252063
400;11.994111;12.251592;12.119733
410;12.011946;11.964293;11.841205
420;11.837155;11.812679;11.601451
430;11.666643;11.541392;11.421258
440;11.262080;11.291465;11.120215
450;11.358766;11.402201;11.142337
460;11.119801;10.924519;11.021376
470;11.068551;11.008349;10.732458
480;10.833742;10.687687;10.839572
490;10.594459;10.626572;10.854638
500;10.702846;10.876187;11.036265
510;10.231995;10.434585;10.196452
520;10.250459;10.096573;10.296788
530;9.865553;9.985207;10.038703
540;10.011828;9.896551;9.939715
550;10.096758;10.054214;9.773457
560;9.678279;9.713648;9.983605
570;9.558625;9.649487;9.406916
580;9.518512;9.363237;9.439111
590;9.075678;9.257447;9.467638
600;9.247743;9.070186;9.238416
610;9.110805;8.931315;8.885689
620;8.965449;8.895190;9.002873
630;8.894739;8.778420;8.937477
640;8.872516;8.686879;8.879379
650;8.600546;8.608717;8.494490
660;8.482701;8.355077;8.527068
670;8.406111;8.410872;8.701001
680;8.403134;8.311510;8.400079
690;8.164067;8.237135;8.395583
700;8.174843;8.175104;7.881879
710;7.968439;8.138799;7.496876
720;7.829460;7.955813;7.916190
730;7.853681;8.100138;7.591239
740;7.737147;7.819489;7.904702
750;7.640636;7.656680;7.882709
760;7.668728;7.472115;7.623663
770;7.626973;7.298922;7.125778
780;7.479219;7.182410;7.496126
790;7.386898;7.286925;7.291888
800;7.435085;7.443458;7.090235
810;7.208160;7.204486;7.155643
820;7.075578;7.263068;6.842007
830;7.254937;7.068388;7.166166
840;7.185795;6.986777;7.138330
850;7.066859;7.098248;6.826923
860;7.000021;6.823687;6.845562
870;6.547323;6.877261;6.618361
880;6.338404;6.603045;6.653026
890;6.692227;6.428037;6.555349
900;6.600170;6.464396;6.637114
910;6.635822;6.282504;6.432274
920;6.399574;6.436649;6.652064
