Laser Delay [ns];TA [mOD]
-400;-0.395378
-390;-0.239783
-380;-0.521258
-370;-0.333947
-360;-0.436649
-350;-0.305737
-340;-0.389932
-330;-0.285721
-320;-0.235298
-310;-0.311269
-300;-0.480834
-290;-0.534215
-280;-0.384640
-270;-0.339152
-260;-0.400363
-250;-0.250837
-240;-0.415228
-230;-0.317356
-220;-0.271086
-210;-0.257179
-200;-0.244863
-190;-0.070781
-180;-0.404711
-170;-0.158922
-160;-0.428213
-150;-0.339942
-140;-0.319509
-130;-0.380886
-120;-0.327580
-110;-0.449698
-100;-0.377460
-90;-0.363739
-80;-0.370819
-70;-0.240620
-60;-0.516510
-50;-0.588079
-40;-0.402741
-30;-0.200001
-20;-0.400677
-10;0.328927
0;2.114773
10;4.226629
20;5.880039
30;7.613440
40;9.814977
50;11.626659
60;13.090190
70;14.981602
80;16.605679
90;18.293735
100;20.012600
110;21.510879
120;22.477171
130;21.976048
140;21.566709
150;21.357663
160;20.986816
170;20.641549
180;20.236572
190;19.954971
200;19.694006
210;19.291730
220;19.085627
230;18.559664
240;18.358795
250;17.976536
260;17.781925
270;17.564077
280;17.309898
290;17.079893
300;16.707099
310;16.524702
320;16.149716
330;15.865331
340;15.454576
350;15.436234
360;15.137602
370;14.939740
380;14.728227
390;14.477610
400;14.177004
410;13.960410
420;13.682439
430;13.574838
440;13.207838
450;13.063757
460;12.825613
470;12.730292
480;12.483762
490;12.163481
500;12.243388
510;11.901621
520;11.643258
530;11.388122
540;11.387989
550;11.276639
560;11.255058
570;10.929377
580;10.685707
590;10.604499
600;10.353460
610;10.285292
620;9.980518
630;9.946488
640;9.891001
650;9.683612
660;9.579612
670;9.292402
680;9.207203
690;9.204280
700;8.918787
710;9.006039
720;8.582939
730;8.599788
740;8.479257
750;8.218361
760;8.245829
770;8.028594
780;8.072625
790;7.981796
800;7.618918
810;7.860265
820;7.696358
830;7.452253
840;7.331945
850;7.302827
860;7.196735
870;6.916320
880;6.936573
890;6.936314
900;6.759684
910;6.872129
920;6.623453
930;6.589695
940;6.245248
950;6.281657
960;6.357245
970;6.077016
980;6.115305
990;6.123132
1000;5.681347
1010;5.979543
1020;5.862984
1030;5.832850
1040;5.743025
1050;5.698325
1060;5.545538
1070;5.374696
1080;5.289425
1090;5.411199
1100;5.319410
1110;5.031647
1120;5.053380
1130;5.136192
1140;5.154081
1150;4.832192
1160;5.002562
1170;4.944720
1180;4.843729
1190;4.574092
1200;4.721537
1210;4.857170
1220;4.383437
1230;4.597719
1240;4.733517
1250;4.635393
1260;4.490300
1270;4.394193
1280;4.397952
1290;4.303368
1300;4.266697
1310;4.133457
1320;3.989159
1330;4.016616
1340;3.995462
1350;3.885067
1360;3.862251
1370;3.868977
1380;3.978609
1390;3.891275
1400;3.889729
1410;3.955929
1420;3.654900
1430;3.752969
1440;3.706478
1450;3.611319
1460;3.678385
1470;3.568844
1480;3.577950
1490;3.701498
