Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.271217;-0.440834;-0.600985;-0.102822;-0.410627
-390;-0.045110;-0.462624;-0.166560;-0.133185;-0.311833
-380;-0.164828;-0.241586;-0.437590;-0.515582;-0.232811
-370;-0.440467;-0.303921;-0.680848;-0.240447;-0.475765
-360;-0.038536;-0.133736;-0.424174;-0.349762;-0.287751
-350;-0.152226;-0.434973;-0.394728;-0.026823;-0.671414
-340;-0.251409;-0.563769;-0.586323;-0.462558;-0.242762
-330;-0.318407;-0.427675;-0.285525;-0.375219;-0.462931
-320;-0.008131;-0.374174;-0.321978;-0.218291;-0.185211
-310;-0.567281;-0.209446;-0.063716;-0.616527;-0.533816
-300;0.087450;-0.320569;-0.312690;-0.085273;0.183215
-290;-0.248170;0.217169;-0.270730;-0.012120;-0.224653
-280;-0.260410;-0.461870;-0.344307;-0.065574;-0.254909
-270;-0.235008;-0.549066;-0.157227;-0.506800;-0.084471
-260;-0.337555;0.057977;-0.472355;-0.492504;-0.649831
-250;-0.337240;-0.333702;-0.297952;-0.575318;-0.222436
-240;-0.320285;-0.340480;-0.359609;-0.450356;-0.260795
-230;-0.108856;-0.333691;-0.243003;-0.312369;-0.062671
-220;-0.507384;-0.310630;-0.543783;-0.094929;-0.490698
-210;-0.253721;-0.426470;-0.408524;-0.327917;-0.369693
-200;-0.439987;-0.076678;-0.365377;-0.182275;-0.340008
-190;-0.338168;-0.586954;-0.402002;-0.247608;-0.480956
-180;-0.270759;-0.236650;-0.270939;-0.240136;-0.367384
-170;-0.246047;-0.254127;-0.215460;-0.390114;-0.224762
-160;-0.134574;-0.115859;-0.234520;-0.366301;-0.369028
-150;-0.284524;-0.001475;-0.186379;-0.158919;-0.404423
-140;-0.243518;-0.363087;-0.061842;-0.179656;-0.365366
-130;-0.233700;-0.281733;-0.354844;-0.425847;-0.382044
-120;-0.298531;-0.306671;-0.376493;-0.308577;-0.361914
-110;-0.386434;-0.229297;-0.223438;-0.124638;-0.250289
-100;-0.418016;-0.488709;-0.340600;-0.279936;-0.231742
-90;-0.445378;-0.376275;-0.302428;-0.321496;-0.229181
-80;-0.344318;-0.225403;-0.037056;-0.605254;-0.391096
