Laser Delay [ns];TA [mOD]
-400;-0.175637
-390;-0.322407
-380;-0.153935
-370;-0.350528
-360;-0.368614
-350;-0.303406
-340;-0.291932
-330;-0.123036
-320;-0.466396
-310;-0.353803
-300;-0.356053
-290;-0.449061
-280;-0.063964
-270;-0.378684
-260;-0.292011
-250;0.110314
-240;-0.417524
-230;-0.053410
-220;-0.482255
-210;-0.221464
-200;-0.571273
-190;-0.283488
-180;-0.249434
-170;-0.091936
-160;-0.096914
-150;-0.296032
-140;-0.313580
-130;-0.391751
-120;-0.265847
-110;-0.194310
-100;-0.279828
-90;0.120003
-80;-0.233247
-70;-0.200798
-60;-0.174806
-50;-0.272272
-40;-0.066539
-30;0.150105
-20;1.082057
-10;2.778327
0;4.504217
10;6.558960
20;8.552470
30;10.996733
40;12.986095
50;15.068813
60;16.694301
70;19.159901
80;20.846692
90;22.622857
100;23.854346
110;24.423608
120;24.905407
130;24.521908
140;24.159581
150;24.015201
160;23.697285
170;23.271848
180;23.020576
190;22.701761
200;22.478153
210;21.986926
220;21.526363
230;21.727814
240;21.215025
250;21.068043
260;20.765783
270;20.314592
280;20.033674
290;19.805594
300;19.565916
310;19.388540
320;19.074017
330;18.669767
340;18.547561
350;18.469030
360;17.841905
370;17.900687
380;17.667754
390;17.414761
400;17.296074
410;16.936161
420;16.874344
430;16.380440
440;16.211267
450;16.000233
460;15.820933
470;15.543459
480;15.328093
490;15.239677
500;14.971722
510;14.838193
520;14.632197
530;14.430675
540;14.202902
550;13.962463
560;13.728988
570;13.950701
580;13.677903
590;13.253995
600;13.437917
610;12.858139
620;12.930198
630;12.499701
640;12.509654
650;12.311268
660;12.123631
670;11.619390
680;12.001986
690;11.778889
700;11.583257
710;11.340211
720;11.109838
730;11.148185
740;11.038401
750;10.889171
760;10.684196
770;10.454537
780;10.505193
790;10.178581
800;10.403043
810;10.089146
820;9.780281
830;9.828416
840;9.583835
850;9.321884
860;9.426424
870;9.394539
880;8.707344
890;9.081278
900;9.091688
910;8.744005
920;8.570374
930;8.668581
940;8.692674
950;8.421964
960;8.382012
970;8.435146
980;8.168053
990;8.354128
1000;7.826329
1010;7.738493
1020;8.021071
1030;7.774492
1040;7.355722
1050;7.290803
1060;7.388253
1070;7.312672
1080;7.097328
1090;7.059052
1100;7.059955
1110;6.937729
1120;6.787936
1130;6.814883
1140;6.714531
1150;6.693051
1160;6.352996
1170;6.195210
1180;6.294079
1190;6.166962
1200;6.195560
1210;6.228096
1220;5.930614
1230;6.007705
1240;6.164665
1250;5.684535
1260;6.034659
1270;6.192882
1280;5.687496
1290;5.542132
1300;5.746725
1310;5.447482
1320;5.604286
1330;5.285709
1340;5.341905
1350;5.456314
1360;4.900205
1370;5.222906
1380;4.961164
1390;4.834129
1400;5.039514
1410;5.104591
1420;4.933391
1430;4.776837
1440;4.775937
1450;4.581825
1460;4.768723
1470;4.420761
1480;4.413146
1490;4.485756
1500;4.637853
1510;4.312546
1520;4.465033
1530;4.279559
1540;3.973953
1550;4.426227
1560;4.251048
1570;4.112672
1580;4.201746
1590;3.894406
1600;3.923525
1610;4.077349
1620;3.903880
1630;3.775191
1640;3.902344
1650;4.284892
1660;3.726548
1670;3.774237
1680;3.681941
1690;3.754969
1700;3.419755
1710;3.398033
1720;3.659797
1730;3.473238
1740;3.677128
1750;3.607627
1760;3.338800
1770;3.517590
1780;3.425226
1790;3.538995
1800;3.435302
1810;3.367059
1820;3.347960
1830;3.311516
1840;3.349906
1850;3.348562
1860;3.235304
1870;3.062320
1880;3.284747
1890;3.002890
1900;3.208905
1910;2.883509
1920;2.994881
1930;3.080730
1940;2.806447
1950;2.953629
1960;3.044248
1970;2.884187
1980;2.778654
1990;2.900521
2000;2.880241
2010;2.581752
2020;2.825375
2030;2.961989
2040;2.582677
2050;2.489558
2060;2.655841
2070;2.782018
2080;2.639598
2090;2.700159
2100;2.479857
2110;2.769262
2120;2.483565
2130;2.611733
2140;2.298184
2150;2.745219
2160;2.630127
2170;2.383158
2180;2.512978
2190;2.409603
2200;2.564608
2210;2.469453
2220;2.505141
2230;2.341116
2240;2.407814
2250;2.332223
2260;2.167311
2270;2.123363
2280;2.234679
2290;2.179934
2300;2.290524
2310;2.373548
2320;2.137913
2330;2.249078
2340;2.298789
2350;1.882596
2360;2.302103
2370;2.135405
2380;2.400246
2390;2.380395
2400;2.289922
2410;2.150315
2420;1.984933
2430;2.158952
2440;2.213029
2450;1.745801
2460;1.844963
2470;2.101958
2480;1.952686
2490;2.221002
2500;1.917267
2510;1.892006
2520;1.801862
2530;1.972464
2540;1.603096
2550;1.972389
2560;2.169689
2570;1.867983
2580;1.926189
2590;1.777319
2600;1.741863
2610;2.038910
2620;1.809646
2630;1.803793
2640;1.981911
2650;1.802967
2660;1.711625
2670;2.100729
2680;1.852099
2690;1.797465
2700;2.118296
2710;1.787788
2720;1.941736
2730;1.927775
2740;1.895680
2750;1.938594
2760;1.815469
2770;2.016364
2780;1.744764
2790;1.826783
2800;1.869808
2810;1.801459
2820;1.734512
2830;1.854459
2840;1.941785
2850;1.793361
2860;1.902871
2870;1.608551
2880;2.056880
2890;1.702090
2900;1.713892
2910;1.727862
2920;1.591565
2930;1.682731
2940;1.678651
2950;1.556332
2960;1.750113
2970;1.679827
2980;1.588661
2990;1.515181
3000;1.636812
3010;1.499293
3020;1.525217
3030;1.606569
3040;1.668871
3050;1.690369
3060;1.712426
3070;1.679999
3080;1.675415
3090;1.822299
3100;1.800297
3110;1.641191
3120;1.890477
3130;1.569305
3140;1.744964
3150;1.323834
3160;1.777029
3170;1.704379
3180;1.643213
3190;1.563714
3200;1.600700
3210;1.534835
3220;1.493495
3230;1.615784
3240;1.773248
3250;1.813115
3260;1.667581
3270;1.486081
3280;1.631273
3290;1.655268
3300;1.457872
3310;1.556554
3320;1.640651
3330;1.577289
3340;1.660027
3350;1.462582
3360;1.516421
3370;1.292844
3380;1.442495
3390;1.371313
3400;1.625238
3410;1.645923
3420;1.500284
3430;1.691597
3440;1.548698
3450;1.592544
3460;1.439478
3470;1.513572
3480;1.517300
3490;1.539916
3500;1.614457
3510;1.381852
3520;1.335987
3530;1.256509
3540;1.403611
3550;1.589281
3560;1.412785
3570;1.450096
3580;1.378359
3590;1.598526
3600;1.547363
3610;1.444553
3620;1.541191
3630;1.359755
3640;1.546389
3650;0.993234
3660;1.273422
3670;1.329477
3680;1.414162
3690;1.322633
3700;1.621297
3710;1.537762
3720;1.437117
3730;1.508508
3740;1.418987
3750;1.448487
3760;1.417890
3770;1.568088
3780;1.391433
3790;1.303678
3800;1.415889
3810;1.528665
3820;1.422192
3830;1.407190
3840;1.549006
3850;1.333208
3860;1.299817
3870;1.242302
3880;1.292432
3890;1.528208
3900;1.697601
3910;1.380773
3920;1.549790
3930;1.541769
3940;1.288750
3950;1.299686
3960;1.375367
3970;1.527664
3980;1.375408
3990;1.502729
4000;1.347623
4010;1.211404
4020;1.460268
4030;1.409482
4040;1.272183
4050;1.505268
4060;1.257261
4070;1.571213
4080;1.502931
4090;1.452827
4100;1.274947
4110;1.476948
4120;1.317584
4130;1.252569
4140;1.466456
4150;1.294780
4160;1.392067
4170;1.442224
4180;1.378115
4190;1.456281
4200;1.591180
4210;1.351965
4220;1.255683
4230;1.558288
4240;1.158308
4250;1.463460
4260;1.355876
4270;1.390069
4280;1.415644
4290;1.304815
4300;1.414071
4310;1.549854
4320;1.293734
4330;1.457066
4340;1.475792
4350;1.535433
4360;1.199669
4370;1.409435
4380;1.193331
4390;1.291915
4400;1.435155
4410;1.141539
4420;1.274152
4430;1.246930
4440;1.090675
4450;1.385330
4460;1.354928
4470;1.465808
4480;1.171164
4490;1.382740
4500;1.261063
4510;1.174162
4520;1.541390
4530;1.371282
4540;1.420636
4550;1.444966
4560;1.565231
4570;1.401415
4580;1.360648
4590;1.456437
4600;1.114140
4610;1.190499
4620;1.384768
4630;1.295685
4640;1.337084
4650;1.347059
4660;1.450653
4670;1.352319
4680;1.016025
4690;1.370665
4700;1.483635
4710;1.404983
4720;1.124949
4730;1.219217
4740;1.408252
4750;1.452477
4760;1.341358
4770;1.590951
4780;1.157847
4790;1.296041
4800;1.278779
4810;1.152514
4820;1.574305
4830;1.374018
4840;1.357106
4850;1.413050
4860;1.415491
4870;1.181185
4880;1.441758
4890;1.307009
4900;1.638076
4910;1.385657
4920;1.292564
4930;1.558272
4940;1.439099
4950;1.127690
4960;1.507582
4970;1.311672
4980;1.303047
4990;1.280864
5000;1.148224
5010;1.380847
5020;1.502987
5030;1.251800
5040;1.515632
5050;1.392575
5060;1.159967
5070;1.497245
5080;1.107417
5090;1.432958
5100;1.171949
5110;1.283452
5120;1.180587
5130;1.074104
5140;1.345282
5150;1.184043
5160;1.258286
5170;1.021237
5180;1.310956
5190;1.282665
5200;1.392726
5210;1.482383
5220;1.386120
5230;1.204032
5240;1.324859
5250;1.306653
5260;1.285210
5270;1.159426
5280;1.257405
5290;1.142241
5300;1.305742
5310;1.128886
5320;1.494024
5330;1.200907
5340;1.337471
5350;1.455320
5360;1.312871
5370;1.339107
5380;1.217438
5390;1.295226
5400;1.309344
5410;1.263369
5420;1.173552
5430;1.280467
5440;1.429349
5450;1.463073
5460;1.284478
5470;1.113812
5480;1.324963
5490;1.325492
5500;1.179800
5510;1.243254
5520;1.315158
5530;1.472884
5540;1.421721
5550;1.037196
5560;1.246960
5570;1.278968
5580;1.153238
5590;1.298563
5600;1.423333
5610;1.307521
5620;1.663918
5630;1.202984
5640;1.522799
5650;1.275239
5660;1.180461
5670;1.481669
5680;1.128843
5690;1.414203
5700;1.183748
5710;1.140445
5720;1.255421
5730;1.350861
5740;1.298320
5750;1.290119
5760;1.515858
5770;1.275257
5780;1.329599
5790;1.199910
5800;1.124107
5810;1.325603
5820;1.599386
5830;1.281494
5840;1.480237
5850;1.294784
5860;1.280448
5870;1.326997
5880;1.359555
5890;1.247007
5900;1.445261
5910;1.439171
5920;1.254823
5930;1.393732
5940;1.126760
5950;1.128267
5960;1.223094
5970;1.230139
5980;1.135730
5990;1.399593
6000;1.391808
