Laser Delay [ns];TA [mOD]
-400;-0.333181
-390;-0.686503
-380;-0.282286
-370;-0.465572
-360;-0.752877
-350;-0.701036
-340;-0.326984
-330;-0.340982
-320;-0.827150
-310;-0.468778
-300;-0.016764
-290;-0.355557
-280;-0.083684
-270;-0.891124
-260;-0.615644
-250;-0.883069
-240;-1.156048
-230;0.112636
-220;-0.238529
-210;-0.173153
-200;-0.495885
-190;-0.386079
-180;-0.314186
-170;-0.451478
-160;-1.071039
-150;-0.582134
-140;-0.712772
-130;-0.508222
-120;-0.741394
-110;-0.579012
-100;-0.501232
-90;-0.255191
-80;-0.577839
-70;-0.394175
-60;-0.787371
-50;-0.608604
-40;-0.940899
-30;-0.005957
-20;-0.337668
-10;1.265261
0;3.933730
10;6.744730
20;9.951951
30;11.839633
40;14.440646
50;16.541851
60;19.642851
70;21.236218
80;23.968999
90;26.524477
100;28.091446
110;30.423530
120;30.920358
130;30.801208
140;29.590315
150;29.883287
160;28.830856
170;28.627922
180;28.312574
190;27.973600
200;27.532839
210;27.393709
220;26.492181
230;26.316763
240;25.348859
250;25.728610
260;25.587503
270;24.754645
280;25.094176
290;24.861711
300;23.936019
310;24.284225
320;23.483674
330;23.368245
340;22.657344
350;23.061001
360;22.350767
370;21.913730
380;21.848346
390;21.726749
400;20.918701
410;21.137353
420;20.797356
430;20.015482
440;19.850221
450;19.333959
460;18.914175
470;19.271257
480;18.809522
490;18.596101
500;18.525748
510;18.697895
520;18.504965
530;17.577161
540;17.705797
550;17.467760
560;17.499071
570;17.026648
580;16.581274
590;16.271614
600;16.344053
610;16.003057
620;16.178028
630;15.598485
640;15.117222
650;15.401194
660;14.832691
670;14.832610
680;15.149830
690;14.274822
700;14.833861
710;14.339760
720;13.888903
730;13.827209
740;13.882224
750;13.657386
760;13.242782
770;13.358057
780;12.999260
790;13.094858
800;12.433562
810;13.030707
820;12.728707
830;12.283762
840;12.082600
850;11.879576
860;11.850379
870;11.360030
880;12.016960
890;11.426712
900;11.318429
910;11.372943
920;11.329691
930;10.912548
940;11.096736
950;10.601705
960;10.159450
970;10.300348
980;9.873703
990;9.753568
1000;9.993713
1010;9.663190
1020;10.150438
1030;9.163829
1040;9.334535
1050;9.536985
1060;9.088196
1070;8.709023
1080;8.657655
1090;9.111946
1100;8.504722
1110;9.201870
1120;8.381411
1130;8.722702
1140;8.517304
1150;8.301233
1160;7.815638
1170;8.400381
1180;7.792027
1190;7.629846
1200;7.738468
1210;7.751380
1220;7.456253
1230;6.954664
1240;7.556477
1250;7.641702
1260;7.328119
1270;7.373237
1280;7.193749
1290;7.510067
1300;7.518144
1310;7.389952
1320;7.000504
1330;6.928629
1340;7.068585
1350;6.710217
1360;7.006140
1370;6.800964
1380;6.570251
1390;6.673108
1400;6.608501
1410;6.592937
1420;6.768986
1430;6.146276
1440;5.898822
1450;5.993288
1460;6.106099
1470;6.652667
1480;5.476871
1490;5.660873
1500;4.931864
1510;5.927134
1520;5.723849
1530;5.759471
1540;5.644545
1550;5.585984
1560;5.431822
1570;5.286034
1580;5.150850
1590;5.350046
1600;4.651850
1610;5.668768
1620;4.908956
1630;4.727397
1640;4.916999
1650;4.939887
1660;4.851735
1670;4.836745
1680;4.743085
1690;4.450350
1700;4.769774
1710;4.411432
1720;4.546457
1730;4.499769
1740;4.966127
1750;4.074773
1760;4.375539
1770;4.725375
1780;3.724453
1790;4.344274
1800;4.007737
1810;4.177864
1820;4.078627
1830;4.186542
1840;3.995776
1850;4.379188
1860;4.379933
1870;4.594127
1880;3.824116
1890;3.973327
1900;3.834434
1910;4.030460
1920;3.490713
1930;3.852582
1940;3.727173
1950;4.247011
1960;3.318745
1970;3.714958
1980;4.078748
1990;3.872800
2000;3.354252
2010;3.870488
2020;3.870184
2030;3.783041
2040;3.448015
2050;3.074769
2060;2.950744
2070;3.424915
2080;3.575315
2090;3.373040
2100;3.026348
2110;3.230161
2120;3.207709
2130;3.325600
2140;3.595149
2150;3.179364
2160;2.894393
2170;3.401914
2180;3.377113
2190;3.057808
2200;3.356632
2210;3.099200
2220;2.845065
2230;2.798284
2240;2.879296
2250;2.462544
2260;3.019411
2270;2.668601
2280;2.829967
2290;3.286907
2300;3.162019
2310;2.646362
2320;2.985685
2330;2.614822
2340;2.375280
2350;2.499758
2360;3.204067
2370;2.596882
2380;2.765884
2390;2.632795
2400;2.338052
2410;2.484607
2420;2.612253
2430;2.582798
2440;2.063563
2450;3.520577
2460;2.021772
2470;2.821830
2480;2.983842
2490;2.240428
2500;2.724838
2510;2.944372
2520;2.595672
2530;2.536878
2540;2.276433
2550;2.522054
2560;2.545994
2570;2.301783
2580;2.729978
2590;2.420402
2600;2.067866
2610;2.118878
2620;2.505563
2630;1.957352
2640;2.337784
2650;2.098345
2660;2.608993
2670;2.172528
2680;2.805844
2690;2.254349
2700;2.049216
2710;2.393516
2720;1.865154
2730;2.568946
2740;1.655343
2750;2.051491
2760;2.176163
2770;2.216822
2780;2.935025
2790;2.440580
2800;2.404515
2810;2.461411
2820;2.143123
2830;2.176548
2840;1.863931
2850;1.956095
2860;1.833456
2870;2.149670
2880;2.516800
2890;1.828107
2900;2.139127
2910;2.509889
2920;2.413338
2930;1.966407
2940;1.660669
2950;1.429533
2960;2.258408
2970;1.538926
2980;2.138422
2990;2.076345
3000;2.433111
3010;2.259884
3020;1.628575
3030;1.926684
3040;2.355566
3050;2.049027
3060;2.056113
3070;1.537355
3080;2.073597
3090;1.373025
3100;1.894128
3110;1.608733
3120;2.417280
3130;1.383666
3140;1.672358
3150;2.404014
3160;1.989242
3170;1.910878
3180;1.854938
3190;1.626120
3200;1.632970
3210;2.289475
3220;1.757060
3230;1.551632
3240;2.383195
3250;1.867589
3260;2.334566
3270;1.942857
3280;1.616538
3290;2.156303
3300;1.455718
3310;1.830797
3320;1.669244
3330;1.718577
3340;1.600613
3350;1.664051
3360;1.453551
3370;2.019947
3380;1.765406
3390;2.101853
3400;1.992031
3410;1.738574
3420;1.950402
3430;1.856621
3440;2.219917
3450;1.658969
3460;1.722852
3470;2.315770
3480;1.541992
3490;2.074710
3500;1.243893
3510;1.418189
3520;2.526782
3530;1.806557
3540;1.805023
3550;1.577384
3560;1.526100
3570;1.670236
3580;1.936880
3590;1.705658
3600;1.603845
3610;1.730780
3620;2.167162
3630;1.204406
3640;1.246117
3650;1.488590
3660;1.888475
3670;1.369290
3680;2.156855
3690;1.649256
3700;1.590261
3710;1.303596
3720;1.317114
3730;1.189723
3740;1.500447
3750;1.606679
3760;1.338304
3770;1.253373
3780;2.043307
3790;1.879899
3800;1.509046
3810;1.470372
3820;1.547481
3830;1.109866
3840;1.829356
3850;1.359547
3860;1.375907
3870;1.468815
3880;1.709752
3890;1.890191
3900;1.329365
3910;1.846683
3920;1.280714
3930;1.798451
3940;1.637631
3950;1.348039
3960;1.507040
3970;1.304374
3980;1.830878
3990;1.463088
4000;1.254687
4010;1.391428
4020;1.947411
4030;1.255201
4040;2.022114
