Laser Delay [ns];TA [mOD]
-400;0.502282
-390;-0.900650
-380;-0.956116
-370;0.252622
-360;0.578107
-350;0.015954
-340;-1.659655
-330;-0.141250
-320;-0.727339
-310;-0.214345
-300;-0.223714
-290;-0.694843
-280;-0.921927
-270;-0.513747
-260;1.045290
-250;-0.059440
-240;-0.595129
-230;-0.212747
-220;-0.187354
-210;1.101003
-200;-1.116417
-190;0.256111
-180;0.650105
-170;-0.368519
-160;-0.025148
-150;-2.177014
-140;0.089340
-130;0.027494
-120;-1.307763
-110;-0.258799
-100;-0.888836
-90;0.185591
-80;-0.403407
-70;0.057309
-60;-0.183637
-50;-0.789481
-40;0.328330
-30;-0.418015
-20;3.246447
-10;2.304716
0;6.856977
10;8.527032
20;10.972616
30;13.498646
40;16.010158
50;18.913085
60;21.506909
70;22.999474
80;25.469325
90;26.247457
100;27.958316
110;30.579602
120;29.314680
130;28.255733
140;29.242868
150;28.025945
160;27.807797
170;27.033256
180;28.283406
190;26.488872
200;26.506682
210;25.821477
220;25.721940
230;24.976710
240;24.949919
250;24.917580
260;24.422682
270;23.866323
280;25.468564
290;23.855684
300;23.354210
310;22.232877
320;22.272137
330;21.847707
340;21.608477
350;21.648847
360;20.396043
370;20.818619
380;21.208343
390;21.125669
400;20.680526
410;20.549600
420;21.400749
430;20.226186
440;19.655690
450;20.020815
460;19.392884
470;20.039956
480;17.611178
490;18.893099
500;19.522535
510;16.814716
520;18.257869
530;17.928261
540;17.813087
550;16.523481
560;17.563456
570;16.909360
580;16.596552
590;16.769316
600;17.748407
610;16.320595
620;15.900531
630;16.649916
640;16.126472
650;15.136979
660;15.660310
670;15.507289
680;15.122168
690;13.749263
700;14.929530
710;13.704604
720;14.523150
730;13.741020
740;13.731720
750;13.944713
760;12.636231
770;12.397996
780;14.038483
790;13.334319
800;13.020511
810;11.416148
820;12.281882
830;12.340383
840;11.013475
850;11.520387
860;12.004794
870;12.685151
880;12.723158
890;10.963833
900;12.038507
910;11.514806
920;11.577607
930;11.472789
940;10.871405
950;11.118273
960;11.028393
970;9.705480
980;10.875566
990;10.939797
1000;9.769439
1010;10.386996
1020;9.496171
1030;9.640515
1040;10.290707
1050;9.392649
1060;9.124767
1070;10.487560
1080;8.398239
1090;8.540706
1100;10.373828
1110;7.638578
1120;8.695921
1130;8.694960
1140;8.441739
1150;8.010565
1160;9.106507
1170;9.330194
1180;8.539498
1190;7.124343
1200;8.389960
1210;7.651156
1220;6.645760
1230;7.928637
1240;7.968672
1250;7.566634
1260;7.727255
1270;7.253180
1280;6.817092
1290;7.890840
1300;7.603223
1310;6.224004
1320;7.058082
1330;5.911188
1340;6.558950
1350;6.817237
1360;6.544404
1370;7.623405
1380;6.632834
1390;7.363104
1400;7.072331
1410;6.207941
1420;5.520793
1430;7.368026
1440;6.493086
1450;6.449945
1460;5.986780
1470;5.977779
1480;5.800050
1490;4.767611
1500;6.491357
1510;5.886166
1520;5.571691
1530;4.753628
1540;5.171544
1550;5.246549
1560;5.860662
1570;3.675121
1580;5.230007
1590;6.027319
1600;4.147395
1610;5.356498
1620;5.708003
1630;4.814583
1640;4.430684
1650;3.893385
1660;4.584547
1670;6.132719
1680;4.327603
1690;6.020035
1700;3.633619
1710;3.395703
1720;4.896033
1730;3.369116
1740;4.615284
1750;4.216633
1760;4.519552
1770;4.085410
1780;5.134190
1790;4.136159
1800;3.942746
1810;3.742520
1820;4.217747
1830;4.450699
1840;3.568687
1850;4.174839
1860;5.070870
1870;3.493482
1880;3.154096
1890;4.023325
1900;4.125711
1910;4.938313
1920;3.992430
1930;3.424099
1940;3.320133
1950;4.182487
1960;4.482392
1970;3.796175
1980;3.593957
1990;2.355819
2000;2.463765
2010;3.101124
2020;3.732044
2030;3.837659
2040;3.496100
2050;2.942844
2060;4.198828
2070;2.433986
2080;2.481670
2090;1.674738
2100;2.953576
2110;3.658445
2120;2.724985
2130;3.519243
2140;1.311185
2150;3.310625
2160;3.428422
2170;2.603312
2180;2.338431
2190;2.881485
2200;3.017601
2210;3.497888
2220;2.149214
2230;2.304713
2240;2.703654
2250;2.609170
2260;3.405058
2270;2.754095
2280;3.581302
2290;2.740377
2300;2.080390
2310;3.030562
2320;3.200830
2330;2.487690
2340;2.936911
2350;2.840402
2360;2.524928
2370;1.833874
2380;0.738227
2390;2.510056
2400;2.590550
2410;2.567248
2420;2.708658
2430;3.076392
2440;2.640778
2450;1.727759
2460;2.733347
2470;4.486024
2480;2.038825
2490;2.010713
2500;2.351072
2510;2.169530
2520;4.028682
2530;3.181061
2540;1.220856
2550;2.336732
2560;1.890951
2570;2.507978
2580;2.676348
2590;2.368822
2600;1.528834
2610;1.042085
2620;2.177622
2630;1.277857
2640;1.595022
2650;2.097136
2660;2.720527
2670;2.212602
2680;2.221771
2690;3.526882
2700;1.654671
2710;1.512459
2720;1.802481
2730;2.341607
2740;1.837342
2750;2.254297
2760;1.431833
2770;1.542996
2780;1.028282
2790;2.251604
2800;0.807604
2810;0.951219
2820;2.091200
2830;2.774637
2840;0.698169
2850;2.409317
2860;2.398851
2870;1.719851
2880;1.600268
2890;1.487732
2900;2.496880
2910;1.159828
2920;1.957643
2930;3.186599
2940;1.726718
2950;1.037881
2960;1.700489
2970;2.592672
2980;2.214273
