Laser Delay [ns];TA [mOD]
-400;-0.256748
-390;-0.621208
-380;-0.596127
-370;-0.582171
-360;-0.814678
-350;0.290495
-340;0.003502
-330;-1.040057
-320;-0.892120
-310;-0.697408
-300;-0.218961
-290;-0.619223
-280;-1.048259
-270;-0.427440
-260;-0.618808
-250;-0.867250
-240;-0.190300
-230;-1.084786
-220;-0.229077
-210;-0.436565
-200;-0.900212
-190;-0.531525
-180;-0.019998
-170;0.477501
-160;0.075352
-150;-0.701309
-140;-0.235661
-130;-0.221660
-120;-0.617896
-110;-0.805427
-100;-0.763557
-90;-0.601985
-80;-0.656222
-70;0.001180
-60;0.309133
-50;-0.664533
-40;-0.851473
-30;-0.277686
-20;1.052445
-10;3.435286
0;5.733101
10;8.096850
20;11.304906
30;12.972601
40;16.576825
50;18.541829
60;20.686620
70;23.137292
80;24.857220
90;26.682130
100;28.632057
110;28.843468
120;28.693088
130;28.558759
140;27.859800
150;28.052341
160;27.049913
170;27.741978
180;27.637462
190;25.962406
200;25.356557
210;25.984741
220;25.672709
230;25.563150
240;24.908436
250;24.538437
260;24.948329
270;24.321054
280;23.867278
290;24.070583
300;22.411266
310;22.446676
320;22.530854
330;21.633010
340;21.903118
350;22.201421
360;21.469381
370;21.620109
380;21.320495
390;20.838488
400;20.733908
410;20.416331
420;19.377344
430;19.398568
440;19.939306
450;19.525616
460;19.395307
470;18.494964
480;18.562330
490;17.784250
500;17.658034
510;18.158552
520;17.831751
530;17.236937
540;17.157066
550;17.391962
560;16.000846
570;16.932535
580;15.811784
590;16.632828
600;16.281950
610;16.043807
620;15.550716
630;16.546031
640;15.073049
650;15.214132
660;13.877005
670;14.730468
680;13.479439
690;14.803777
700;13.898047
710;14.267340
720;13.839560
730;13.825923
740;13.515434
750;13.173991
760;12.988155
770;13.109968
780;12.973393
790;12.940546
800;12.107961
810;12.025137
820;12.445731
830;11.497417
840;12.957626
850;11.960505
860;11.503207
870;11.010084
880;11.179614
890;11.453177
900;11.234935
910;11.077832
920;11.377372
930;11.108155
940;11.160548
950;10.396778
960;10.471877
970;9.804571
980;10.253055
990;10.422170
1000;9.961921
1010;9.632585
1020;8.790641
1030;9.567541
1040;9.267139
1050;8.800850
1060;9.214835
1070;8.631669
1080;8.343805
1090;9.092797
1100;8.665297
1110;8.860995
1120;8.767151
1130;7.770418
1140;8.246137
1150;8.438717
1160;8.094696
1170;8.357593
1180;7.824539
1190;7.461896
1200;7.904635
1210;7.833400
1220;7.839412
1230;7.683412
1240;6.634809
1250;7.180352
1260;7.294893
1270;7.186888
1280;6.861629
1290;6.769119
