Laser Delay [ns];TA [mOD]
-400;-2.000886
-390;0.229955
-380;0.430198
-370;-3.865319
-360;-0.602337
-350;-1.580893
-340;-0.359002
-330;0.144300
-320;0.704787
-310;-0.057691
-300;-2.048246
-290;-1.238101
-280;-0.821214
-270;-0.863161
-260;-0.215594
-250;-0.982056
-240;1.112644
-230;0.817904
-220;0.273493
-210;-1.022882
-200;3.875449
-190;-1.197670
-180;0.186910
-170;-1.450899
-160;0.014380
-150;-2.512691
-140;-0.201926
-130;-3.351348
-120;-3.108835
-110;2.433379
-100;0.646675
-90;-1.467424
-80;1.939129
-70;-2.213692
-60;1.181847
-50;1.527399
-40;2.965889
-30;0.594821
-20;3.183073
-10;9.582236
0;13.187351
10;17.164850
20;22.214337
30;26.588004
40;33.125639
50;35.458868
60;40.859457
70;43.773676
80;50.452410
90;54.270583
100;54.982382
110;56.332282
120;57.965767
130;55.495628
140;58.153023
150;55.772244
160;56.682695
170;52.546719
180;54.237054
190;52.378986
200;54.257527
210;52.528984
220;52.478766
230;52.214402
240;50.147436
250;50.407156
260;47.689266
270;49.022852
280;45.496676
290;45.675810
300;46.865057
310;46.046259
320;46.483926
330;46.288790
340;44.960541
350;43.855554
360;41.653842
370;43.488847
380;41.097714
390;40.435101
400;40.948733
410;43.163390
420;41.483874
430;39.140015
440;41.053131
450;35.785154
460;37.736566
470;37.102388
480;36.798634
490;35.352626
500;36.981070
510;35.470545
520;34.251256
530;35.808595
540;34.481048
550;33.673673
560;34.101903
570;33.554687
580;36.260106
590;34.516105
600;33.195736
610;31.732885
620;32.159562
630;32.930728
640;29.684166
650;30.170029
660;29.446402
670;31.495936
680;28.282580
690;30.828490
700;30.205971
710;29.526486
720;26.687971
730;24.728349
740;25.898186
750;24.621777
760;27.463729
770;26.032823
780;28.850235
790;28.608867
800;25.702680
810;25.976641
820;25.526301
830;24.923629
840;24.314031
850;24.204473
860;27.702199
870;23.483765
880;22.371267
890;24.461054
900;22.762079
910;21.070224
920;22.426352
930;19.228132
940;20.028109
950;20.516743
960;20.581419
970;21.036378
980;23.022936
990;20.672852
1000;19.034463
1010;19.991764
1020;18.924486
1030;20.870229
1040;16.880016
1050;18.019739
1060;20.351935
1070;18.222958
1080;17.982336
1090;18.335578
1100;17.613638
1110;15.903673
1120;15.213750
1130;19.603534
1140;15.267521
1150;19.265364
1160;17.426286
1170;16.855786
1180;15.684118
1190;15.508926
1200;17.827975
1210;15.928260
1220;15.190916
1230;15.337865
1240;17.471593
1250;16.325471
1260;13.806235
1270;13.449255
1280;12.766004
1290;13.134179
1300;13.682285
1310;12.223404
1320;15.572371
1330;11.897744
1340;16.808562
1350;12.432969
1360;12.551861
1370;10.299257
1380;11.688397
1390;15.563526
1400;13.073444
1410;14.660540
1420;14.555432
1430;10.984398
1440;10.811040
1450;8.588638
1460;15.037400
1470;11.735160
1480;12.686950
1490;12.665350
1500;10.827096
1510;11.052367
1520;10.489980
1530;13.041856
1540;11.495302
1550;12.911620
1560;9.429069
1570;11.837460
1580;10.933537
1590;11.059384
1600;10.893099
1610;11.416669
1620;9.647921
1630;9.715488
1640;8.810095
1650;9.560273
1660;8.018872
1670;8.875348
1680;8.656249
1690;6.478163
1700;8.163735
1710;7.620508
1720;8.608386
1730;10.455318
1740;9.972532
1750;8.072875
1760;10.128907
1770;8.183424
1780;8.642038
1790;10.965893
1800;8.360883
1810;7.534177
1820;10.356428
1830;8.597072
1840;8.334172
1850;6.211377
1860;10.275770
1870;6.087079
1880;6.977553
1890;4.760533
1900;6.416818
1910;9.876353
1920;4.890564
1930;5.861277
1940;9.305571
1950;6.814629
1960;7.960443
1970;6.981589
1980;4.552138
1990;7.277217
2000;7.841710
2010;7.208818
2020;7.678921
2030;7.440595
2040;5.271911
2050;5.932186
2060;7.339869
2070;4.827624
2080;6.206771
2090;6.297685
2100;4.837046
2110;7.050091
2120;2.275199
2130;4.171220
2140;5.529577
2150;5.281276
2160;3.595588
2170;3.392128
2180;5.897831
2190;6.550643
2200;7.277061
2210;4.498591
2220;3.685111
2230;2.923019
2240;4.227146
2250;4.738680
2260;5.008774
2270;6.174218
2280;5.138143
2290;3.671882
2300;6.491848
2310;1.780277
2320;5.428631
2330;6.462278
2340;5.992033
2350;4.188266
2360;5.371701
2370;4.987811
2380;4.810983
2390;3.084175
2400;2.878573
2410;3.659582
2420;4.810017
2430;3.834673
2440;4.052771
2450;4.145845
2460;3.161416
2470;0.233267
2480;1.780696
2490;4.511562
2500;6.417582
2510;2.988795
2520;5.598687
2530;2.933234
2540;2.732233
2550;3.674433
