Laser Delay [ns];TA [mOD]
-400;NaN
-390;NaN
-380;NaN
-370;NaN
-360;NaN
-350;-0.785038
-340;-1.217872
-330;-1.114773
-320;-0.940988
-310;-0.973117
-300;-0.964716
-290;-0.948520
-280;-1.074302
-270;-1.003325
-260;-1.204429
-250;-0.891933
-240;-1.025311
-230;-0.993619
-220;-1.185539
-210;-1.050892
-200;-0.889095
-190;-1.035885
-180;-1.197605
-170;-0.865216
-160;-0.881649
-150;-0.863088
-140;-0.738393
-130;-0.888855
-120;-0.787508
-110;-0.909658
-100;-1.048654
-90;-0.871825
-80;-0.777086
-70;-0.810874
-60;-1.150858
-50;-0.991936
-40;-0.652441
-30;0.618176
-20;2.934491
-10;6.810996
0;10.766934
10;15.393977
20;19.749328
30;24.391274
40;28.419660
50;32.701962
60;36.659038
70;40.546894
80;44.402964
90;48.100864
100;50.522474
110;52.136829
120;52.258086
130;51.799731
140;51.012560
150;50.380747
160;49.892534
170;49.018770
180;48.463802
190;47.816773
200;47.290904
210;46.765191
220;46.080976
230;45.429398
240;45.000571
250;44.465858
260;44.037277
270;43.546992
280;42.818632
290;42.527706
300;41.941016
310;41.177387
320;40.724924
330;40.054885
340;39.650128
350;39.293849
360;38.878647
370;38.488277
380;37.671664
390;37.445566
400;37.006804
410;36.750039
420;36.042838
430;35.684244
440;35.364380
450;34.658894
460;34.168421
470;34.220870
480;33.490040
490;33.163043
500;32.802734
510;32.483868
520;31.979201
530;31.487218
540;31.350014
550;30.765392
560;30.587850
570;30.132550
580;29.662538
590;29.498439
600;28.887656
610;28.631898
620;28.336536
630;27.987678
640;27.607617
650;27.308328
660;26.814089
670;26.590191
680;26.270500
690;25.960035
700;25.910691
710;25.142294
720;25.026118
730;24.800957
740;24.479435
750;24.164312
760;24.020957
770;23.646389
780;23.334198
790;23.088831
800;22.663561
810;22.548188
820;22.353403
830;21.954828
840;21.671573
850;21.322045
860;21.171848
870;20.831112
880;20.539391
890;20.392107
900;20.164408
910;19.976609
920;19.591230
930;19.261160
940;18.891119
950;18.915357
960;18.755417
970;18.482290
980;18.272313
990;18.119016
1000;17.794036
1010;17.666182
1020;17.440056
1030;17.213209
1040;17.153669
1050;16.788802
1060;16.543827
1070;16.325021
1080;16.199069
1090;15.977736
1100;15.864580
1110;15.538527
1120;15.441944
1130;15.346778
1140;15.069602
1150;14.885474
1160;14.695024
1170;14.557455
1180;14.178842
1190;14.007643
1200;14.069075
1210;13.874505
1220;13.735589
1230;13.439913
1240;13.191469
1250;13.133639
1260;13.072849
1270;12.935342
1280;12.850420
1290;12.606578
1300;12.465505
1310;12.219005
1320;12.280844
1330;12.085281
1340;11.862074
1350;11.758740
1360;11.604556
1370;11.457317
1380;11.395574
1390;11.141259
1400;11.122997
1410;11.116476
1420;10.590069
1430;10.605898
1440;10.593900
1450;10.312891
1460;10.395014
1470;10.094658
1480;9.947545
1490;9.997956
1500;9.796268
1510;9.766867
1520;9.521485
1530;9.517842
1540;9.404964
1550;9.136680
1560;9.125641
1570;9.046995
1580;9.078513
1590;8.878194
1600;8.796513
1610;8.547162
1620;8.634237
1630;8.621280
1640;8.598911
1650;8.465980
1660;8.086296
1670;8.112619
1680;7.909978
1690;7.735604
1700;7.345382
1710;7.742439
1720;7.472189
1730;7.496781
1740;7.400345
1750;7.264787
1760;7.271666
1770;7.237778
1780;7.353997
1790;7.034766
1800;7.066671
1810;6.913084
1820;6.815673
1830;6.754687
1840;6.653979
1850;6.677275
1860;6.659276
1870;6.550465
1880;6.445593
1890;6.272291
1900;6.121277
1910;6.174932
1920;6.124526
1930;6.138695
1940;5.956164
1950;6.146246
1960;5.762441
1970;5.886410
1980;5.699080
1990;5.691702
2000;5.481195
2010;5.380592
2020;5.549649
2030;5.542717
2040;5.316306
2050;5.469801
2060;5.147030
2070;5.160140
2080;5.128146
2090;5.087750
2100;5.015726
2110;5.016952
2120;4.712618
2130;4.843597
2140;4.825931
2150;4.835762
2160;4.668895
2170;4.846247
2180;4.536594
2190;4.563484
2200;4.538478
2210;4.496073
2220;4.338067
2230;4.495904
2240;4.177281
2250;4.325637
2260;4.247168
2270;4.321497
2280;4.275696
2290;4.139541
2300;4.127213
2310;4.092328
2320;3.982032
2330;3.839470
2340;3.890357
2350;3.911420
