Laser Delay [ns];TA [mOD]
-400;0.021498
-390;-0.036339
-380;0.027719
-370;-0.051226
-360;-0.079061
-350;-0.081254
-340;-0.080892
-330;-0.176269
-320;0.074677
-310;-0.123986
-300;-0.104041
-290;0.024910
-280;-0.020788
-270;0.099700
-260;-0.140788
-250;-0.100286
-240;0.122171
-230;-0.023088
-220;-0.028055
-210;-0.200743
-200;0.055453
-190;0.147961
-180;-0.063081
-170;0.118609
-160;0.060404
-150;-0.069509
-140;0.144603
-130;-0.041440
-120;-0.053254
-110;-0.092110
-100;-0.069347
-90;0.110716
-80;0.009973
-70;-0.086705
-60;0.017386
-50;0.018606
-40;0.105896
-30;0.003977
-20;0.024235
-10;0.284132
0;0.946940
10;1.689576
20;2.523039
30;3.477601
40;4.189721
50;4.874581
60;5.636751
70;6.381695
80;6.942061
90;7.934819
100;8.689086
110;9.238374
120;9.834657
130;9.611982
140;9.614895
150;9.347723
160;9.369178
170;9.292818
180;9.113482
190;8.972384
200;9.062742
210;8.811202
220;8.851923
230;8.706146
240;8.449904
250;8.429134
260;8.438641
270;8.156011
280;8.005978
290;8.128536
300;8.027139
310;7.984628
320;7.776050
330;7.909618
340;7.611883
350;7.441860
360;7.472034
370;7.388280
380;7.403909
390;7.288815
400;7.160462
410;7.089419
420;6.932068
430;6.946216
440;6.983218
450;6.733643
460;6.748011
470;6.547757
480;6.495309
490;6.600641
500;6.398069
510;6.404604
520;6.342616
530;6.297458
540;6.141897
550;6.140400
560;5.986388
570;5.996641
580;5.933796
590;5.984776
600;5.780539
610;5.800664
620;5.712925
630;5.565483
640;5.632430
650;5.329200
660;5.467291
670;5.369901
680;5.284414
690;5.246550
700;5.215055
710;5.125667
720;5.091984
730;5.078040
740;5.047413
750;4.903809
760;4.758708
770;4.831314
780;4.748846
790;4.636064
800;4.715209
810;4.537696
820;4.726401
830;4.496411
840;4.494406
850;4.364232
860;4.236579
870;4.270867
880;4.247127
890;4.227757
900;4.164179
910;4.103830
920;4.031117
930;4.017562
940;3.983597
950;3.923519
960;3.991583
970;3.645244
980;3.762948
990;3.726520
1000;3.766377
1010;3.732377
1020;3.605535
1030;3.688447
1040;3.650680
1050;3.672458
1060;3.647501
1070;3.319170
1080;3.391911
1090;3.433888
1100;3.295425
1110;3.181567
1120;3.226336
1130;3.121416
1140;3.258605
1150;3.150730
1160;3.137215
1170;3.136121
1180;3.025017
1190;3.079805
1200;2.921639
1210;2.911262
1220;2.783471
1230;2.833570
1240;2.940061
1250;2.835617
1260;2.809888
1270;2.689475
1280;2.810787
1290;2.759427
1300;2.777425
1310;2.685996
1320;2.675342
1330;2.585973
1340;2.589684
1350;2.538179
1360;2.435046
1370;2.422805
1380;2.490954
1390;2.489378
1400;2.305062
1410;2.291516
1420;2.405935
1430;2.539547
1440;2.222265
1450;2.120271
1460;2.229161
1470;2.243135
1480;2.209289
1490;2.276564
1500;2.127000
1510;2.118094
1520;2.204696
1530;2.029311
1540;2.120926
1550;2.097526
1560;2.110039
1570;1.932705
1580;1.846115
1590;2.033197
1600;1.975150
1610;1.890788
1620;1.870062
1630;1.949937
1640;1.951073
1650;1.722580
1660;1.890982
1670;1.753122
1680;1.875738
1690;1.784330
1700;1.685096
1710;1.731113
1720;1.730842
1730;1.625233
1740;1.724676
1750;1.760748
1760;1.669412
1770;1.534801
1780;1.571264
1790;1.549191
1800;1.541963
1810;1.483377
1820;1.484151
1830;1.525373
1840;1.609588
1850;1.440242
1860;1.596612
1870;1.418922
1880;1.499726
1890;1.247671
1900;1.414128
1910;1.399027
1920;1.534663
1930;1.553881
1940;1.372749
1950;1.334176
1960;1.284654
1970;1.263079
1980;1.259309
1990;1.408517
2000;1.317056
2010;1.287570
2020;1.199193
2030;1.221999
2040;1.253273
2050;1.223439
2060;1.271613
2070;1.350883
2080;1.114550
2090;1.112801
2100;1.008440
2110;1.128079
2120;1.111252
2130;1.123468
2140;0.937627
2150;1.035490
2160;1.064465
2170;1.021564
2180;1.115481
2190;1.110986
2200;0.841336
2210;1.043488
2220;0.959402
2230;0.917699
2240;0.896601
2250;0.947749
2260;0.924516
2270;0.856453
2280;0.896329
2290;0.901450
2300;0.886075
2310;0.839316
2320;0.893165
2330;0.941686
2340;0.824467
2350;0.827367
2360;0.733618
2370;0.840172
2380;0.907402
2390;0.960322
2400;0.864968
2410;0.901242
2420;0.742564
2430;0.670081
2440;0.811054
2450;0.795555
2460;0.825740
2470;0.756117
2480;0.859381
2490;0.815396
2500;0.543865
2510;0.937203
2520;0.723369
2530;0.625347
2540;0.583637
2550;0.594323
2560;0.753771
2570;0.598625
2580;0.673997
2590;0.581050
2600;0.701536
2610;0.765795
2620;0.575737
2630;0.688188
2640;0.669917
2650;0.595795
2660;0.642410
2670;0.775859
2680;0.606977
2690;0.593395
2700;0.547462
2710;0.577598
2720;0.427494
2730;0.566215
2740;0.547468
2750;0.653833
2760;0.445088
2770;0.574474
2780;0.533154
2790;0.558592
2800;0.537937
2810;0.495740
2820;0.522933
2830;0.544574
2840;0.414327
2850;0.492899
2860;0.462023
2870;0.518991
2880;0.531758
2890;0.430885
2900;0.546425
2910;0.317846
2920;0.409225
2930;0.511886
2940;0.490480
2950;0.534720
2960;0.336910
2970;0.409304
2980;0.483811
2990;0.462822
3000;0.378261
3010;0.319597
3020;0.409180
3030;0.440358
3040;0.392935
3050;0.373756
3060;0.417119
3070;0.538615
3080;0.394148
3090;0.492771
3100;0.345175
3110;0.219824
3120;0.443365
3130;0.255015
3140;0.280450
3150;0.500919
3160;0.264960
3170;0.362489
3180;0.297874
3190;0.361210
3200;0.467146
3210;0.379128
3220;0.360030
3230;0.375667
3240;0.307086
3250;0.300535
3260;0.353427
3270;0.334644
3280;0.376041
3290;0.258724
3300;0.339841
3310;0.259404
3320;0.317165
3330;0.244812
3340;0.191211
3350;0.324955
3360;0.296482
3370;0.339967
3380;0.342002
3390;0.292618
3400;0.208319
3410;0.158123
3420;0.207272
3430;0.267527
3440;0.183402
3450;0.123844
3460;0.289228
3470;0.257749
3480;0.246740
3490;0.234934
3500;0.297950
3510;0.208983
3520;0.233103
3530;0.250619
3540;0.230056
3550;0.197862
3560;0.226868
3570;0.294937
3580;0.176343
3590;0.331064
3600;0.422458
3610;0.140294
3620;0.268657
3630;0.297966
3640;0.267961
3650;0.095639
3660;0.286473
3670;0.094411
3680;0.210724
3690;0.352244
3700;0.115375
3710;0.111274
3720;0.019546
3730;0.135784
3740;0.028862
3750;0.115294
3760;0.214557
3770;0.101993
3780;0.144002
3790;0.154075
3800;0.137386
3810;0.089834
3820;0.245002
3830;0.171564
3840;0.236877
3850;0.051022
3860;0.020039
3870;0.225751
3880;-0.014977
3890;0.144046
3900;0.141070
3910;0.185911
3920;0.221954
3930;0.066561
3940;0.047977
3950;0.215318
3960;-0.019149
3970;0.154721
3980;0.081925
3990;0.192313
4000;0.015417
4010;0.335561
4020;0.180482
4030;0.166646
4040;0.053640
4050;0.178560
4060;0.173141
4070;0.051831
4080;0.187718
4090;0.095404
4100;0.162570
4110;0.250926
4120;0.172927
4130;0.143825
4140;0.049169
4150;0.306646
4160;0.165176
4170;0.083052
4180;0.087574
4190;0.211832
4200;0.178861
4210;0.126044
4220;0.137139
4230;0.058683
4240;0.172042
4250;0.318622
4260;0.127418
4270;0.145041
4280;0.143937
4290;0.086758
4300;0.111458
4310;0.177788
4320;-0.032704
4330;0.157120
4340;0.087256
4350;0.030078
4360;0.260382
4370;0.171136
4380;0.120978
4390;0.035612
4400;0.149099
4410;-0.002410
4420;0.010436
4430;-0.011793
4440;0.162805
4450;0.027461
4460;0.044755
4470;0.180944
4480;0.078166
4490;0.185695
4500;0.082113
4510;0.113380
4520;0.022547
4530;0.276876
4540;0.031945
4550;0.012501
4560;0.059511
4570;0.122087
4580;0.195020
4590;0.017003
4600;0.066201
4610;-0.026495
4620;0.081823
4630;0.189775
4640;0.036968
4650;0.110863
4660;0.032134
4670;-0.031874
4680;0.104164
4690;-0.052680
4700;-0.045899
4710;0.116824
4720;-0.006374
4730;0.225814
4740;0.007536
4750;0.070380
4760;0.112913
4770;-0.088924
4780;-0.031689
4790;0.033059
4800;0.052566
4810;0.069227
4820;0.041883
4830;0.054716
4840;0.031661
4850;0.166699
4860;0.273178
4870;-0.037269
4880;0.109817
4890;0.043893
4900;0.105688
4910;0.040638
4920;0.071200
4930;0.047963
4940;0.013538
4950;-0.026032
4960;0.057025
4970;0.099945
4980;0.200371
4990;-0.031642
5000;0.084807
