Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD];TA4 [mOD];TA5 [mOD]
-400;-0.162744;0.224881;-0.312645;0.174541;0.183456
-390;-0.059471;-0.018365;-0.093713;-0.017878;0.007734
-380;0.046065;0.007257;-0.163347;0.023210;0.225408
-370;0.043684;-0.095482;0.138587;-0.266253;-0.076669
-360;-0.311110;-0.154030;-0.042997;0.127804;-0.014973
-350;-0.138907;-0.202495;-0.185158;0.291988;-0.171699
-340;-0.073495;0.105914;0.110065;-0.407206;-0.139739
-330;-0.139782;0.010149;-0.249418;-0.325936;-0.176356
-320;0.287690;0.248517;-0.107370;-0.096569;0.041118
-310;-0.199896;-0.340125;0.019818;-0.113261;0.013533
-300;-0.348784;-0.123487;0.036212;-0.092845;0.008701
-290;-0.053854;0.164112;-0.154981;0.102093;0.067182
-280;-0.062987;-0.265063;0.007247;0.255535;-0.038671
-270;0.141470;0.149704;-0.109931;0.205652;0.111605
-260;-0.145844;-0.252599;-0.330559;0.028930;-0.003867
-250;-0.118864;-0.059963;-0.082525;0.013540;-0.253616
-240;0.291779;-0.098062;0.166828;-0.108232;0.358541
-230;-0.063062;-0.045457;-0.158229;0.157603;-0.006292
-220;-0.175062;-0.196257;0.041124;0.191854;-0.001932
-210;-0.547844;-0.476415;-0.118987;0.249128;-0.109595
-200;0.075677;-0.039618;-0.082609;0.296270;0.027545
-190;0.358300;0.146995;-0.179893;0.078307;0.336096
-180;-0.027920;0.185316;-0.201972;-0.132691;-0.138137
-170;0.220067;-0.080204;0.426702;0.093767;-0.067285
-160;-0.266969;0.122868;0.036714;0.333026;0.076380
-150;-0.258310;0.059907;-0.014010;-0.337054;0.201920
-140;0.249883;0.062859;-0.168177;0.424825;0.153623
-130;-0.039538;-0.158854;-0.252633;0.047808;0.196017
-120;-0.160805;0.137000;-0.191051;-0.233464;0.182050
-110;0.112177;-0.161487;-0.112465;-0.115992;-0.182783
-100;-0.145034;0.037683;-0.158052;-0.131128;0.049795
-90;0.064634;0.061845;0.101029;0.300467;0.025604
-80;0.157612;-0.136821;-0.045467;0.108352;-0.033812
-70;-0.154295;0.129589;0.012078;-0.228903;-0.191994
-60;-0.034730;0.101864;0.223109;0.096603;-0.299914
-50;0.040990;0.137222;-0.267850;-0.044535;0.227201
-40;0.461849;-0.007727;0.038619;-0.038168;0.074908
-30;-0.087854;-0.018823;-0.074361;0.086020;0.114901
-20;0.272207;0.193168;-0.329500;-0.147039;0.132338
-10;0.247541;0.422691;0.341226;0.226582;0.182621
0;0.834765;1.157442;1.053901;0.770930;0.917658
10;1.709865;1.542493;1.735224;1.656377;1.803920
20;2.720606;1.979238;2.591454;2.622014;2.701885
30;3.325959;3.497487;3.730597;3.302168;3.531792
40;4.078424;4.131110;4.420784;3.934812;4.383474
50;5.045254;4.920437;4.878333;4.693560;4.835324
60;5.439041;5.809517;5.812405;5.731737;5.391054
70;6.094016;6.469424;6.605997;6.442351;6.296686
80;7.015252;7.265513;6.902798;6.552566;6.974175
90;7.765003;8.158186;8.069288;8.210210;7.471406
100;8.508726;8.838886;8.883894;8.663815;8.550110
110;9.043376;9.208339;9.074841;9.522788;9.342523
120;9.766070;9.728372;9.717412;9.974080;9.987353
130;9.529326;9.715152;9.747338;9.536619;9.531476
140;9.929193;9.389294;9.816168;9.396546;9.543276
