Laser Delay [ns];TA [mOD]
-400;-0.664284
-390;-0.620060
-380;-0.465066
-370;-0.660462
-360;-0.481000
-350;-0.720573
-340;-0.221742
-330;-0.387280
-320;-0.489600
-310;-0.641868
-300;-0.418443
-290;-0.516438
-280;-0.410922
-270;-0.615123
-260;-0.587392
-250;-0.640090
-240;-0.522497
-230;-0.342304
-220;-0.561840
-210;-0.579721
-200;-0.656436
-190;-0.448921
-180;-0.392321
-170;-0.674962
-160;-0.478119
-150;-0.546824
-140;-0.458849
-130;-0.444068
-120;-0.430332
-110;-0.372796
-100;-0.569152
-90;-0.763128
-80;-0.402803
-70;-0.353008
-60;-0.307098
-50;-0.488243
-40;-0.119180
-30;0.102987
-20;0.763218
-10;2.086829
0;3.720045
10;5.415857
20;7.051205
30;8.642053
40;9.709001
50;11.333852
60;12.618632
70;14.095900
80;15.419094
90;16.875393
100;17.713882
110;17.972297
120;17.917353
130;17.427665
140;17.428995
150;16.907162
160;16.678088
170;16.328707
180;16.125961
190;15.964824
200;15.493631
210;15.411684
220;15.055822
230;14.949741
240;14.649842
250;14.532921
260;14.206480
270;13.980256
280;13.578426
290;13.683726
300;13.238398
310;13.021911
320;13.012635
330;12.524865
340;12.578138
350;12.238027
360;11.962423
370;11.559365
380;11.746073
390;11.561728
400;11.415138
410;11.055005
420;10.911381
430;10.827563
440;10.663767
450;10.544167
460;10.255815
470;10.157869
480;10.185126
490;10.012000
500;9.959383
510;9.800763
520;9.601483
530;9.595314
540;9.453516
550;8.916171
560;9.235220
570;8.913000
580;8.911200
590;8.566534
600;8.551835
610;8.809658
620;8.232322
630;8.191731
640;8.059578
650;8.282378
660;8.218952
670;7.740486
680;7.776540
690;7.714901
700;7.801713
710;7.631308
720;7.507130
730;7.303268
740;7.289896
750;7.341449
760;7.311467
770;7.164068
780;7.074995
790;6.818096
800;6.766814
810;6.973356
820;6.720869
830;6.435618
840;6.863646
850;6.705789
860;6.435284
870;6.426106
880;6.455278
890;6.149258
900;6.413075
910;6.387353
920;6.158703
930;5.975372
940;6.044787
950;6.029147
960;5.785608
970;6.128082
980;5.805733
990;5.863723
1000;5.766171
1010;5.724662
1020;5.844678
1030;5.828356
1040;5.656308
1050;5.445271
1060;5.677438
1070;5.436577
1080;5.415235
1090;5.544430
1100;5.369800
1110;5.527025
1120;5.429160
1130;5.538199
1140;5.244777
1150;5.240726
1160;5.341456
1170;5.061907
1180;5.211023
1190;5.299931
1200;5.257944
1210;5.197056
1220;5.230482
1230;4.870998
1240;4.964965
1250;4.892946
1260;5.122072
1270;4.758197
1280;4.750211
1290;5.130330
1300;5.076392
1310;4.965173
1320;4.860275
1330;4.910036
1340;4.752065
1350;5.059361
1360;5.017567
1370;4.883728
1380;4.898995
1390;4.731493
1400;4.806793
