Laser Delay [ns];TA1 [mOD];TA2 [mOD];TA3 [mOD]
-400;-0.662933;-0.548137;-0.781782
-390;-0.730031;-0.550699;-0.579450
-380;-0.536029;-0.249535;-0.609634
-370;-0.679763;-0.778710;-0.522914
-360;-0.385444;-0.429475;-0.628082
-350;-1.009014;-0.505742;-0.646964
-340;-0.177558;-0.213077;-0.274590
-330;-0.437790;-0.382622;-0.341428
-320;-0.278289;-0.759307;-0.431205
-310;-0.600202;-0.480226;-0.845175
-300;-0.815656;-0.138712;-0.300962
-290;-0.426217;-0.683254;-0.439842
-280;-0.705253;-0.097675;-0.429839
-270;-0.882971;-0.674232;-0.288165
-260;-0.526172;-0.590434;-0.645570
-250;-0.208534;-0.996844;-0.714894
-240;-0.427433;-0.301684;-0.838373
-230;-0.182924;-0.442935;-0.401054
-220;-0.435089;-0.458677;-0.791754
-210;-0.463908;-0.689656;-0.585598
-200;-0.680693;-0.670310;-0.618305
-190;-0.357410;-0.385940;-0.603414
-180;-0.367695;-0.388100;-0.421167
-170;-0.869883;-0.764625;-0.390378
-160;-0.448556;-0.370057;-0.615745
-150;-0.558953;-0.670544;-0.410975
-140;-0.757200;-0.269751;-0.349595
-130;-0.555825;-0.146624;-0.629754
-120;-0.686722;-0.468054;-0.136218
-110;-0.604072;-0.154436;-0.359880
-100;-0.673481;-0.633102;-0.400874
-90;-0.609148;-1.091835;-0.588401
-80;-0.516962;-0.298609;-0.392840
-70;-0.393126;-0.324207;-0.341693
-60;-0.635610;-0.311344;0.025660
-50;-0.485879;-0.550115;-0.428733
-40;0.202990;-0.529722;-0.030807
-30;0.183017;-0.123466;0.249411
-20;0.952814;0.615757;0.721083
-10;2.207478;1.915327;2.137681
0;3.823931;3.410791;3.925412
10;5.432209;5.575277;5.240084
20;7.013417;6.962886;7.177311
30;8.813497;8.589083;8.523578
40;9.841096;9.487541;9.798366
50;11.236171;11.379678;11.385708
60;12.870417;12.627914;12.357564
70;14.215665;14.371363;13.700672
80;15.258530;15.216566;15.782185
90;16.861647;16.833678;16.930854
100;17.936528;17.954571;17.250547
110;18.071286;17.921505;17.924100
120;18.089106;17.730300;17.932653
130;17.710132;17.353437;17.219427
140;17.464081;17.537203;17.285702
150;17.088884;16.689389;16.943212
160;16.387075;16.649443;16.997748
170;16.261972;16.551818;16.172330
180;16.140860;16.219511;16.017512
190;15.954077;16.280892;15.659505
200;15.578261;15.523485;15.379147
210;15.477624;15.667059;15.090370
220;15.188769;14.799507;15.179192
230;14.711183;15.050161;15.087880
240;14.579719;14.572047;14.797760
250;14.288876;14.722838;14.587049
260;14.340979;14.191750;14.086710
270;13.815563;13.944142;14.181062
280;13.209282;13.601530;13.924466
290;13.868862;13.735264;13.447053
300;13.381682;13.288616;13.044897
310;13.030290;12.884202;13.151241
320;13.003242;13.077833;12.956830
330;12.442534;12.732392;12.399668
340;12.313553;12.727625;12.693235
350;12.613586;12.339687;11.760807
360;11.649047;12.176702;12.061519
370;11.497311;11.817400;11.363383
380;11.853903;11.682603;11.701714
390;11.512126;11.474165;11.698895
400;11.141799;11.441268;11.662347
410;11.414583;10.901549;10.848882
420;11.416989;10.736689;10.580464
430;11.019423;10.576183;10.887083
440;10.820461;10.649896;10.520943
450;10.305789;10.401354;10.925358
460;10.166130;10.198522;10.402793
470;10.119613;10.081503;10.272492
480;10.307235;10.224830;10.023312
490;10.090400;9.954199;9.991399
