Laser Delay [ns];TA [mOD]
-400;0.005272
-390;0.129047
-380;0.457696
-370;-0.295894
-360;0.534136
-350;-0.259079
-340;0.002447
-330;-0.159107
-320;-0.306952
-310;0.175559
-300;-0.131552
-290;0.021247
-280;-0.031468
-270;-0.045771
-260;0.408069
-250;-0.324245
-240;-0.182796
-230;-0.452577
-220;-0.029029
-210;-0.025770
-200;-0.117314
-190;-0.243316
-180;-0.007771
-170;-0.161109
-160;-0.334014
-150;0.064995
-140;-0.613818
-130;0.094004
-120;-0.735816
-110;0.521039
-100;-0.293803
-90;0.211549
-80;0.080074
-70;0.231251
-60;-0.325838
-50;-0.133501
-40;0.043711
-30;0.228413
-20;0.449640
-10;1.174046
0;1.709911
10;2.723155
20;3.313273
30;4.229344
40;5.302484
50;6.767215
60;7.177021
70;8.194490
80;9.226106
90;9.056441
100;8.909219
110;9.293036
120;8.778582
130;8.443728
140;8.593108
150;8.489799
160;8.295307
170;8.518236
180;8.174209
190;7.689302
200;8.242793
210;7.750820
220;7.902137
230;8.001365
240;7.876282
250;7.653101
260;7.853890
270;6.935432
280;7.032501
290;7.665053
300;7.082515
310;6.993303
320;6.280101
330;7.017348
340;6.518841
350;6.472734
360;6.700764
370;7.137254
380;6.150643
390;6.504202
400;6.484614
410;6.012314
420;6.373027
430;6.314033
440;6.330492
450;5.637901
460;5.876587
470;5.725780
480;5.531455
490;5.998511
500;5.588219
510;5.381661
520;6.322899
530;5.995988
540;5.890430
550;5.367139
560;5.502891
570;5.046330
580;4.948262
590;5.030441
600;5.154031
610;5.227283
620;5.130530
630;5.258594
640;4.955131
650;4.341925
660;4.838519
670;4.244055
680;4.452021
690;4.561475
700;4.498218
710;4.153914
720;4.672838
730;4.624066
740;3.917305
750;4.177398
760;4.060547
770;3.828113
780;4.261775
790;4.116218
800;4.317421
810;4.183759
820;3.845861
830;3.729152
840;3.603502
850;3.631896
860;4.285298
870;3.739720
880;3.906951
890;3.449378
900;3.758223
910;3.482630
920;4.034573
930;3.502389
940;3.763004
950;3.593321
960;3.300083
970;3.563294
980;3.439281
990;3.413979
1000;3.155558
1010;3.370523
1020;3.497698
1030;3.292191
1040;3.510718
1050;2.898446
1060;3.107613
1070;3.026375
1080;3.108050
1090;3.368640
1100;2.806007
1110;2.650275
1120;3.080011
1130;3.133839
1140;2.992561
1150;2.712144
1160;2.974381
1170;2.676609
1180;2.417115
1190;2.884970
1200;2.963678
1210;2.301151
1220;3.032587
1230;2.453331
1240;2.602077
1250;2.576907
1260;2.296849
1270;2.316767
1280;2.386502
1290;2.451439
1300;2.305969
1310;1.710436
1320;1.989362
1330;2.059194
1340;2.097049
1350;2.396568
1360;2.512669
1370;2.105686
1380;2.303102
1390;2.163804
1400;2.227373
1410;1.670751
1420;2.097746
1430;2.073238
1440;1.636041
1450;1.722212
1460;1.971444
1470;2.624051
1480;2.519394
1490;1.821155
1500;1.891516
1510;1.667390
1520;1.798924
1530;1.282283
1540;1.279218
1550;1.689716
1560;1.894023
1570;1.123671
1580;1.236804
1590;1.844305
1600;1.602714
1610;1.956476
1620;1.519823
1630;1.529258
1640;1.527958
1650;1.576262
1660;1.453050
1670;1.313798
1680;1.692362
1690;0.876109
1700;1.999207
1710;1.743041
1720;1.752527
1730;1.203578
1740;1.221351
1750;1.653269
1760;1.373071
1770;1.174130
1780;1.687363
1790;1.849060
1800;0.878083
1810;1.146935
1820;1.296602
1830;1.326235
1840;1.556706
1850;1.471764
1860;1.485359
1870;1.430082
1880;1.711643
1890;0.832869
1900;1.125570
1910;1.102790
1920;1.029893
1930;1.250824
1940;1.418633
1950;0.872455
1960;1.185740
1970;0.978466
1980;1.160857
1990;1.331964
2000;0.822161
2010;0.776379
