Laser Delay [ns];TA [mOD]
-400;0.022796
-390;-0.161698
-380;0.397059
-370;0.018818
-360;-0.165735
-350;0.087372
-340;0.532416
-330;0.511288
-320;0.044894
-310;-0.234212
-300;0.312024
-290;0.018446
-280;-0.141211
-270;0.377069
-260;0.259152
-250;0.405645
-240;-0.185413
-230;-0.178533
-220;-0.335074
-210;0.272477
-200;-0.075029
-190;-0.035721
-180;0.067867
-170;0.182632
-160;0.347606
-150;0.484294
-140;-0.180648
-130;0.319107
-120;0.204247
-110;-0.176650
-100;0.137713
-90;0.102037
-80;0.356713
-70;0.578884
-60;0.104811
-50;-0.011245
-40;0.047366
-30;-0.012449
-20;0.428161
-10;0.493390
0;1.481420
10;2.343305
20;3.684680
30;4.348549
40;4.028663
50;4.141106
60;4.270424
70;4.417940
80;3.852365
90;4.552449
100;4.267608
110;3.826684
120;3.972583
130;3.810155
140;3.821822
150;4.185346
160;3.680042
170;3.922322
180;4.161343
190;3.658535
200;3.894276
210;3.518063
220;3.510640
230;3.646929
240;3.097330
250;3.557542
260;3.497893
270;3.506429
280;3.585547
290;2.897766
300;3.202171
310;3.124505
320;3.180631
330;3.097572
340;3.436852
350;3.026033
360;3.361057
370;3.012176
380;3.002357
390;3.224840
400;2.303071
410;2.847763
420;2.288796
430;2.444815
440;2.875400
450;2.669013
460;2.578966
470;2.655240
480;2.640427
490;2.632743
500;2.897859
510;2.350182
520;2.605588
530;2.722848
540;2.429915
550;2.438038
560;2.403144
570;2.378666
580;2.664539
590;1.997377
600;2.074172
610;2.446482
620;2.121245
630;2.688061
640;2.716907
650;2.139424
660;2.082037
670;1.738717
680;1.870579
690;2.410750
700;1.930802
710;2.036668
720;1.991933
730;2.016217
740;2.056395
750;1.808780
760;2.422966
770;1.890609
780;1.968765
790;2.509418
800;1.796876
810;1.361094
820;2.253816
830;1.429505
840;1.987371
850;2.537116
860;1.618038
870;1.643916
880;2.001631
890;1.759023
900;1.686087
910;1.388368
920;1.616842
930;1.966148
940;1.743531
950;1.473937
960;2.056156
970;2.024526
980;1.302532
990;1.051329
1000;1.534390
1010;1.557140
1020;1.733542
1030;1.459798
1040;1.556920
1050;1.352623
1060;1.266993
1070;1.230811
1080;1.585939
1090;1.690690
1100;1.503271
1110;0.982989
1120;1.177693
1130;1.533459
1140;1.584667
1150;1.365309
1160;1.912092
1170;1.315402
1180;0.465415
1190;0.996228
1200;1.184683
1210;0.936439
1220;1.525828
1230;0.653563
1240;1.419142
1250;1.139499
1260;1.287225
1270;1.224071
1280;1.194834
1290;0.925072
1300;0.892791
1310;0.571908
1320;1.100178
1330;1.552926
1340;1.187374
1350;1.147373
1360;0.962559
1370;0.756838
1380;0.892830
1390;1.176846
1400;0.766811
1410;1.133728
1420;0.700441
1430;0.896792
1440;1.096155
1450;1.225876
1460;0.981333
1470;0.731265
1480;0.933106
1490;0.667797
1500;0.837764
1510;1.103908
1520;0.810882
1530;0.937026
1540;0.573407
1550;1.135160
1560;0.794946
1570;0.951508
1580;0.785599
1590;0.898333
1600;1.025804
1610;0.596014
1620;0.570239
1630;1.333137
1640;0.742155
1650;0.564045
1660;0.350150
1670;0.744228
1680;1.095249
1690;0.640650
1700;0.631326
1710;0.396517
1720;0.800457
1730;0.787648
1740;0.579321
1750;0.686266
1760;1.055596
1770;0.687181
1780;0.497495
1790;0.227187
1800;0.763030
1810;0.530063
1820;0.559121
1830;0.346177
1840;0.071009
1850;0.437847
1860;0.657564
1870;1.043765
1880;0.492831
1890;0.585985
1900;0.533454
1910;0.483888
1920;0.393758
1930;0.457700
1940;0.497031
1950;0.569906
1960;0.810229
1970;0.728039
1980;0.387160
1990;0.405385
2000;0.113692
2010;0.426368
2020;0.559360
2030;0.778309
2040;0.611482
2050;0.816608
2060;0.584729
2070;0.609306
2080;0.424129
2090;0.508708
2100;0.280468
2110;0.498772
2120;0.135058
2130;0.536073
2140;0.497399
2150;0.542267
2160;0.408542
2170;0.322106
2180;0.829067
2190;0.163298
2200;0.638096
2210;0.666986
2220;0.029820
2230;0.299047
2240;0.344397
2250;-0.010070
2260;0.712933
2270;0.748012
2280;0.525257
2290;0.101126
2300;0.444563
2310;-0.040683
2320;0.553645
2330;-0.010876
2340;0.255576
2350;0.728621
2360;-0.108673
2370;0.420188
2380;0.609959
2390;0.216664
2400;0.430524
2410;0.098609
2420;-0.184220
2430;-0.083277
2440;0.466277
2450;0.465768
2460;0.041034
2470;0.168931
2480;0.789718
2490;0.555884
2500;0.339834
2510;0.406311
2520;0.193457
2530;0.172534
2540;-0.132672
2550;0.577739
2560;0.271785
2570;0.418959
2580;0.202309
2590;0.193411
2600;0.368382
2610;0.151670
2620;0.364365
2630;0.392106
2640;0.489699
2650;0.526211
2660;-0.022911
2670;0.414731
2680;-0.334975
2690;0.185767
2700;0.298444
2710;0.541164
2720;0.096478
2730;-0.443031
2740;-0.090126
2750;0.364074
2760;0.153088
2770;-0.243185
2780;0.151452
2790;-0.026126
2800;0.129047
2810;0.192043
2820;-0.122604
2830;0.124978
2840;-0.175644
2850;-0.213128
2860;0.179920
2870;0.213867
2880;0.090421
2890;0.457456
2900;0.185673
2910;0.319034
2920;0.243501
2930;0.044615
2940;0.052247
2950;0.078389
2960;0.855417
2970;0.608803
2980;0.047422
2990;0.085580
3000;0.190910
3010;0.039768
3020;0.039767
3030;-0.019678
3040;0.241332
3050;0.193582
3060;0.137367
3070;-0.126527
3080;0.034137
3090;0.566913
3100;-0.125321
3110;-0.124544
3120;0.264670
3130;0.151011
3140;0.056193
3150;0.159735
3160;0.169878
3170;-0.319241
3180;0.468557
3190;0.263737
3200;0.280393
3210;-0.073091
3220;0.110014
3230;-0.079153
3240;0.265931
3250;0.138080
3260;0.350729
3270;-0.138829
3280;0.520571
3290;0.262821
3300;-0.471699
3310;-0.083025
3320;-0.037358
3330;0.271708
3340;0.471330
3350;0.195883
3360;-0.425694
3370;0.505358
3380;-0.337228
3390;-0.012045
3400;-0.223914
3410;0.237528
3420;0.197135
3430;-0.243181
3440;-0.349082
3450;0.133780
3460;0.242562
3470;-0.143319
3480;0.060986
3490;0.065796
3500;0.039327
3510;0.040126
3520;0.459971
3530;0.540295
3540;0.370473
3550;-0.177014
3560;0.220950
3570;0.030495
3580;0.028499
3590;0.028498
3600;-0.093927
3610;-0.716662
3620;0.823288
3630;-0.032128
3640;-0.221980
3650;0.415599
3660;0.211893
3670;0.136573
3680;-0.320949
3690;-0.107558
3700;-0.126812
3710;0.149289
3720;0.026889
3730;0.045755
3740;0.061809
3750;-0.129567
3760;0.056968
3770;-0.014851
3780;0.030890
3790;-0.376133
3800;-0.051353
3810;0.269100
3820;0.059780
3830;0.350194
3840;-0.028470
3850;0.059784
3860;0.085063
3870;0.621845
3880;0.225706
3890;-0.248254
3900;0.357999
3910;-0.161688
3920;0.243030
3930;-0.650012
3940;0.068221
3950;-0.090606
3960;0.318356
3970;0.165676
3980;0.020439
3990;-0.240170
4000;0.028896
4010;0.476410
4020;0.014427
4030;0.056146
4040;-0.040497
4050;0.053341
4060;0.085012
4070;0.160754
4080;-0.307989
4090;-0.170028
4100;-0.166791
4110;0.390233
4120;0.446880
4130;0.250998
4140;-0.114595
4150;-0.012825
4160;0.048880
4170;0.502195
4180;0.054079
4190;-0.260882
4200;-0.269717
4210;0.268459
4220;-0.274389
4230;0.173462
4240;-0.211096
4250;-0.062523
4260;-0.332920
4270;0.316934
4280;-0.285532
4290;-0.050489
4300;0.117386
4310;-0.566378
4320;0.237964
4330;0.174680
4340;-0.038422
4350;0.015625
4360;0.085335
4370;-0.246313
4380;-0.174646
4390;0.018830
4400;-0.220290
4410;0.065281
4420;0.096534
4430;0.127880
4440;0.008817
4450;-0.357780
4460;0.113823
4470;0.144250
4480;-0.057677
4490;0.239624
4500;0.328991
4510;0.117810
4520;0.186264
4530;-0.182177
4540;0.206761
4550;-0.442380
4560;0.145413
4570;0.315903
4580;-0.026035
4590;-0.396864
4600;-0.014417
4610;0.032849
4620;0.268312
4630;-0.195424
4640;0.082964
4650;0.246747
