Laser Delay [ns];TA [mOD]
-400;1.192780
-390;0.867507
-380;-1.662282
-370;-0.983311
-360;0.892989
-350;-2.229952
-340;-0.885469
-330;1.266515
-320;-0.780489
-310;1.619236
-300;-1.933994
-290;0.315722
-280;0.067138
-270;-1.937449
-260;-1.078620
-250;-0.203102
-240;-1.751671
-230;-1.254173
-220;-0.055858
-210;0.702399
-200;-0.662056
-190;-1.197367
-180;-0.591848
-170;0.035655
-160;-0.489818
-150;-1.187258
-140;-0.703312
-130;-0.400500
-120;-0.166794
-110;-0.841380
-100;-1.304012
-90;0.812029
-80;1.190790
-70;-1.124953
-60;-3.446662
-50;-0.800442
-40;2.794869
-30;-0.567474
-20;0.593586
-10;-1.245020
0;5.314595
10;8.646197
20;10.815614
30;14.747261
40;18.685313
50;23.392540
60;29.315676
70;32.265027
80;34.764433
90;39.624180
100;42.511207
110;47.590102
120;49.061376
130;48.942911
140;47.994948
150;48.576378
160;47.715411
170;47.295923
180;46.523854
190;45.686126
200;46.223155
210;46.040731
220;45.716479
230;45.055180
240;44.175495
250;42.305810
260;44.347830
270;41.817375
280;42.498011
290;42.055206
300;40.181182
310;41.437614
320;41.058645
330;38.157777
340;36.782814
350;39.219091
360;38.071528
370;37.520166
380;36.492937
390;37.174297
400;35.720656
410;36.335158
420;34.467492
430;36.722726
440;34.402983
450;34.665609
460;34.146107
470;35.233125
480;33.904125
490;30.836351
500;32.465944
510;31.715457
520;30.358156
530;31.287086
540;30.339452
550;29.454246
560;29.294091
570;29.012712
580;29.286661
590;29.594675
600;29.626484
610;29.288945
620;27.955474
630;28.109506
640;26.013068
650;27.666356
660;26.958283
670;25.753169
680;26.831396
690;25.330341
700;25.998268
710;25.889856
720;25.802947
730;24.797451
740;23.713472
750;24.747421
760;24.524347
770;23.765185
780;22.446841
790;23.297990
800;23.975077
810;21.297182
820;22.583314
830;23.042665
840;22.138396
850;21.931329
860;20.193005
870;21.904381
880;19.888780
890;21.583032
900;20.748610
910;19.246112
920;22.003775
930;18.800255
940;19.193363
950;16.832556
960;19.779034
970;18.209591
980;19.527173
990;18.699263
1000;19.476481
1010;18.208863
1020;19.679263
1030;18.414520
1040;18.635919
1050;16.858251
1060;15.225811
1070;16.900294
1080;17.373950
1090;16.180842
1100;16.391193
1110;16.045064
1120;17.118381
1130;14.386910
1140;13.500150
1150;15.730808
1160;16.124112
1170;14.632225
1180;16.901017
1190;14.133930
1200;13.818781
1210;14.550631
1220;14.596798
1230;11.557118
1240;14.489894
1250;14.264607
1260;14.087609
1270;12.459936
1280;13.023998
1290;14.606545
1300;12.159704
1310;13.309239
1320;14.283949
1330;11.386156
1340;11.182521
1350;11.608670
1360;11.694844
1370;11.338312
1380;12.415014
1390;11.595404
1400;11.145498
1410;11.334984
1420;11.421757
1430;10.896652
1440;9.837624
1450;10.361156
1460;9.933725
1470;10.339846
1480;9.564126
1490;10.344976
1500;8.931406
1510;9.993678
1520;9.923605
1530;8.675258
1540;9.848903
1550;9.835413
1560;7.329388
1570;11.064751
1580;10.548966
1590;7.923630
1600;9.250673
1610;9.024811
1620;8.559056
1630;8.698638
1640;8.923097
1650;9.502567
1660;8.205535
1670;8.232375
1680;8.258794
1690;7.045681
1700;9.396535
1710;7.510484
1720;7.816303
1730;8.208516
1740;7.908187
1750;9.288352
1760;8.673977
1770;9.670680
1780;7.153123
1790;8.108606
1800;6.741843
1810;6.605237
1820;8.032177
1830;8.605143
1840;7.020437
1850;5.096213
1860;5.970841
1870;6.534597
1880;8.439142
1890;5.755344
1900;7.297506
1910;6.608375
1920;6.704998
1930;7.324838
1940;5.650980
1950;5.152934
1960;5.775485
1970;5.418962
1980;5.791800
1990;7.029833
2000;4.979336
2010;7.692984
2020;4.555256
2030;4.299373
2040;5.094822
2050;7.388855
2060;4.974914
2070;5.352525
2080;5.906051
2090;5.174965
2100;7.117020
2110;3.881430
2120;6.214834
2130;4.222613
2140;3.187602
2150;4.709057
2160;5.273128
2170;2.717572
2180;4.439481
2190;6.547083
2200;6.743379
2210;4.174421
2220;6.077485
2230;3.993188
2240;4.295912
2250;4.218614
2260;4.329394
2270;3.658615
2280;4.399713
2290;4.216682
2300;5.108499
2310;4.613513
2320;3.782086
2330;3.650265
2340;3.672488
2350;5.265205
2360;3.764991
2370;2.737912
2380;1.272194
2390;3.072971
2400;3.932276
2410;3.149291
2420;3.097342
2430;1.523326
2440;3.930154
2450;4.088678
2460;3.087469
2470;2.920115
2480;2.566244
2490;3.980384
2500;4.013892
2510;4.002271
2520;2.564811
2530;2.881835
2540;2.121535
2550;2.607456
2560;3.502013
2570;2.920186
2580;1.969056
2590;2.679168
2600;2.386231
2610;2.882992
2620;2.603174
2630;2.378921
2640;2.070101
2650;0.854118
2660;3.381652
2670;2.703250
2680;2.392991
2690;2.000524
2700;2.663968
2710;1.294979
2720;3.058679
2730;2.804433
2740;4.025434
2750;3.697871
2760;2.233230
2770;3.962219
2780;2.898627
2790;3.538695
2800;3.236395
2810;2.059043
2820;2.244464
2830;2.607089
2840;2.835537
2850;3.335108
2860;1.004913
2870;1.308070
2880;2.889832
2890;2.365629
2900;4.269693
2910;2.167408
2920;2.725231
2930;1.697282
2940;2.756583
2950;2.395551
2960;2.097454
2970;2.691184
2980;1.229999
2990;3.623284
3000;0.397677
3010;1.138170
3020;0.883507
3030;2.721495
3040;2.286855
3050;0.887513
3060;1.516407
3070;3.559325
3080;1.533471
3090;2.076409
3100;0.721802
3110;2.150254
3120;2.697197
3130;1.226856
3140;-0.146686
3150;0.708278
3160;1.379470
3170;2.628369
3180;1.529731
3190;3.214362
3200;1.631350
3210;0.456073
3220;-0.190978
3230;2.077393
3240;3.319387
3250;0.830601
3260;0.443194
3270;1.946220
3280;1.215288
