Laser Delay [ns];TA [mOD]
-400;-0.227355
-390;0.018692
-380;-0.319213
-370;-0.036898
-360;-0.204776
-350;-0.039462
-340;-0.195311
-330;-0.072002
-320;0.003178
-310;-0.109986
-300;0.011916
-290;-0.105464
-280;-0.060599
-270;-0.189162
-260;-0.214433
-250;-0.107742
-240;-0.197416
-230;0.076673
-220;-0.129406
-210;-0.196357
-200;-0.173955
-190;-0.198284
-180;-0.114054
-170;-0.116449
-160;-0.252145
-150;-0.188625
-140;0.026263
-130;-0.070816
-120;-0.096992
-110;0.064417
-100;-0.147286
-90;-0.266151
-80;-0.010321
-70;-0.178902
-60;-0.120955
-50;0.073811
-40;0.247478
-30;-0.541244
-20;-0.034128
-10;1.365120
0;5.071364
10;9.513994
20;14.106826
30;18.075926
40;22.350822
50;26.204485
60;30.383980
70;34.111762
80;37.857549
90;41.419517
100;45.216756
110;48.830037
120;50.375396
130;50.098428
140;49.756382
150;49.023156
160;48.398864
170;47.788231
180;47.417256
190;46.956574
200;46.154946
210;46.037397
220;45.250626
230;44.760690
240;44.202603
250;43.486543
260;43.381650
270;42.805189
280;42.032127
290;41.923367
300;41.455227
310;41.089708
320;40.413456
330;40.104992
340;39.452705
350;38.693123
360;38.708931
370;37.976401
380;37.577018
390;37.739825
400;36.900788
410;36.264508
420;36.216584
430;35.693039
440;35.099289
450;34.738966
460;34.483717
470;34.070440
480;33.792596
490;33.199667
500;33.022906
510;32.361656
520;32.115449
530;31.600281
540;31.439900
550;30.905387
560;30.451132
570;30.232409
580;29.839642
590;29.443975
600;29.475924
610;29.002260
620;28.632820
630;28.100506
640;27.837189
650;27.570198
660;27.147486
670;27.152579
680;26.855820
690;26.473777
700;26.011068
710;25.917891
720;25.318325
730;25.297273
740;24.942923
750;24.412228
760;24.562928
770;24.020219
780;23.673898
790;23.788376
800;23.415184
810;23.051947
820;22.938931
830;22.488562
840;22.244597
850;21.739612
860;21.909093
870;21.675384
880;21.093622
890;21.192812
900;20.523758
910;20.148648
920;20.457607
930;20.042615
940;19.950718
950;19.401364
960;19.353389
970;19.094437
980;18.930186
990;18.566555
1000;18.516511
1010;18.346085
1020;18.000618
1030;17.947347
1040;17.742349
1050;17.599500
1060;17.193231
1070;17.282714
1080;16.779514
1090;16.788154
1100;16.513978
1110;16.194163
1120;16.242105
1130;15.988427
1140;15.855282
1150;15.254123
1160;15.438624
1170;15.295275
1180;14.795873
1190;14.870331
1200;14.450371
1210;14.587095
1220;14.260039
1230;14.058234
1240;13.520594
1250;13.912597
1260;13.928588
1270;13.706601
1280;13.478242
1290;13.377792
1300;13.123523
1310;13.206352
1320;12.812251
1330;12.749501
1340;12.386478
1350;12.153685
1360;12.577998
1370;12.474953
1380;12.134478
1390;11.719248
1400;11.532619
1410;11.550975
1420;11.415304
1430;11.296394
1440;11.274087
1450;10.967704
1460;10.804699
1470;10.616459
1480;10.635351
1490;10.457040
1500;10.421206
1510;10.172351
1520;10.174916
1530;10.116878
1540;9.982506
1550;9.530106
1560;9.843524
1570;9.452353
1580;9.659269
1590;9.236568
1600;9.064915
1610;9.236781
1620;9.364474
1630;9.179240
1640;8.748219
1650;8.725600
1660;8.573142
1670;8.705467
1680;8.617923
1690;8.512994
1700;8.275263
1710;8.274122
1720;8.059117
1730;7.928784
1740;7.760487
1750;7.672017
1760;7.731824
1770;7.582402
1780;7.457323
1790;7.473145
1800;7.360371
1810;7.333575
1820;6.983220
1830;7.122402
1840;6.854649
1850;6.929789
1860;6.642595
1870;6.952108
1880;6.563530
1890;6.782213
1900;6.557496
1910;6.412369
1920;6.558055
1930;6.288456
1940;6.096960
1950;6.341061
1960;6.133489
1970;5.972943
1980;5.881822
1990;5.954636
2000;6.182102
2010;5.901975
2020;5.743628
2030;5.862232
2040;5.654937
2050;5.539482
2060;5.402026
2070;5.623258
2080;5.495922
2090;5.422950
2100;5.089376
2110;5.091261
2120;5.135200
2130;4.783399
2140;4.831562
2150;5.108195
2160;4.896316
2170;5.036294
2180;4.666373
2190;4.571195
2200;4.541472
2210;4.965416
2220;4.475465
2230;4.479622
2240;4.616548
2250;4.363045
2260;4.449519
2270;4.264010
2280;4.150259
2290;4.331129
2300;4.281423
2310;3.984166
2320;4.371517
2330;4.131942
2340;4.065983
2350;4.024805
2360;4.087429
2370;3.736948
2380;3.805230
2390;3.896161
2400;3.790202
2410;3.596924
2420;3.665398
2430;3.731230
2440;3.444558
2450;3.810401
2460;3.409800
2470;3.570945
2480;3.275168
2490;3.403416
2500;3.229355
2510;3.346429
2520;2.959350
2530;3.373531
2540;3.288350
2550;3.066186
2560;2.946070
2570;3.049248
2580;3.036204
2590;3.254528
2600;2.814594
2610;2.966796
2620;2.568405
2630;3.055716
2640;2.970401
2650;2.904063
2660;2.685261
2670;2.778078
2680;2.957149
2690;2.665806
2700;2.770231
2710;2.602323
2720;2.661156
2730;2.602786
2740;2.956628
2750;2.940206
2760;2.346179
2770;2.668057
2780;2.497762
2790;2.485962
2800;2.458123
2810;2.459726
2820;2.398187
2830;2.207550
2840;2.339711
2850;2.312643
2860;2.197944
2870;2.495112
2880;2.233550
2890;2.134182
2900;2.263792
2910;2.213632
2920;2.340331
2930;1.849596
2940;2.082230
2950;2.310598
2960;2.310874
2970;2.107046
2980;1.911642
2990;2.049173
3000;2.153758
3010;2.187840
3020;1.942029
3030;2.100161
3040;1.720413
3050;1.582440
3060;1.977120
3070;1.801779
3080;1.869956
3090;1.971887
3100;1.393263
3110;1.585636
3120;1.539609
3130;1.499067
3140;1.586154
3150;1.554160
3160;1.750506
3170;1.739043
3180;1.785075
3190;1.708892
3200;1.707312
3210;1.760637
3220;1.461345
3230;1.381030
3240;1.421547
3250;1.673170
3260;1.649439
3270;1.496298
3280;1.472885
3290;1.407285
3300;1.515015
3310;1.315301
3320;1.646813
3330;1.043957
3340;1.390854
3350;1.314824
3360;1.512601
3370;1.206197
3380;1.312254
3390;1.155987
3400;1.349090
3410;1.285165
3420;1.104633
3430;1.513046
3440;1.334366
