Laser Delay [ns];TA [mOD]
-400;-0.129838
-390;0.054694
-380;-0.011574
-370;0.004836
-360;0.286940
-350;-0.194041
-340;-0.170353
-330;-0.120797
-320;-0.068494
-310;0.002936
-300;-0.172958
-290;-0.245722
-280;0.216345
-270;-0.315170
-260;-0.159337
-250;-0.088462
-240;-0.052109
-230;0.052947
-220;-0.047528
-210;0.460179
-200;-0.064256
-190;-0.315233
-180;-0.042589
-170;0.053919
-160;-0.336268
-150;-0.246856
-140;-0.136909
-130;0.012689
-120;-0.098041
-110;-0.158582
-100;-0.075219
-90;-0.165634
-80;0.042864
-70;0.163683
-60;0.300721
-50;0.172033
-40;-0.017971
-30;0.104120
-20;0.324664
-10;2.721248
0;6.866221
10;10.760894
20;14.922187
30;19.364333
40;23.205849
50;27.190784
60;31.024202
70;34.585088
80;38.141919
90;42.089968
100;46.035025
110;49.030127
120;49.830956
130;49.540683
140;48.916385
150;48.254562
160;47.731575
170;47.075389
180;46.810839
190;46.066130
200;45.680375
210;45.220079
220;44.677944
230;44.117983
240;43.798925
250;42.870523
260;42.621080
270;42.133449
280;41.623730
290;41.078186
300;40.569683
310;40.224124
320;39.686201
330;39.402162
340;38.897979
350;38.376214
360;38.026317
370;37.603453
380;37.262923
390;36.937198
400;36.259245
410;35.863038
420;35.605570
430;35.209216
440;35.000052
450;34.375220
460;33.851731
470;33.541368
480;33.128783
490;32.833563
500;32.329212
510;32.206605
520;31.722318
530;31.329797
540;30.890056
550;30.489892
560;30.382135
570;30.006616
580;29.652326
590;29.256891
600;28.604187
610;28.523141
620;28.235215
630;27.856945
640;27.548833
650;27.301256
660;26.859400
670;26.871592
680;26.498815
690;26.071241
700;25.978741
710;25.380331
720;25.417182
730;24.926056
740;24.406879
750;24.325027
760;23.916915
770;23.987249
780;23.755246
790;23.332395
800;23.091191
810;22.591621
820;22.682454
830;22.214457
840;21.976844
850;21.742512
860;21.458254
870;21.235467
880;20.791966
890;20.837228
900;20.348758
910;20.219394
920;20.195091
930;19.578951
940;19.451829
950;19.559123
960;19.145763
970;18.822151
980;18.754468
990;18.120309
1000;17.981872
1010;17.957241
1020;17.761674
1030;17.783606
1040;17.535293
1050;17.362349
1060;17.092775
1070;16.768049
1080;16.618267
1090;16.344825
1100;16.135998
1110;16.077936
1120;16.010246
1130;15.852724
1140;15.556893
1150;15.514925
1160;14.917491
1170;14.897414
1180;14.766152
1190;14.596325
1200;14.375432
1210;14.263037
1220;14.349288
1230;14.218437
1240;13.962050
1250;13.838219
1260;13.480388
1270;13.345445
1280;13.258753
1290;13.059436
1300;12.827151
1310;13.256791
1320;12.506512
1330;12.380428
1340;12.105399
1350;11.969379
1360;11.756678
1370;11.989810
1380;11.774885
1390;11.721790
1400;11.451981
1410;11.648948
1420;11.478794
1430;11.238467
1440;10.912850
1450;10.836858
1460;10.958426
1470;10.551122
1480;10.144503
1490;10.336637
1500;10.221381
1510;9.952040
1520;10.091177
1530;10.069851
1540;9.965084
1550;9.771065
1560;9.593393
1570;9.567319
1580;9.367127
1590;9.187697
1600;9.045524
1610;9.145611
1620;8.925967
1630;8.909113
1640;8.586970
1650;8.495146
1660;8.785618
1670;8.126871
1680;8.393148
1690;8.050481
1700;8.290651
1710;8.219612
1720;7.856092
1730;8.102370
1740;7.834567
1750;7.650572
1760;7.677055
1770;7.602901
1780;7.518250
1790;7.518613
1800;7.310206
1810;7.264098
1820;7.369361
1830;6.979400
1840;6.870893
1850;6.947242
1860;6.785580
1870;6.847110
1880;6.480051
1890;6.539458
1900;6.619090
1910;6.374001
1920;6.266926
1930;6.238491
1940;6.235243
1950;6.113418
1960;6.151950
1970;6.218048
1980;5.957058
1990;5.521540
2000;5.781911
2010;5.594964
2020;5.764174
2030;5.482552
2040;5.646325
2050;5.322473
2060;5.561641
2070;5.457782
2080;5.266590
2090;5.092627
2100;5.107185
2110;5.074753
2120;5.171911
2130;5.040936
2140;4.876301
2150;4.848247
2160;4.824354
2170;4.756568
2180;4.514431
2190;4.946100
2200;4.676849
2210;4.701787
2220;4.323454
2230;4.458792
2240;4.438605
2250;4.406522
2260;4.245367
2270;4.315792
2280;4.371353
2290;4.135068
2300;3.816895
2310;3.976776
2320;4.473643
2330;4.073118
2340;4.022213
2350;4.115593
2360;4.136533
2370;3.718405
2380;3.801775
2390;3.783931
2400;3.679312
2410;3.818798
2420;3.702204
2430;3.355758
2440;3.548138
2450;3.405063
2460;3.396625
2470;3.442251
2480;3.277038
2490;3.362308
2500;3.635480
2510;3.370706
2520;3.217322
2530;3.315865
2540;3.287366
2550;3.285824
2560;3.105951
2570;3.307944
2580;2.840950
2590;3.118618
2600;2.922984
2610;3.040951
2620;3.015371
2630;2.892004
2640;2.976361
2650;2.769418
2660;3.015504
2670;2.857852
2680;2.649670
2690;2.889597
2700;2.738149
2710;2.418514
2720;2.556019
2730;2.657362
2740;2.545560
2750;2.145706
2760;2.299956
2770;2.477448
2780;2.625791
2790;2.394383
2800;2.634233
2810;2.349851
2820;2.282269
2830;2.546387
2840;2.278763
2850;2.730962
2860;2.501507
2870;2.259933
2880;2.313477
2890;2.299806
2900;1.914046
2910;1.790830
2920;1.941771
2930;1.833363
2940;2.098432
2950;2.218528
2960;2.194378
2970;1.944846
2980;1.769136
2990;2.105132
3000;1.939491
3010;1.758139
3020;1.581180
3030;2.108473
3040;1.854342
3050;1.644188
3060;1.682434
3070;1.820656
3080;1.909773
3090;1.695798
3100;1.550885
3110;1.961649
3120;1.763440
3130;1.574641
3140;1.809226
3150;1.564770
3160;1.790788
3170;1.634230
3180;1.443289
3190;1.485768
3200;1.701336
3210;1.442850
3220;1.485875
3230;1.532674
3240;1.538020
3250;1.310412
3260;1.251089
3270;1.590403
3280;1.489671
3290;1.617370
3300;1.442843
3310;1.607121
3320;1.285868
3330;1.555152
3340;1.389501
3350;1.556628
3360;1.353779
3370;1.422155
3380;1.350446
3390;1.411243
3400;1.291254
3410;1.519807
3420;1.187036
3430;1.083079
3440;1.189456
3450;1.239699
3460;1.078601
3470;1.183353
3480;1.168017
3490;0.932603
3500;1.342532
3510;1.358580
3520;1.232793
3530;1.113109
3540;1.194811
3550;0.993739
3560;0.952033
3570;0.962649
3580;1.179765
3590;0.991220
3600;0.773741
3610;1.090475
3620;1.063832
3630;1.337565
3640;0.990725
3650;1.085320
3660;1.326787
3670;0.879356
3680;0.849122
3690;1.054843
3700;0.868969
3710;0.715314
3720;1.104426
3730;0.914492
3740;0.975317
3750;0.710977
3760;1.016258
3770;0.801490
3780;0.801921
3790;0.952546
3800;1.043070
3810;0.908675
3820;0.778985
3830;0.885491
3840;0.962582
3850;0.872132
3860;1.019237
3870;1.034597
3880;0.865601
3890;0.878135
3900;0.959830
3910;0.654772
3920;0.810415
3930;0.928556
3940;0.849128
3950;0.756291
3960;0.607312
3970;0.624461
3980;0.824281
3990;0.721487
4000;0.640180
4010;0.512464
4020;0.764570
4030;0.650469
4040;0.763197
4050;0.737033
4060;0.953888
4070;0.694638
4080;0.777700
4090;0.381995
4100;0.671651
4110;0.698522
4120;0.610156
4130;0.458090
4140;0.689908
4150;0.375346
4160;0.389115
4170;0.638963
4180;0.854788
4190;0.720468
4200;0.506538
4210;0.456551
4220;0.582567
4230;0.574572
4240;0.646482
4250;0.420565
4260;0.750205
4270;0.682040
4280;0.349289
4290;0.592620
4300;0.691474
4310;0.749128
4320;0.454760
4330;0.577325
4340;0.408367
4350;0.650131
4360;0.436764
4370;0.391231
4380;0.456545
4390;0.402320
4400;0.533686
4410;0.455781
4420;0.270188
4430;0.551661
4440;0.327220
4450;0.559688
4460;0.738790
4470;0.660372
4480;0.534338
4490;0.837089
4500;0.437356
4510;0.590490
4520;0.484105
4530;0.220062
4540;0.385548
4550;0.493215
4560;0.206185
4570;0.424255
4580;0.490432
4590;0.456801
4600;0.611282
4610;0.237201
4620;0.646322
4630;0.375824
4640;0.482937
4650;0.702109
4660;0.548740
4670;0.256145
4680;0.440667
4690;0.403968
4700;0.433512
4710;0.368226
4720;0.320213
4730;0.594768
4740;0.546176
4750;0.476396
4760;0.334541
4770;0.284958
4780;0.390797
4790;0.335494
4800;0.201724
4810;0.424416
4820;0.343809
4830;0.407302
4840;0.362511
4850;0.302485
4860;0.453855
4870;0.510497
4880;0.416651
4890;0.458394
4900;0.364669
4910;0.068334
4920;0.476552
4930;0.446461
4940;0.361826
4950;0.376548
4960;0.321138
4970;0.253130
4980;0.311200
4990;0.264163
5000;0.436907
