Laser Delay [ns];TA [mOD]
-400;-0.246472
-390;-0.415913
-380;-0.233938
-370;-0.272788
-360;-0.098292
-350;-0.153421
-340;-0.101218
-330;0.129277
-320;-0.166725
-310;-0.076307
-300;0.058808
-290;-0.214066
-280;-0.014465
-270;0.043354
-260;-0.192875
-250;-0.132029
-240;-0.219691
-230;-0.151149
-220;-0.240148
-210;-0.304860
-200;-0.184824
-190;-0.247705
-180;-0.176295
-170;-0.362307
-160;0.031831
-150;-0.067384
-140;-0.111659
-130;-0.355142
-120;0.245536
-110;-0.066529
-100;-0.118255
-90;-0.230095
-80;0.049068
-70;-0.134816
-60;0.032797
-50;-0.213682
-40;0.072281
-30;-0.112606
-20;-0.006741
-10;0.225283
0;0.868634
10;1.563250
20;2.254212
30;2.965976
40;3.707128
50;4.128771
60;4.869991
70;5.516033
80;5.861175
90;5.963251
100;5.876842
110;5.850385
120;5.662534
130;5.406838
140;5.495461
150;5.185993
160;5.210832
170;5.410775
180;5.281520
190;5.423093
200;4.875841
210;5.179142
220;5.018210
230;4.849563
240;5.049061
250;4.888337
260;4.903799
270;4.589411
280;4.634638
290;4.622566
300;4.324620
310;4.508026
320;4.330829
330;4.392218
340;4.312716
350;4.455849
360;4.039170
370;3.929658
380;4.069769
390;4.007281
400;4.087100
410;3.995440
420;3.990485
430;3.715242
440;3.837229
450;3.557828
460;3.518660
470;3.620980
480;3.280339
490;3.515273
500;3.108518
510;3.147293
520;3.287305
530;3.420086
540;3.256062
550;3.116362
560;2.845587
570;3.097106
580;2.768371
590;3.152817
600;2.850614
610;3.076795
620;2.942530
630;2.829932
640;2.770396
650;2.768532
660;2.837577
670;2.493834
680;2.473286
690;2.582631
700;2.553520
710;2.538520
720;2.430665
730;2.597440
740;2.390888
750;2.452796
760;2.241256
770;2.193279
780;2.371866
790;2.411619
800;2.291478
810;2.070396
820;2.213926
830;2.404620
840;2.247772
850;2.105043
860;2.119039
870;2.080027
880;2.050082
890;2.339680
900;2.040765
910;2.062522
920;1.960950
930;1.693865
940;1.952430
950;1.680643
960;1.782241
970;1.610259
980;1.751325
990;1.666747
1000;1.925008
1010;1.667448
1020;1.431590
1030;1.657827
1040;1.602553
1050;1.453329
1060;1.613561
1070;1.564380
1080;1.483257
1090;1.580339
1100;1.265733
1110;1.343366
1120;1.579546
1130;1.564719
1140;1.487355
1150;1.535455
1160;1.390034
1170;1.301325
1180;1.418200
1190;1.493346
1200;1.586618
1210;1.207828
1220;1.181721
1230;1.225650
1240;1.242725
1250;1.193506
1260;1.351588
1270;1.365650
1280;1.212293
1290;1.312355
1300;1.493904
1310;1.290939
1320;1.118346
1330;1.230655
1340;1.228424
1350;1.055283
1360;1.054518
1370;1.002682
1380;1.238853
1390;1.032698
1400;1.075692
1410;1.143403
1420;1.258069
1430;1.297566
1440;1.050132
1450;1.099182
1460;1.281753
1470;0.825888
1480;0.928876
1490;0.936785
1500;1.118420
1510;0.966800
1520;0.935518
1530;0.985270
1540;1.031477
1550;0.977212
1560;0.941242
1570;0.853475
1580;1.084442
1590;0.890711
1600;0.780083
1610;0.976486
1620;0.969035
1630;0.927319
1640;0.914297
1650;0.894226
1660;0.704105
1670;1.007496
1680;0.948492
1690;0.618614
1700;1.067162
1710;0.751829
1720;0.802783
1730;0.984240
1740;0.480258
1750;0.959691
1760;0.833270
1770;0.832599
1780;0.816556
1790;0.662145
1800;0.831856
1810;0.995892
1820;0.768358
1830;0.718429
1840;0.737637
1850;0.759076
1860;0.792980
1870;0.816970
1880;0.729078
1890;0.654268
1900;0.625991
1910;0.878931
1920;0.808048
1930;0.705484
1940;0.857369
1950;0.768951
1960;0.675704
1970;0.669813
1980;0.568371
1990;0.937251
2000;0.576186
2010;0.684834
2020;0.751671
2030;0.723906
2040;0.732100
2050;0.769000
2060;0.567039
2070;0.710971
2080;0.974855
2090;0.693334
2100;0.807844
2110;0.525617
2120;0.920691
2130;0.701663
2140;0.729152
2150;0.656045
2160;0.556046
2170;0.693395
2180;0.662698
2190;0.620906
2200;0.623357
2210;0.679039
2220;0.718484
2230;0.676903
2240;0.736484
2250;0.575336
2260;0.681274
2270;0.706581
2280;0.610767
2290;1.001151
2300;0.640345
2310;0.854676
2320;0.562266
2330;0.905284
2340;0.749072
2350;0.811592
2360;0.585643
2370;0.817893
2380;0.618278
2390;0.563031
2400;0.600447
2410;0.278511
2420;0.523166
2430;0.720860
2440;0.724653
2450;0.470095
2460;0.684450
2470;0.482195
2480;0.606668
2490;0.727638
2500;0.529785
2510;0.743420
2520;0.581886
2530;0.716698
2540;0.467166
2550;0.564072
2560;0.339001
2570;0.627786
2580;0.748773
2590;0.863191
2600;0.625294
2610;0.664572
2620;0.704641
2630;0.508205
2640;0.847097
2650;0.577790
2660;0.486098
2670;0.691470
2680;0.622509
2690;0.741371
2700;0.683915
2710;0.674125
2720;0.811915
2730;0.614538
2740;0.430365
2750;0.710026
2760;0.596155
2770;0.388049
2780;0.650685
2790;0.638321
2800;0.537796
2810;0.731453
2820;0.629135
2830;0.542807
2840;0.729109
2850;0.351539
2860;0.684796
2870;0.393571
2880;0.555120
2890;0.831488
2900;0.800802
2910;0.306910
2920;0.661957
2930;0.538136
2940;0.386957
2950;0.526842
2960;0.757351
2970;0.497282
2980;0.596917
2990;0.594949
3000;0.538050
3010;0.491076
3020;0.846834
3030;0.548295
3040;0.648657
3050;0.637691
3060;0.504496
3070;0.719444
3080;0.486307
3090;1.073545
3100;0.601530
3110;0.240975
3120;0.680976
3130;0.452013
3140;0.575762
3150;0.584901
3160;0.364271
3170;0.760964
3180;0.376155
3190;0.605282
3200;0.447885
3210;0.391165
3220;0.434749
3230;0.417612
3240;0.617910
3250;0.621189
3260;0.456743
3270;0.544851
3280;0.665349
3290;0.478969
3300;0.696361
3310;0.552926
3320;0.968415
3330;0.292291
3340;0.355452
3350;0.463143
3360;0.553344
3370;0.633745
3380;0.644251
3390;0.665290
3400;0.438579
3410;0.547013
3420;0.551799
3430;0.718214
3440;0.643294
3450;0.618940
3460;0.434270
3470;0.628464
3480;0.606118
3490;0.556229
3500;0.562228
3510;0.460100
3520;0.687485
3530;0.484550
3540;0.275926
3550;0.441871
3560;0.473801
3570;0.359737
3580;0.579897
3590;0.608156
3600;0.395701
3610;0.374150
3620;0.309381
3630;0.662289
3640;0.641842
3650;0.433300
3660;0.496024
3670;0.234225
3680;0.605769
3690;0.421859
3700;0.480792
3710;0.646090
3720;0.529850
3730;0.497671
3740;0.528089
3750;0.485590
3760;0.351068
3770;0.843832
3780;0.660012
3790;0.365982
3800;0.559446
3810;0.458990
3820;0.493758
3830;0.523258
3840;0.611949
3850;0.427222
3860;0.384694
3870;0.326813
3880;0.620231
3890;0.422529
3900;0.543421
3910;0.590290
3920;0.540535
3930;0.632590
3940;0.327219
3950;0.489848
3960;0.390689
3970;0.617142
3980;0.375601
3990;0.312830
4000;0.489160
4010;0.689014
4020;0.483274
4030;0.574773
4040;0.602029
4050;0.435668
4060;0.364957
4070;0.863682
4080;0.537702
4090;0.431083
4100;0.821454
4110;0.485881
4120;0.474968
4130;0.394209
4140;0.501986
4150;0.817626
4160;0.595578
4170;0.141361
4180;0.609558
4190;0.397939
4200;0.303702
4210;0.559157
4220;0.406246
4230;0.700206
4240;0.571317
4250;0.594328
4260;0.376308
4270;0.304645
4280;0.444597
4290;0.504269
4300;0.564268
4310;0.570528
4320;0.479035
4330;0.711543
4340;0.614306
4350;0.820272
4360;0.549320
4370;0.546320
4380;0.789786
4390;0.714677
4400;0.395792
4410;0.602749
4420;0.466698
4430;0.557338
4440;0.719533
4450;0.499488
4460;0.499088
4470;0.452718
4480;0.764085
4490;0.446392
4500;0.837480
4510;0.642142
4520;0.856702
4530;0.657801
4540;0.831445
4550;0.745055
4560;0.579593
4570;0.660390
4580;0.635968
4590;0.705129
4600;0.580192
4610;0.465904
4620;0.486275
4630;0.175830
4640;0.561489
4650;0.527263
4660;0.604326
4670;0.563058
4680;0.632024
4690;0.684424
4700;0.524308
4710;0.597399
4720;0.322050
4730;0.460120
4740;0.370715
4750;0.559064
4760;0.594715
4770;0.380679
4780;0.566391
4790;0.509230
4800;0.634219
4810;0.381547
4820;0.709727
4830;0.609285
4840;0.352233
4850;0.368654
4860;0.727880
4870;0.919067
4880;0.618533
4890;0.580234
4900;0.527328
4910;0.432654
4920;0.534301
4930;0.488294
4940;0.286351
4950;0.567898
4960;0.451910
4970;0.541340
4980;0.735849
4990;0.527347
5000;0.443982
