Laser Delay [ns];TA [mOD]
-400;-0.760291
-390;-0.184851
-380;-0.429441
-370;0.450488
-360;-0.456087
-350;-0.210474
-340;-0.111313
-330;-0.284829
-320;-0.398680
-310;-0.261337
-300;-0.412577
-290;-0.696594
-280;-0.626008
-270;0.112373
-260;-0.431969
-250;-0.475357
-240;-0.567542
-230;-0.246408
-220;-0.252822
-210;-0.222897
-200;-0.161704
-190;-0.762278
-180;-0.246140
-170;-0.506882
-160;-0.562876
-150;-0.013604
-140;-0.312039
-130;-0.367412
-120;0.111512
-110;-0.205091
-100;-0.780983
-90;-0.273744
-80;0.005437
-70;-0.337072
-60;-0.002176
-50;0.172896
-40;-0.680993
-30;-0.005438
-20;0.702953
-10;1.863735
0;2.863252
10;4.270501
20;5.693736
30;7.052244
40;8.221712
50;9.327704
60;11.135215
70;12.080621
80;13.364612
90;14.187235
100;15.460005
110;15.424527
120;16.520671
130;15.727786
140;15.280221
150;15.044943
160;14.827376
170;15.004526
180;14.999366
190;14.288077
200;13.662263
210;13.787431
220;13.785872
230;13.797592
240;13.269038
250;13.204814
260;12.804196
270;12.419157
280;12.613633
290;12.277684
300;11.975365
310;11.819298
320;12.275123
330;11.963205
340;11.785321
350;11.351829
360;11.264132
370;10.968179
380;10.947552
390;10.827906
400;10.780003
410;10.222727
420;10.325397
430;9.905896
440;10.041798
450;9.977892
460;9.713405
470;9.203597
480;9.313299
490;9.430506
500;8.932889
510;8.745478
520;8.831355
530;9.082312
540;8.567033
550;8.477858
560;8.498991
570;8.423363
580;8.406824
590;8.161232
600;7.789479
610;7.534414
620;7.669227
630;7.753823
640;7.549334
650;7.306330
660;7.326034
670;7.622089
680;6.967031
690;7.081103
700;6.694317
710;6.668962
720;7.072434
730;6.566809
740;6.858336
750;6.844142
760;6.294286
770;6.519051
780;6.697115
790;6.509391
800;6.122155
810;5.693581
820;6.145671
830;5.780879
840;5.379565
850;6.088778
860;5.691700
870;5.553237
880;5.384561
890;5.434403
900;5.561155
910;4.988088
920;4.993330
930;5.425911
940;5.413886
950;5.268115
960;4.670974
970;4.901939
980;5.043672
990;4.538260
1000;4.717676
1010;4.791536
1020;4.245931
1030;4.293030
1040;4.168590
1050;4.203018
1060;4.690728
1070;4.556418
1080;4.040991
1090;4.240797
1100;3.837103
1110;3.911095
1120;3.924528
1130;4.060479
1140;3.818235
1150;4.061070
1160;3.537737
1170;4.028968
1180;3.845798
1190;3.655587
1200;4.034379
1210;3.910777
1220;3.686642
1230;3.499061
1240;3.746393
1250;3.553317
1260;3.868984
1270;3.386237
1280;3.783547
1290;2.980799
1300;3.591695
1310;3.393214
1320;2.951130
1330;3.362116
1340;3.166921
1350;3.447117
1360;2.604225
1370;3.556932
1380;3.174619
1390;3.005306
1400;2.968151
1410;3.341346
1420;2.832907
1430;2.913033
1440;3.515577
1450;2.949139
1460;2.744346
1470;2.644178
1480;2.909643
1490;3.280485
1500;2.538886
1510;3.115902
1520;2.793746
1530;2.519829
1540;2.521208
1550;2.655321
1560;3.053530
1570;2.355468
1580;3.189695
1590;2.799323
1600;2.710815
1610;2.365249
1620;2.487643
1630;2.947520
1640;2.003175
1650;2.653686
1660;2.505878
1670;2.164447
1680;2.728886
1690;2.352966
1700;2.194740
1710;2.933416
1720;2.265628
1730;2.402300
1740;2.603297
1750;2.604598
1760;2.865677
1770;2.133843
1780;2.356563
1790;2.483397
1800;2.310403
1810;2.703606
1820;2.154057
1830;2.232408
1840;2.396066
1850;2.374966
1860;2.321051
1870;2.306003
1880;1.799467
1890;1.975980
1900;2.344137
1910;2.324124
1920;2.091226
1930;1.552958
1940;2.104042
1950;1.645764
1960;1.787745
1970;1.760679
1980;1.970350
1990;2.036600
2000;1.679704
2010;2.177211
2020;2.368481
2030;2.455126
2040;2.078176
2050;1.740687
2060;2.024679
2070;1.657490
2080;1.892607
2090;2.172262
2100;1.803132
2110;1.516486
2120;2.169515
2130;2.062300
2140;1.948759
2150;1.974828
2160;2.016830
2170;1.224169
2180;2.022419
2190;2.313238
2200;1.825305
2210;1.666554
2220;1.703009
2230;1.172746
2240;1.685156
2250;2.062162
2260;1.580753
2270;1.898838
2280;2.000956
2290;1.705763
2300;1.773017
2310;2.237583
2320;1.835558
2330;1.729631
2340;2.319197
2350;1.975503
2360;1.739289
2370;1.662521
2380;1.637900
2390;1.846787
2400;1.483743
2410;1.643445
2420;1.503375
2430;2.112203
2440;1.915501
2450;1.336721
2460;1.623931
2470;1.515676
2480;1.486616
2490;1.748009
2500;1.419507
2510;1.670080
2520;2.230194
2530;2.161391
2540;1.586605
2550;2.004521
2560;1.549280
2570;1.163150
2580;2.368983
2590;1.341399
2600;1.620022
2610;1.290851
2620;1.815771
2630;1.695320
2640;1.761678
2650;1.696991
2660;1.413460
2670;1.477848
2680;1.669436
2690;1.581672
2700;1.369643
2710;1.628094
2720;1.709649
2730;2.247032
2740;1.503885
2750;0.956689
2760;1.563393
2770;1.686220
2780;1.881339
2790;1.465969
2800;1.403067
2810;1.691025
2820;1.492967
2830;1.641035
2840;1.198488
2850;1.754289
2860;2.024666
2870;1.913050
2880;1.727936
2890;1.437409
2900;1.532424
2910;1.472037
2920;1.679570
2930;1.715766
2940;1.568429
2950;1.530252
2960;1.680728
2970;1.532385
2980;1.584587
2990;1.221536
3000;1.595028
3010;1.589667
3020;1.511706
3030;2.038224
3040;1.450527
3050;1.731207
3060;1.370553
3070;1.380280
3080;1.274807
3090;1.556538
3100;1.632724
3110;1.808704
3120;1.502137
3130;1.686120
3140;1.559684
3150;1.799174
3160;1.641119
3170;1.670644
3180;1.403630
3190;1.615317
3200;1.740328
3210;1.901223
3220;1.703843
3230;1.582798
3240;1.094097
3250;1.518449
3260;1.722756
3270;1.162034
3280;1.246083
3290;1.558375
3300;1.426602
3310;1.718470
3320;1.398417
3330;1.458527
3340;1.763602
3350;1.388617
3360;1.739673
3370;1.861322
3380;1.511016
3390;1.328173
3400;1.708394
3410;1.903136
3420;1.750538
3430;1.868375
3440;1.961054
3450;1.826202
3460;1.482556
3470;1.363300
3480;0.965008
3490;1.783254
3500;1.628381
3510;1.168960
3520;1.265186
3530;1.590859
3540;1.547093
3550;1.712096
3560;1.746028
3570;1.326385
3580;1.231123
3590;1.214693
3600;1.411420
3610;1.335725
3620;1.517373
3630;1.448295
3640;1.688364
3650;1.361966
3660;1.531983
3670;1.236446
3680;1.223575
3690;1.515277
3700;1.518963
3710;1.733841
3720;1.788073
3730;1.446181
3740;1.470333
3750;1.542124
3760;1.333960
3770;1.274262
