Laser Delay [ns];TA [mOD]
-400;-0.447386
-390;-0.584209
-380;-0.294415
-370;-0.400186
-360;-0.025327
-350;-0.133231
-340;0.012110
-330;-0.208491
-320;-0.289624
-310;-0.447528
-300;-0.064771
-290;-0.282538
-280;-0.330584
-270;-0.356637
-260;-0.092142
-250;-0.488635
-240;-0.588304
-230;0.150164
-220;-0.054518
-210;-0.472145
-200;-0.382286
-190;-0.217426
-180;-0.100088
-170;-0.453536
-160;0.005932
-150;-0.666893
-140;-0.148839
-130;-0.387780
-120;-0.460088
-110;-0.066600
-100;-0.203065
-90;-0.151886
-80;-0.206753
-70;-0.288216
-60;-0.177718
-50;-0.222708
-40;-0.237637
-30;-0.168943
-20;-0.171992
-10;0.279363
0;2.242008
10;3.552368
20;4.937952
30;6.233951
40;7.613968
50;9.451583
60;11.220509
70;12.352506
80;13.353730
90;14.695832
100;15.591146
110;15.496815
120;15.140285
130;14.950081
140;14.975188
150;14.323829
160;13.867145
170;13.759606
180;13.520199
190;13.263505
200;13.288069
210;12.815792
220;12.822679
230;11.844589
240;11.805300
250;12.065703
260;11.956377
270;11.901099
280;11.034224
290;10.919461
300;11.063233
310;10.768415
320;10.175716
330;10.379470
340;10.593894
350;9.867913
360;9.817804
370;9.625841
380;9.675036
390;9.292452
400;9.583860
410;8.868652
420;9.280308
430;9.089785
440;8.711751
450;8.360760
460;8.289221
470;8.321434
480;8.174574
490;8.024729
500;7.691876
510;7.639115
520;7.511802
530;7.223978
540;7.444282
550;7.480974
560;6.974163
570;7.016039
580;6.591561
590;6.777481
600;6.666044
610;6.847235
620;6.498014
630;6.569258
640;6.411334
650;6.080077
660;6.189529
670;6.069305
680;5.788178
690;5.975016
700;5.826989
710;5.352529
720;5.664592
730;5.552461
740;5.397547
750;5.359422
760;5.524976
770;5.482010
780;4.834513
790;4.924162
800;5.342202
810;5.004207
820;5.248599
830;4.579285
840;4.867893
850;4.811097
860;5.088982
870;4.938824
880;4.669245
890;4.925709
900;4.184082
910;4.232905
920;4.087648
930;4.402713
940;4.072598
950;4.167724
960;4.442210
970;3.899673
980;3.888356
990;3.747323
1000;3.872511
1010;3.913373
1020;3.622394
1030;3.432143
1040;3.750409
1050;3.871611
1060;3.678743
1070;3.838013
1080;3.408369
1090;3.331576
1100;3.258709
1110;3.342210
1120;3.133430
1130;2.897431
1140;3.327567
1150;3.078464
1160;2.992370
1170;3.211659
1180;3.394474
1190;3.593649
1200;3.186545
1210;3.344308
1220;3.032182
1230;2.676419
1240;2.741148
1250;2.504430
1260;3.050980
1270;3.233165
1280;2.743019
1290;2.252235
1300;2.793792
1310;2.748871
1320;2.555237
1330;2.637348
1340;2.504312
1350;2.896992
1360;2.595507
1370;3.051268
1380;2.620100
1390;2.600384
1400;2.707005
1410;2.727426
1420;2.160575
1430;2.606251
1440;2.446965
1450;2.525690
1460;2.512149
1470;2.354032
1480;2.305307
1490;2.447663
1500;2.261752
1510;2.266301
1520;2.363394
1530;2.420679
1540;2.241523
1550;2.150960
1560;2.512524
1570;2.222452
1580;1.979044
1590;1.780015
1600;2.412630
1610;2.273488
1620;2.341859
1630;2.358576
1640;2.233769
1650;2.049705
1660;2.166727
1670;1.706888
1680;2.143653
1690;2.327045
1700;2.044784
1710;2.240758
1720;1.816522
1730;2.176832
1740;2.063886
1750;2.125564
1760;2.125235
1770;1.786383
1780;2.152057
1790;2.170695
1800;1.914185
1810;1.793311
1820;2.047880
1830;2.291151
1840;2.014392
1850;2.075998
1860;1.495303
1870;2.098133
1880;1.987846
1890;1.925832
1900;1.571132
1910;2.319079
1920;2.049515
1930;1.907650
1940;1.615250
1950;1.562978
1960;1.866849
1970;1.799688
1980;2.054446
1990;2.236215
2000;1.695552
2010;1.793658
2020;1.560362
2030;1.921355
2040;2.012256
2050;1.994249
2060;1.645039
2070;1.863956
2080;1.529439
2090;1.364004
2100;1.856801
2110;1.352457
2120;1.425597
2130;1.383323
2140;1.947918
2150;1.407114
2160;1.512321
2170;1.629977
2180;1.787920
2190;2.102391
2200;1.685986
2210;1.882837
2220;1.867712
2230;1.818492
2240;1.437973
2250;1.406008
2260;1.616441
2270;1.906715
2280;1.690610
2290;1.779524
2300;1.550194
2310;1.666766
2320;1.644685
2330;1.383596
2340;1.783007
2350;1.517023
2360;1.990857
2370;1.718171
2380;1.569007
2390;1.732275
2400;1.223404
2410;1.628309
2420;1.470143
2430;1.629625
2440;1.675587
2450;1.487286
2460;1.689626
2470;1.699838
2480;1.470292
2490;1.825103
2500;1.693692
2510;1.618344
2520;1.832935
2530;1.625432
2540;1.461409
2550;1.542649
2560;1.603756
2570;1.495105
2580;1.782827
2590;1.113647
2600;2.015439
2610;1.218088
2620;1.366723
2630;1.347108
2640;1.140001
2650;1.677911
2660;1.786973
2670;1.711334
2680;1.455668
2690;1.379511
2700;1.284751
2710;1.799518
2720;1.449264
2730;1.338482
2740;1.642152
2750;1.548825
2760;1.310127
2770;1.599934
2780;1.551054
2790;1.679955
2800;1.567222
2810;1.348353
2820;1.642014
2830;1.543501
2840;1.562965
2850;1.343973
2860;1.536878
2870;1.481067
2880;1.482982
2890;1.291436
2900;1.255643
2910;1.548182
2920;1.542968
2930;1.549484
2940;1.736168
2950;1.871683
2960;1.447816
2970;1.457290
2980;1.655975
2990;1.420087
3000;1.305708
3010;1.582556
3020;1.961841
3030;1.247335
3040;1.644730
3050;1.508077
3060;1.563414
3070;1.572372
3080;1.378048
3090;1.572888
3100;1.602423
3110;1.676968
3120;1.671583
3130;1.681503
3140;1.449911
3150;1.435303
3160;1.451528
3170;1.334944
3180;1.308045
3190;1.496662
3200;1.465242
3210;1.879631
3220;1.462970
3230;1.385798
3240;1.609014
3250;1.888139
3260;1.669696
3270;1.426870
3280;1.527842
3290;1.561479
3300;1.457822
3310;1.635074
3320;1.550337
3330;1.730312
3340;1.529164
3350;1.306886
3360;1.356135
3370;1.671922
3380;1.469179
3390;1.722673
3400;1.523843
3410;1.595904
3420;1.597716
3430;1.255037
3440;1.508903
3450;1.532021
3460;1.496543
3470;1.040439
3480;1.626665
3490;1.683761
3500;1.619183
3510;1.852391
3520;1.456002
3530;1.118294
3540;1.722077
3550;1.453152
3560;1.340502
3570;1.246818
3580;1.282666
