Laser Delay [ns];TA [mOD]
-400;-0.072172
-390;0.106997
-380;0.022121
-370;-0.093150
-360;0.091682
-350;-0.009332
-340;-0.276406
-330;-0.767768
-320;-0.175025
-310;-0.157236
-300;0.079691
-290;0.107039
-280;0.065763
-270;-0.147746
-260;0.100885
-250;0.008953
-240;0.246476
-230;-0.472267
-220;0.246212
-210;0.038533
-200;-0.174657
-190;-0.101399
-180;-0.197231
-170;-0.170754
-160;-0.153161
-150;0.010548
-140;-0.033565
-130;0.123866
-120;-0.281431
-110;0.207379
-100;0.006639
-90;0.037863
-80;-0.115976
-70;-0.158987
-60;-0.068723
-50;-0.505618
-40;-0.256467
-30;-0.284847
-20;0.107394
-10;0.649539
0;2.205428
10;2.657084
20;2.260366
30;2.242985
40;2.305130
50;2.210096
60;2.505865
70;2.422848
80;2.274450
90;2.157354
100;2.022515
110;2.332583
120;1.935539
130;1.884308
140;1.780308
150;2.046496
160;1.663055
170;2.106215
180;1.795222
190;1.845328
200;1.481151
210;1.784572
220;1.586478
230;1.470792
240;1.501237
250;1.527495
260;1.759101
270;1.481044
280;1.383572
290;1.441320
300;1.427563
310;1.290484
320;1.559715
330;1.363593
340;1.371410
350;1.523236
360;1.267490
370;1.204289
380;1.175063
390;1.214095
400;1.068088
410;1.150140
420;1.474983
430;1.278324
440;1.047717
450;1.135068
460;0.944317
470;1.203213
480;0.834827
490;0.751591
500;1.302345
510;0.946272
520;1.045077
530;0.895892
540;1.121939
550;0.926882
560;1.102170
570;0.972375
580;1.148273
590;0.850460
600;0.961570
610;0.824872
620;0.832767
630;0.949752
640;0.869942
650;0.925195
660;1.156609
670;0.754154
680;0.874332
690;0.945503
700;0.762136
710;0.810209
720;0.762799
730;0.873330
740;0.626593
750;0.957595
760;0.573008
770;0.791858
780;0.477018
790;0.338084
800;0.733557
810;1.081440
820;0.661985
830;0.626357
840;0.325913
850;0.638184
860;0.837826
870;0.590280
880;0.607037
890;0.879957
900;0.307976
910;0.876253
920;0.605206
930;0.691492
940;0.635112
950;0.405474
960;0.567558
970;0.463962
980;0.163007
990;0.647128
1000;0.790853
1010;0.113424
1020;0.358837
1030;0.322470
1040;0.434718
1050;0.495844
1060;0.491991
1070;0.357040
1080;0.545434
1090;0.523966
1100;0.303787
1110;0.349737
1120;0.789332
1130;0.509900
1140;0.564451
1150;0.452760
1160;0.116150
1170;0.248075
1180;0.479854
1190;0.176627
1200;0.639328
1210;0.420254
1220;0.166681
1230;0.359844
1240;0.213040
1250;0.250831
1260;0.792727
1270;0.477468
1280;0.542859
1290;0.349959
1300;0.380875
1310;0.810446
1320;0.494402
1330;0.064168
1340;0.144895
1350;0.254849
1360;0.594743
1370;0.531203
1380;0.225599
1390;0.303242
1400;0.117042
1410;0.225911
1420;0.293187
1430;0.360291
1440;0.216331
1450;0.298989
1460;0.382794
1470;0.451089
1480;0.484903
1490;0.431704
1500;0.100755
1510;0.431123
1520;0.344837
1530;0.357574
1540;0.423072
1550;0.508948
1560;-0.049315
1570;0.615763
1580;0.284966
1590;0.535231
1600;0.186647
1610;0.059821
1620;0.576821
1630;0.204905
1640;0.043031
1650;0.452322
1660;0.189785
1670;-0.104952
1680;0.089292
1690;0.462490
1700;0.319645
1710;0.309118
1720;0.517381
1730;0.211199
1740;0.283779
1750;0.413091
1760;0.452244
1770;0.065428
1780;0.472996
1790;0.043140
1800;0.286221
1810;0.554640
1820;0.343726
1830;0.346704
1840;0.253762
1850;0.326383
1860;0.034120
1870;0.315371
1880;0.173824
1890;0.207997
1900;0.331798
1910;0.275842
1920;0.057705
1930;0.225290
1940;0.091302
1950;0.127619
1960;0.323116
1970;0.536095
1980;0.294156
1990;-0.015323
2000;0.416858
2010;-0.050233
2020;-0.141854
2030;0.327915
2040;0.331735
2050;0.350583
2060;0.201153
2070;0.366809
2080;0.399733
2090;0.223843
2100;0.053355
2110;0.303855
2120;0.286417
2130;0.171776
2140;-0.114855
2150;-0.676900
2160;0.340680
2170;0.230689
2180;0.176508
2190;0.449100
2200;0.258412
2210;0.079123
2220;0.116239
2230;0.314546
2240;0.012538
2250;0.286483
2260;-0.011351
2270;0.308393
2280;0.381560
2290;0.302314
2300;0.564808
2310;0.104875
2320;0.512823
2330;0.144564
2340;0.152643
2350;0.139594
2360;0.262557
2370;0.243470
2380;0.233512
2390;0.085379
2400;0.161196
2410;0.462936
2420;0.135810
2430;0.259013
2440;0.084884
2450;0.436678
2460;0.079491
2470;0.173697
2480;0.184216
2490;0.231918
2500;0.264793
2510;0.585201
2520;0.215807
2530;0.030928
2540;0.158493
2550;0.282201
2560;0.217736
2570;-0.014478
2580;0.096586
2590;0.497750
2600;0.434220
2610;0.288357
2620;0.147462
2630;0.088906
2640;0.211676
2650;0.185481
2660;0.325767
2670;-0.080547
2680;0.458480
2690;0.150700
2700;0.140510
2710;0.027780
2720;0.288830
2730;0.522619
2740;0.393787
2750;0.147283
2760;-0.122955
2770;0.433145
2780;0.364204
2790;0.202105
2800;0.285840
2810;0.242526
2820;0.052904
2830;0.163416
2840;-0.319059
2850;0.269462
2860;0.430120
2870;-0.312202
2880;0.122070
2890;0.412865
2900;0.202146
2910;0.113132
2920;0.348753
2930;0.543741
2940;-0.083405
2950;0.604796
2960;0.259433
2970;0.256627
2980;0.147491
2990;0.257336
3000;0.170701
3010;0.191827
3020;0.177385
3030;0.405599
3040;-0.132384
3050;0.118838
3060;0.191524
3070;0.159499
3080;0.362308
3090;0.449442
3100;0.120532
3110;0.260883
3120;0.183070
3130;0.240813
3140;0.273654
3150;0.284532
3160;0.145023
3170;0.240818
3180;-0.048566
3190;0.223669
3200;0.113266
3210;0.377274
3220;0.101947
3230;0.078059
3240;0.166552
3250;0.304108
3260;-0.025483
3270;0.303505
3280;0.466769
3290;0.004706
3300;0.258500
3310;0.139264
3320;0.272682
3330;0.420215
3340;0.244841
3350;0.067103
3360;0.185532
3370;0.305027
3380;0.175888
3390;0.098835
3400;-0.168945
3410;0.242342
3420;0.388154
3430;0.444547
3440;0.269994
3450;0.305770
3460;0.676252
3470;0.262763
3480;0.491930
3490;0.177697
3500;-0.003919
3510;0.367452
3520;0.585716
3530;0.350027
3540;0.148745
3550;0.159661
3560;0.448373
3570;-0.003133
3580;0.235985
3590;-0.066919
3600;0.047409
3610;0.197914
3620;0.458238
3630;0.384476
3640;0.079532
3650;0.113625
3660;0.032946
3670;0.081220
3680;0.052587
3690;0.089787
3700;-0.020426
3710;0.286313
3720;0.129487
3730;0.251520
3740;0.042043
3750;0.341269
3760;0.153984
3770;0.519836
3780;0.283800
3790;0.054937
3800;0.285594
3810;0.319933
3820;0.234106
3830;0.174677
3840;0.218133
3850;0.075844
3860;0.398859
3870;0.374452
3880;0.249255
3890;0.343518
3900;0.450454
3910;0.185464
3920;0.272156
3930;0.174199
3940;0.071623
3950;0.163278
3960;0.126650
3970;0.028602
3980;0.118029
3990;0.070835
4000;0.212712
4010;0.338378
4020;0.250065
4030;0.145368
4040;0.047077
4050;0.159367
4060;0.108631
4070;0.027853
4080;0.259613
4090;0.526300
4100;0.284083
4110;-0.117137
4120;-0.005485
4130;0.223959
4140;0.073616
4150;-0.058790
4160;0.075959
4170;-0.190103
4180;0.205341
4190;0.665736
4200;0.018830
4210;0.236780
4220;0.165334
4230;0.094900
4240;-0.068137
4250;0.135961
4260;0.031752
4270;-0.175149
4280;0.319436
4290;0.502511
4300;0.009022
4310;0.066618
4320;0.152562
4330;0.130147
4340;-0.006661
4350;0.184259
4360;0.175211
4370;0.690726
4380;0.160414
4390;0.243795
4400;0.343422
4410;0.286478
4420;0.196532
4430;0.083138
4440;0.289695
4450;0.219368
4460;0.266405
4470;0.553283
4480;0.203314
4490;0.116173
4500;-0.083048
4510;-0.204318
4520;0.187016
4530;-0.243449
4540;0.239932
4550;0.522767
4560;0.278260
4570;0.094921
4580;0.196830
4590;-0.365501
4600;0.464393
4610;-0.067460
4620;0.354636
4630;0.300750
4640;0.644103
4650;-0.048233
4660;0.050979
4670;0.283401
4680;0.077927
4690;0.364864
4700;0.220345
4710;0.140762
4720;0.023922
4730;0.402430
4740;0.268475
4750;0.148839
4760;0.307443
4770;0.216344
4780;0.192892
4790;-0.041923
4800;0.085372
4810;0.068937
4820;0.269248
4830;0.200716
4840;-0.074454
4850;0.521900
4860;0.373682
4870;0.223828
4880;0.348610
4890;-0.074104
4900;0.210581
4910;0.189335
4920;0.273486
4930;0.139678
4940;0.189262
4950;0.297066
4960;0.126856
4970;0.408081
4980;-0.032556
4990;0.271961
5000;0.165162
