Laser Delay [ns];TA [mOD]
-400;-0.462999
-390;-0.188318
-380;-0.406548
-370;-0.249478
-360;0.115633
-350;-0.407582
-340;-0.102084
-330;-0.008708
-320;0.209438
-310;-0.366288
-300;-0.245057
-290;-0.405369
-280;-0.268393
-270;0.128645
-260;-0.342634
-250;-0.474375
-240;-0.456380
-230;-0.338405
-220;-0.586693
-210;-0.234567
-200;-0.457657
-190;-0.240238
-180;-0.589582
-170;-0.305371
-160;-0.466440
-150;-0.047012
-140;-0.198748
-130;-0.311164
-120;-0.083772
-110;-0.567851
-100;0.053935
-90;-0.693639
-80;-0.559415
-70;-0.417870
-60;-0.520977
-50;-0.261878
-40;-0.140177
-30;-0.190799
-20;-0.325603
-10;0.400949
0;2.329673
10;3.941737
20;5.584417
30;7.225084
40;8.727007
50;10.186692
60;12.109678
70;14.108056
80;15.264535
90;17.366851
100;18.661803
110;20.018541
120;20.768299
130;20.778585
140;19.897793
150;19.540267
160;19.440668
170;19.093085
180;18.580469
190;18.116719
200;17.685285
210;17.547519
220;17.242283
230;16.990939
240;16.747967
250;16.686670
260;16.253896
270;15.794826
280;15.606026
290;15.226218
300;14.723828
310;14.538572
320;14.469578
330;14.301002
340;14.152753
350;13.962122
360;13.623299
370;13.644724
380;13.185483
390;12.897097
400;12.564844
410;12.679815
420;12.428160
430;11.851269
440;11.799622
450;11.592542
460;11.637323
470;11.716813
480;11.103104
490;10.950880
500;10.693693
510;10.662657
520;10.560536
530;10.353763
540;10.134516
550;9.928913
560;9.913812
570;9.492865
580;9.644603
590;9.683261
600;9.108268
610;8.815014
620;8.887531
630;8.745832
640;8.812216
650;8.706111
660;8.361479
670;8.338394
680;8.253188
690;8.195718
700;8.181884
710;7.548488
720;7.705590
730;7.340303
740;7.625961
750;7.094493
760;7.113882
770;6.892840
780;7.210937
790;6.770947
800;6.642572
810;7.123970
820;6.720925
830;6.702126
840;6.657056
850;6.716682
860;6.389317
870;6.427641
880;6.093589
890;6.122416
900;5.784244
910;6.092096
920;5.289909
930;5.551602
940;5.354706
950;5.880755
960;5.560371
970;5.282524
980;5.446941
990;5.280231
1000;5.489632
1010;5.153091
1020;5.523091
1030;5.300300
1040;5.228004
1050;4.748150
1060;5.129245
1070;4.776431
1080;4.615368
1090;4.538158
1100;4.825369
1110;4.427216
1120;4.774652
1130;4.606002
1140;4.138448
1150;4.271984
1160;4.460098
1170;4.285456
1180;4.390143
1190;4.387096
1200;4.251416
1210;4.496531
1220;4.278823
1230;4.124632
1240;4.246093
1250;4.313315
1260;4.074848
1270;3.834480
1280;4.042612
1290;3.739921
1300;3.792787
1310;3.739100
1320;3.974289
1330;3.727300
1340;3.394109
1350;3.855807
1360;3.386271
1370;3.348509
1380;3.746694
1390;3.446439
1400;3.348125
1410;3.523474
1420;3.545999
1430;3.480819
1440;3.418809
1450;3.332874
1460;3.649156
1470;3.485754
1480;3.415558
1490;3.481712
1500;3.781676
1510;3.135071
1520;3.060580
1530;3.121717
1540;3.365660
1550;2.906275
1560;2.812643
1570;2.792484
1580;2.712305
1590;2.894738
1600;2.749374
1610;3.196891
1620;2.847886
1630;2.658578
1640;2.995034
1650;2.917579
1660;2.731965
1670;2.776526
1680;3.045775
1690;2.824611
1700;3.075985
1710;2.724636
1720;2.605473
1730;2.940049
1740;2.859419
1750;2.449848
1760;2.842252
1770;3.146316
1780;2.641871
1790;2.451389
1800;2.615140
1810;2.737083
1820;2.595276
1830;2.566876
1840;2.804849
1850;2.627116
1860;2.498284
1870;2.465514
1880;2.362066
1890;2.127495
1900;3.047103
1910;2.688256
1920;2.451269
1930;2.583468
1940;2.401859
1950;2.791299
1960;2.522108
1970;2.167076
1980;2.678964
1990;2.769116
2000;2.380994
2010;2.190645
2020;2.629462
2030;2.460214
2040;2.242094
2050;1.948404
2060;2.397862
2070;2.780455
2080;2.666128
2090;2.474955
2100;2.711692
2110;2.497188
2120;2.058911
2130;1.965705
2140;2.509345
2150;2.352075
2160;2.300437
2170;2.213699
2180;2.785336
2190;2.530157
2200;2.328065
2210;2.193966
2220;2.379759
2230;2.230315
2240;1.899735
2250;1.913795
2260;2.222054
2270;1.824185
2280;2.419591
2290;2.229056
2300;2.474685
2310;2.324860
2320;2.282655
2330;2.648990
2340;2.159881
2350;2.108043
2360;2.001600
2370;2.313257
2380;1.987809
2390;2.218856
2400;2.231754
2410;2.485797
2420;1.679176
2430;2.108707
2440;2.197594
2450;2.085714
2460;2.175838
2470;2.085941
2480;2.326323
2490;2.277235
2500;2.130605
2510;2.066692
2520;2.452991
2530;2.083959
2540;2.296335
2550;2.059115
2560;2.425899
2570;2.133565
2580;2.468630
2590;1.912477
2600;2.158603
2610;2.470182
2620;2.555017
2630;2.124400
2640;2.228294
2650;2.233467
2660;2.042652
2670;2.387123
2680;2.438316
2690;2.349098
2700;1.929629
2710;2.251978
2720;2.106910
2730;2.164207
2740;2.384738
2750;1.708481
2760;1.992441
2770;2.293529
2780;1.750763
2790;1.615234
2800;2.003581
2810;2.015160
2820;1.991713
2830;2.044175
2840;2.067243
2850;1.993033
2860;2.015692
2870;2.498805
2880;2.147180
2890;1.920135
2900;2.038250
2910;2.421963
2920;1.997400
2930;1.563099
2940;2.606822
2950;1.814258
2960;1.988225
2970;2.070230
2980;2.084889
2990;2.043463
3000;2.303375
3010;2.246353
3020;1.767494
3030;2.221183
3040;2.481792
3050;1.635225
3060;1.943370
3070;2.392899
3080;2.276692
3090;1.920509
3100;2.103787
3110;2.203680
3120;1.689072
3130;2.010211
3140;2.000934
3150;2.114039
3160;2.327595
3170;2.069450
3180;2.063618
3190;1.844217
3200;1.876802
3210;1.910171
3220;2.089528
3230;2.119618
3240;2.150425
3250;2.250617
3260;2.115807
3270;1.755300
3280;1.689650
3290;2.121204
3300;2.223894
3310;1.709719
3320;2.039515
3330;2.060798
3340;1.988715
3350;2.129932
3360;2.245332
3370;1.586626
3380;2.029119
3390;2.072303
3400;1.866221
3410;2.258056
3420;1.955387
3430;2.029234
3440;2.279273
3450;1.944539
3460;1.780175
3470;2.112748
3480;2.061953
3490;2.019219
3500;1.752895
3510;2.137434
3520;1.774468
3530;1.856283
3540;2.399845
3550;1.785537
3560;1.966712
3570;2.067020
3580;1.918215
3590;1.920711
3600;1.954756
3610;2.076484
3620;1.811394
3630;2.486133
3640;2.056904
3650;1.570984
3660;2.186752
3670;1.838574
3680;1.980420
3690;2.175642
3700;1.783115
3710;2.076949
3720;1.740931
3730;2.119211
3740;1.882689
3750;2.121373
3760;2.116457
3770;2.242316
3780;1.763766
3790;1.908902
3800;2.286625
3810;1.931134
3820;1.906913
3830;2.022309
3840;1.866846
3850;1.782770
3860;1.863958
3870;1.978713
3880;2.016409
3890;2.153640
3900;1.944448
3910;2.047773
3920;2.156494
3930;2.353335
3940;1.681523
3950;1.700878
3960;1.964042
3970;2.037982
3980;1.890719
3990;2.255047
4000;1.683340
4010;2.179086
4020;2.068729
4030;1.782714
4040;2.019714
4050;2.015658
4060;1.944209
4070;1.536462
4080;1.925588
4090;2.253502
4100;1.923520
4110;2.081086
4120;2.207001
4130;1.971860
4140;1.750457
4150;1.989171
4160;1.946087
4170;2.176316
4180;1.683558
4190;2.075871
4200;2.147047
4210;1.743661
4220;2.321048
4230;2.059477
4240;2.220003
4250;2.288157
4260;2.332760
4270;1.817570
4280;1.778742
4290;1.694657
4300;2.138521
4310;2.132515
4320;2.041509
4330;1.749041
4340;1.950820
4350;1.948867
4360;2.169002
4370;2.414104
4380;2.074187
4390;2.118012
4400;2.076320
4410;2.071386
4420;2.033387
4430;1.893078
4440;2.018406
4450;2.201033
4460;1.998973
4470;2.123830
4480;2.256696
4490;2.280714
4500;2.206616
4510;1.751834
4520;1.694684
4530;2.094243
4540;1.942018
4550;1.627594
4560;2.390629
4570;1.856098
4580;1.763279
4590;2.358926
4600;1.942396
4610;1.917113
4620;1.991924
4630;1.849630
4640;2.235699
4650;1.756478
4660;2.092720
4670;1.826721
4680;2.085851
4690;1.921243
4700;2.052033
4710;2.200728
4720;2.002334
4730;1.737361
4740;1.826942
4750;1.734712
4760;2.002322
4770;2.026289
4780;1.915694
4790;1.941062
4800;2.197994
4810;1.947796
4820;1.630626
4830;2.193067
4840;2.035529
4850;2.445711
4860;2.163460
4870;1.823998
4880;2.075113
4890;1.762029
4900;2.015016
4910;1.854673
4920;2.223674
4930;2.167273
4940;1.942650
4950;1.977495
4960;1.995165
4970;2.189870
4980;1.949872
4990;2.045354
5000;1.921675
