Laser Delay [ns];TA [mOD]
-400;-0.075377
-390;-0.137350
-380;-0.044037
-370;-0.014886
-360;-0.090603
-350;-0.055613
-340;-0.222670
-330;0.023570
-320;0.003648
-310;0.085638
-300;-0.223577
-290;-0.129471
-280;0.013365
-270;0.042453
-260;-0.052860
-250;-0.230773
-240;-0.138127
-230;-0.048236
-220;-0.137502
-210;-0.059357
-200;-0.031600
-190;-0.074873
-180;-0.041838
-170;0.112346
-160;-0.097647
-150;-0.178691
-140;-0.148444
-130;-0.219336
-120;-0.155944
-110;0.082253
-100;-0.066161
-90;-0.078294
-80;-0.160074
-70;-0.130563
-60;0.021495
-50;-0.111637
-40;0.014544
-30;-0.203299
-20;0.061720
-10;1.983830
0;6.042756
10;9.987309
20;14.295629
30;18.251675
40;22.097704
50;26.169589
60;29.956571
70;33.547767
80;37.241401
90;40.864918
100;44.427768
110;47.577904
120;48.733478
130;48.169099
140;47.618839
150;47.079947
160;46.678406
170;46.073465
180;45.744706
190;44.835147
200;44.537220
210;44.061988
220;43.592113
230;43.129131
240;42.457245
250;42.064779
260;41.529002
270;41.081488
280;40.542522
290;40.080349
300;39.761886
310;39.325602
320;38.778038
330;38.515099
340;37.996332
350;37.564289
360;37.045268
370;36.662150
380;36.353713
390;35.750524
400;35.475774
410;35.094966
420;34.744315
430;34.124125
440;33.934459
450;33.481904
460;33.107966
470;32.771077
480;32.283737
490;31.890314
500;31.536690
510;31.289140
520;30.924401
530;30.651012
540;29.944995
550;29.760860
560;29.463381
570;29.398738
580;28.758272
590;28.574560
600;28.158357
610;27.888414
620;27.506894
630;27.291948
640;26.873690
650;26.657123
660;26.411915
670;26.018371
680;25.666248
690;25.270999
700;24.984021
710;24.724092
720;24.479194
730;24.208844
740;23.937029
750;23.743105
760;23.447604
770;23.137710
780;22.874258
790;22.606356
800;22.298525
810;22.227473
820;21.781858
830;21.674696
840;21.424633
850;21.157962
860;20.948957
870;20.637928
880;20.414697
890;20.183377
900;20.073489
910;19.733120
920;19.324948
930;19.265372
940;19.068927
950;18.871426
960;18.665600
970;18.337142
980;18.179985
990;18.132007
1000;17.703771
1010;17.445515
1020;17.225173
1030;17.231193
1040;16.921297
1050;16.824351
1060;16.596444
1070;16.419632
1080;16.092932
1090;16.072897
1100;15.829544
1110;15.610707
1120;15.440716
1130;15.224765
1140;15.130824
1150;15.078438
1160;14.674174
1170;14.692607
1180;14.293366
1190;14.244697
1200;14.006125
1210;13.790673
1220;13.779321
1230;13.557221
1240;13.445956
1250;13.149460
1260;13.168443
1270;13.150077
1280;12.898653
1290;12.723651
1300;12.591567
1310;12.534235
1320;12.319616
1330;12.196415
1340;12.056021
1350;11.895508
1360;11.701790
1370;11.721642
1380;11.451528
1390;11.210266
1400;11.110621
1410;10.904500
1420;10.905825
1430;10.750149
1440;10.700202
1450;10.594947
1460;10.290357
1470;10.397634
1480;10.099769
1490;10.133642
1500;10.133522
1510;9.818585
1520;9.914820
1530;9.675093
1540;9.503492
1550;9.485378
1560;9.289599
1570;9.150614
1580;9.246904
1590;9.004367
1600;8.750838
1610;8.892388
1620;8.701222
1630;8.558132
1640;8.654583
1650;8.370593
1660;8.142725
1670;8.147477
1680;8.049909
1690;7.801820
1700;7.873846
1710;7.813150
1720;7.523834
1730;7.667487
1740;7.519527
1750;7.375490
1760;7.246962
1770;7.252532
1780;7.074603
1790;7.311936
1800;7.112428
1810;6.851458
1820;6.845240
1830;6.885112
1840;6.633230
1850;6.691120
1860;6.643006
1870;6.444419
1880;6.389566
1890;6.315829
1900;6.324303
1910;6.198652
1920;6.122045
1930;6.018276
1940;6.138468
1950;5.999209
1960;5.847312
1970;5.759517
1980;5.833788
1990;5.541538
2000;5.665957
2010;5.580314
2020;5.394011
2030;5.289317
2040;5.384500
2050;5.122075
2060;5.068262
2070;5.125839
2080;5.213702
2090;4.937256
2100;4.949202
2110;4.966797
2120;4.847794
2130;4.715406
2140;4.694775
2150;4.560000
2160;4.715170
2170;4.505461
2180;4.528391
2190;4.507897
2200;4.446023
2210;4.438504
2220;4.364818
2230;4.228068
2240;4.299019
2250;4.221493
2260;4.134431
2270;4.198474
2280;4.119909
2290;3.997365
2300;3.873933
2310;3.884212
2320;3.993563
2330;3.595457
2340;3.782409
2350;3.709066
