Laser Delay [ns];TA [mOD]
-400;0.105935
-390;0.080645
-380;-0.040254
-370;-0.002547
-360;0.076705
-350;-0.096349
-340;-0.057753
-330;-0.135263
-320;0.009558
-310;0.036356
-300;-0.084729
-290;0.058991
-280;-0.012466
-270;-0.040517
-260;0.087373
-250;0.063215
-240;-0.031508
-230;0.071000
-220;0.023677
-210;0.090437
-200;-0.017195
-190;-0.043873
-180;0.077950
-170;0.009091
-160;0.020554
-150;0.184456
-140;-0.107729
-130;0.131263
-120;0.071840
-110;-0.143680
-100;-0.085542
-90;-0.078812
-80;-0.083620
-70;-0.032088
-60;-0.088824
-50;0.067686
-40;0.029963
-30;0.055900
-20;0.020461
-10;0.244107
0;1.042207
10;1.717381
20;2.780662
30;3.680240
40;4.497619
50;5.370568
60;6.183797
70;7.002562
80;7.788776
90;8.628700
100;9.323960
110;10.265274
120;10.744604
130;10.623846
140;10.707590
150;10.377868
160;10.312284
170;10.201497
180;9.999896
190;9.892072
200;9.813498
210;9.663024
220;9.466765
230;9.496651
240;9.410542
250;9.157505
260;9.203033
270;9.012804
280;9.054492
290;8.633989
300;8.849290
310;8.609528
320;8.629332
330;8.478906
340;8.400190
350;8.446907
360;8.193426
370;8.158968
380;8.049658
390;8.109652
400;7.939154
410;7.834874
420;7.652279
430;7.529756
440;7.676561
450;7.319565
460;7.318776
470;7.301187
480;7.195713
490;6.963918
500;7.136729
510;6.933245
520;6.847923
530;6.753018
540;6.693772
550;6.728040
560;6.613506
570;6.593733
580;6.585816
590;6.389633
600;6.241812
610;6.315273
620;6.001601
630;6.073301
640;5.996632
650;5.920654
660;5.946837
670;5.858759
680;5.694568
690;5.734600
700;5.581618
710;5.580494
720;5.450332
730;5.512770
740;5.272406
750;5.277192
760;5.119534
770;5.360723
780;5.131430
790;4.942764
800;5.036990
810;4.928538
820;4.832725
830;4.773916
840;4.822180
850;4.699529
860;4.786778
870;4.579106
880;4.438356
890;4.504490
900;4.469120
910;4.419445
920;4.467236
930;4.393052
940;4.220950
950;4.140574
960;4.028573
970;4.060844
980;4.098008
990;4.037730
1000;3.912746
1010;3.921740
1020;3.931206
1030;3.844898
1040;3.717260
1050;3.823058
1060;3.957478
1070;3.713377
1080;3.616447
1090;3.790505
1100;3.572951
1110;3.641953
1120;3.491643
1130;3.405010
1140;3.444493
1150;3.369187
1160;3.369117
1170;3.232006
1180;3.291232
1190;3.269292
1200;3.219452
1210;3.145476
1220;3.154942
1230;3.092307
1240;3.112054
1250;3.000454
1260;3.007403
1270;2.909632
1280;3.009586
1290;2.825531
1300;2.722003
1310;2.786017
1320;2.909700
1330;2.952763
1340;2.711586
1350;2.871378
1360;2.590710
1370;2.779266
1380;2.598665
1390;2.692101
1400;2.675688
1410;2.694050
1420;2.492574
1430;2.480024
1440;2.372516
1450;2.294594
1460;2.390928
1470;2.409154
1480;2.216318
1490;2.186758
1500;2.353890
1510;2.230006
1520;2.186701
1530;2.159823
1540;2.263971
1550;2.144662
1560;2.204986
1570;2.132521
1580;2.162175
1590;1.948043
1600;2.123810
1610;2.128803
1620;1.967547
1630;1.904786
1640;1.896807
1650;1.924987
1660;2.008462
1670;1.851653
1680;1.882283
1690;1.766182
1700;1.674534
1710;1.800655
1720;1.818704
1730;1.648020
1740;1.797517
1750;1.634175
1760;1.687947
1770;1.792552
1780;1.627979
1790;1.704444
1800;1.628615
1810;1.642973
1820;1.587251
1830;1.629849
1840;1.609262
1850;1.442094
1860;1.488943
1870;1.674226
1880;1.450509
