Laser Delay [ns];TA [mOD]
-400;-0.006186
-390;-0.099853
-380;0.019731
-370;-0.166605
-360;-0.022985
-350;-0.078366
-340;-0.004965
-330;-0.011866
-320;-0.044201
-310;0.044985
-300;0.014291
-290;0.014436
-280;-0.167577
-270;0.078299
-260;-0.071120
-250;0.078988
-240;0.125851
-230;0.084549
-220;-0.091595
-210;0.075632
-200;0.002334
-190;-0.147299
-180;0.009241
-170;0.016648
-160;-0.107474
-150;0.164912
-140;0.071461
-130;-0.024778
-120;-0.131221
-110;0.001346
-100;0.010887
-90;-0.155767
-80;-0.032110
-70;0.006159
-60;0.012287
-50;0.026194
-40;0.056813
-30;-0.117391
-20;0.043627
-10;0.507302
0;1.926035
10;3.184605
20;4.745148
30;6.169319
40;7.791584
50;8.948611
60;10.536739
70;11.773285
80;13.280973
90;14.668015
100;15.910119
110;16.681789
120;16.827119
130;16.532764
140;16.271819
150;16.134718
160;16.096518
170;15.811526
180;15.593759
190;15.416431
200;15.453086
210;15.286341
220;14.863789
230;14.787792
240;14.521664
250;14.425127
260;14.549282
270;14.192700
280;13.951590
290;13.727099
300;13.581030
310;13.744670
320;13.459700
330;13.121072
340;13.176049
350;13.026781
360;12.803759
370;12.715899
380;12.596112
390;12.308572
400;12.182887
410;12.274485
420;11.981851
430;11.918983
440;11.764439
450;11.501161
460;11.614840
470;11.376489
480;11.269767
490;11.147389
500;11.167318
510;10.880948
520;10.812105
530;10.619580
540;10.490065
550;10.403033
560;10.350461
570;10.341478
580;10.048913
590;9.838570
600;9.832831
610;9.642720
620;9.494320
630;9.561315
640;9.557750
650;9.434236
660;9.465928
670;9.113427
680;8.912011
690;8.922330
700;8.844580
710;8.804104
720;8.495352
730;8.642885
740;8.417631
750;8.268144
760;8.298927
770;8.133582
780;8.050279
790;8.103674
800;7.839708
810;7.839173
820;7.897138
830;7.591792
840;7.689722
850;7.580518
860;7.440787
870;7.192207
880;7.183450
890;7.198744
900;7.047153
910;6.980258
920;6.917982
930;6.782930
940;6.913459
950;6.550789
960;6.557588
970;6.499172
980;6.456401
990;6.312059
1000;6.411654
1010;6.331829
1020;6.327557
1030;6.166501
1040;6.045436
1050;6.056327
1060;5.998265
1070;5.841913
1080;5.868187
1090;5.673696
1100;5.678171
1110;5.652395
1120;5.581196
1130;5.503100
1140;5.362410
1150;5.278743
1160;5.252786
1170;5.218703
1180;5.114207
1190;4.993720
1200;5.131445
1210;4.873496
1220;4.925410
1230;4.826319
1240;4.792741
1250;4.832075
1260;4.783901
1270;4.766954
1280;4.598987
1290;4.672426
1300;4.368751
1310;4.415833
1320;4.474984
1330;4.439370
1340;4.327685
1350;4.339673
1360;4.204411
1370;4.258353
1380;4.084544
1390;4.026078
1400;4.236734
1410;3.959753
1420;4.054514
1430;3.990129
1440;4.051780
1450;3.740543
1460;4.013335
1470;3.924286
1480;3.858235
1490;3.647049
1500;3.500112
1510;3.424112
1520;3.582592
1530;3.290295
1540;3.383019
1550;3.522650
1560;3.411082
1570;3.191037
1580;3.307119
1590;3.300863
1600;3.238528
1610;3.096321
1620;3.135427
1630;3.046381
1640;3.016290
1650;3.261246
1660;2.855231
1670;2.994414
1680;2.909249
1690;2.884714
1700;2.880593
1710;2.965946
1720;2.974826
1730;2.737552
1740;2.975582
1750;2.736612
1760;2.909104
1770;2.611858
1780;2.742655
1790;2.550435
1800;2.580361
1810;2.523373
1820;2.502282
1830;2.527400
1840;2.457434
1850;2.588404
1860;2.592754
1870;2.271881
1880;2.527518
1890;2.321325
1900;2.341152
1910;2.332843
1920;2.315417
1930;2.398430
1940;2.296898
1950;2.218091
1960;2.153285
1970;2.193989
1980;2.073353
1990;2.095681
2000;2.161641
2010;2.027347
2020;2.022068
2030;1.867571
2040;2.015392
2050;1.872261
2060;1.921547
2070;1.946672
2080;1.905016
2090;1.679576
2100;1.834486
2110;1.777598
2120;1.695803
2130;1.843954
2140;1.754507
2150;1.695347
2160;1.701834
2170;1.832765
2180;1.695158
2190;1.687412
2200;1.760867
2210;1.662716
2220;1.477084
2230;1.668433
2240;1.553779
2250;1.645189
2260;1.665231
2270;1.410893
2280;1.534267
2290;1.445345
2300;1.345914
2310;1.496113
2320;1.494416
2330;1.432086
2340;1.368758
2350;1.377893
2360;1.423409
2370;1.301235
2380;1.422276
2390;1.475180
2400;1.517078
2410;1.373812
2420;1.326432
2430;1.352074
2440;1.322890
2450;1.335346
2460;1.219715
2470;1.345692
2480;1.240654
2490;1.208382
2500;1.157671
2510;1.116716
2520;1.132313
2530;1.254662
2540;1.107185
2550;1.083531
2560;1.000248
2570;1.018856
2580;1.144962
2590;1.140658
2600;1.108522
2610;1.121165
2620;1.025378
2630;1.002322
2640;0.928361
2650;1.152677
2660;0.976834
2670;0.984828
2680;0.867730
2690;1.072739
2700;1.061096
2710;1.001890
2720;0.885169
2730;0.994570
2740;0.841969
2750;0.872889
2760;0.873793
2770;0.768215
2780;0.880330
2790;0.989816
2800;0.990742
2810;0.951351
2820;0.970974
2830;0.881825
2840;0.710975
2850;0.912066
2860;0.897010
2870;0.801560
2880;0.892479
2890;0.749112
2900;0.679329
2910;0.536370
2920;0.714432
2930;0.509450
2940;0.768715
2950;0.570677
2960;0.748154
2970;0.675795
2980;0.576723
2990;0.663636
3000;0.677964
3010;0.628049
3020;0.637618
3030;0.773419
3040;0.814139
3050;0.694433
3060;0.499430
3070;0.605935
3080;0.542245
3090;0.627632
3100;0.490017
3110;0.498774
3120;0.458727
3130;0.506942
3140;0.551199
3150;0.508943
3160;0.587539
3170;0.662141
3180;0.575971
3190;0.475155
3200;0.641089
3210;0.563616
3220;0.449379
3230;0.328667
3240;0.670366
3250;0.602147
3260;0.310413
3270;0.412060
3280;0.658273
3290;0.542990
3300;0.392539
3310;0.355214
3320;0.398855
3330;0.531044
3340;0.396616
3350;0.406820
3360;0.473011
3370;0.401442
3380;0.456030
3390;0.388217
3400;0.439502
3410;0.333825
3420;0.441103
3430;0.382814
3440;0.330275
3450;0.451405
3460;0.569707
3470;0.410089
3480;0.425665
3490;0.383920
3500;0.494202
3510;0.363125
3520;0.400009
3530;0.465955
3540;0.251846
3550;0.499933
3560;0.309751
3570;0.390969
3580;0.334292
3590;0.358573
3600;0.500582
3610;0.184505
3620;0.245588
3630;0.474768
3640;0.307846
3650;0.466466
3660;0.339914
3670;0.403806
3680;0.255806
3690;0.226631
3700;0.436574
3710;0.306323
3720;0.372053
3730;0.256813
3740;0.147250
3750;0.305317
3760;0.367637
3770;0.366493
3780;0.219405
3790;0.294333
3800;0.024621
3810;0.094359
3820;0.374582
3830;0.234824
3840;0.345957
3850;0.271533
3860;0.281169
3870;0.304747
3880;0.328589
3890;0.234599
3900;0.267248
3910;0.296976
3920;0.403522
3930;0.221232
3940;0.239231
3950;-0.002896
3960;0.317847
3970;0.107751
3980;0.089207
3990;-0.043167
4000;0.358784
4010;0.191359
4020;0.071587
4030;0.294692
4040;0.187914
4050;0.154009
4060;0.409426
4070;0.059033
4080;0.134942
4090;0.156243
4100;0.291137
4110;0.267735
4120;0.039926
4130;0.240416
4140;0.275515
4150;0.218745
4160;0.263292
4170;0.327999
4180;0.219186
4190;0.137412
4200;0.287513
4210;0.012444
4220;0.245741
4230;0.064648
4240;0.064967
4250;0.192943
4260;-0.054758
4270;0.076896
4280;0.329206
4290;0.115393
4300;0.123656
4310;0.044221
4320;0.123202
4330;0.028996
